Huge Problems 1 (Alg2 only) (problems with solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
100000,20000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
4369985374,85435,131698,83470,127223,31033,49067,31033,1,1,[1=31033]
4269432043,85185,131408,83227,126919,31004,49045,31004,1,1,[1=31004]
4530329046,85488,131825,83485,127187,30995,48990,30995,1,1,[1=30995]
3129682124,85272,131567,83256,126912,30943,48926,30943,1,1,[1=30943]
3876501853,85407,131715,83436,127213,31008,49036,31008,1,1,[1=31008]
4875899751,85338,131682,83368,127164,30972,49001,30972,1,1,[1=30972]
4470563282,85250,131651,83259,127069,30931,48939,30931,1,1,[1=30931]
2859631010,85282,131610,83351,127132,30973,49041,30973,1,1,[1=30973]
4705847555,85313,131754,83328,127206,30984,48998,30984,1,1,[1=30984]
4255734668,85544,132153,83517,127506,30923,48895,30923,1,1,[1=30923]
2873424347,85278,131693,83241,127053,30889,48851,30889,1,1,[1=30889]
4511927203,85072,131263,83099,126690,30971,48996,30971,1,1,[1=30971]
4273540261,85373,131555,83406,127038,31052,49083,31052,1,1,[1=31052]
5434374860,85476,131986,83459,127332,30915,48897,30915,1,1,[1=30915]
4258805153,85472,131969,83392,127167,30940,48859,30940,1,1,[1=30940]
3275175708,85248,131479,83267,126944,30971,48989,30971,1,1,[1=30971]
4191664372,85211,131357,83259,126839,30988,49035,30988,1,1,[1=30988]
4464565961,85594,132315,83562,127626,30926,48893,30926,1,1,[1=30926]
4250777714,85256,131587,83261,126997,30917,48921,30917,1,1,[1=30917]
3033042747,85021,131370,83072,126888,30866,48916,30866,1,1,[1=30866]
4633637476,85500,131959,83458,127237,31003,48960,31003,1,1,[1=31003]
3062982241,85066,131361,83064,126759,30867,48864,30867,1,1,[1=30867]
4229074551,85329,131634,83369,127155,31027,49066,31027,1,1,[1=31027]
5131669235,85337,131604,83341,127020,31046,49048,31046,1,1,[1=31046]
4429366416,85415,131691,83348,126955,31002,48934,31002,1,1,[1=31002]
2904717254,85673,132169,83663,127556,31031,49020,31031,1,1,[1=31031]
4328341759,85337,131534,83347,126962,31041,49050,31041,1,1,[1=31041]
4126451605,85588,131951,83622,127409,31067,49100,31067,1,1,[1=31067]
5748722874,85807,132153,83854,127647,31171,49216,31171,1,1,[1=31171]
3956481327,85209,131463,83216,126865,30945,48951,30945,1,1,[1=30945]
3094879005,85445,131847,83413,127188,30985,48952,30985,1,1,[1=30985]
3784747750,85326,131546,83337,127026,31010,49020,31010,1,1,[1=31010]
3220643079,85359,131686,83377,127129,30986,49001,30986,1,1,[1=30986]
4555729665,85320,131597,83291,126912,30936,48906,30936,1,1,[1=30936]
4585839726,85376,131848,83350,127178,30954,48927,30954,1,1,[1=30954]
3106788507,85370,131508,83379,126906,31072,49080,31072,1,1,[1=31072]
4590104174,85513,131969,83496,127347,30959,48941,30959,1,1,[1=30959]
4226857190,85517,132175,83492,127516,30907,48880,30907,1,1,[1=30907]
4637124575,85099,131287,83153,126778,30973,49026,30973,1,1,[1=30973]
2915166264,85519,132158,83568,127674,30935,48983,30935,1,1,[1=30935]
3221606207,85306,131907,83312,127273,30816,48819,30816,1,1,[1=30816]
4374152398,84980,131189,82985,126629,30901,48905,30901,1,1,[1=30901]
4155337275,85385,131667,83433,127175,31032,49079,31032,1,1,[1=31032]
