Huge Problems 1 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
100000,20000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
3858391900,4509362367,85442,131824,83449,127208,31008,49013,100998,31008,1,1,[1=31008]
3740861592,3604719188,85468,131928,83464,127306,31036,49031,100977,31036,1,1,[1=31036]
4189065331,4957379451,85561,132166,83500,127375,30887,48825,100968,30887,1,1,[1=30887]
2158819688,3456385900,85417,131853,83381,127188,30921,48884,101119,30921,1,1,[1=30921]
3400607540,3925171867,85492,131652,83483,127041,31103,49093,100960,31103,1,1,[1=31103]
2544212688,2988812321,84961,131114,82952,126511,30873,48863,100957,30873,1,1,[1=30873]
2551632131,3457749545,85516,131796,83490,127106,31022,48994,100933,31022,1,1,[1=31022]
3387966106,3040622332,85288,131575,83271,126999,30980,48962,100768,30980,1,1,[1=30980]
3477856647,4200713507,85237,131753,83252,127178,30851,48865,101162,30851,1,1,[1=30851]
3142969112,3963566903,85012,131052,83018,126463,30989,48994,100585,30989,1,1,[1=30989]
3889953208,4223959244,85208,131626,83193,127016,30892,48876,100782,30892,1,1,[1=30892]
3258703950,3580646076,85540,131975,83497,127300,30936,48892,101407,30936,1,1,[1=30936]
3331346331,3696952294,85166,131275,83254,126888,31018,49105,100664,31018,1,1,[1=31018]
3152408130,4261485071,85299,131698,83318,127133,30987,49005,101104,30987,1,1,[1=30987]
3640668382,3057647264,85463,132117,83420,127370,30909,48865,100953,30909,1,1,[1=30909]
3341730041,3717882673,85530,131844,83543,127253,31082,49094,100875,31082,1,1,[1=31082]
4048550253,4136118414,85555,132142,83573,127556,30997,49014,101060,30997,1,1,[1=30997]
3068105871,4042500598,85359,131902,83264,127114,30854,48758,100757,30854,1,1,[1=30854]
3572261461,2805298115,85505,132011,83511,127402,30951,48956,101147,30951,1,1,[1=30951]
3221747747,3967518577,85584,131939,83653,127450,31139,49207,101123,31139,1,1,[1=31139]
3633120209,3400593205,85301,131755,83303,127150,30901,48902,100850,30901,1,1,[1=30901]
3727546382,3936740465,85505,131829,83548,127335,31048,49090,100918,31048,1,1,[1=31048]
3047347519,3758394709,85522,131986,83497,127351,30950,48923,101045,30950,1,1,[1=30950]
3478216794,2864698427,85420,131845,83470,127377,31025,49074,100969,31025,1,1,[1=31025]
3202355674,3848531880,85229,131595,83200,126923,30913,48883,100598,30913,1,1,[1=30913]
3913688991,2630447630,85520,131892,83609,127475,31091,49179,101018,31091,1,1,[1=31091]
3327204491,3884193191,85347,131776,83333,127136,30964,48949,100744,30964,1,1,[1=30964]
3330920649,2523705357,85397,132041,83416,127509,30913,48931,100819,30913,1,1,[1=30913]
4062552113,3033722777,85303,131455,83371,127006,31075,49142,100807,31075,1,1,[1=31075]
3186988414,3605292907,85399,131969,83409,127389,30908,48917,101024,30908,1,1,[1=30908]
3319192018,2765626326,85499,131935,83576,127525,31058,49134,101325,31058,1,1,[1=31058]
4319434846,2488954508,85397,131918,83376,127257,30966,48944,101013,30966,1,1,[1=30966]
3288729291,3693839697,85320,131685,83282,126970,30978,48939,100616,30978,1,1,[1=30978]
2560696374,3166876631,85148,131496,83138,126908,30866,48855,100698,30866,1,1,[1=30866]
2966052534,3289901892,85644,131905,83684,127357,31145,49184,101287,31145,1,1,[1=31145]
2941013666,4156805087,85284,131649,83244,126960,30883,48842,101239,30883,1,1,[1=30883]
3294963262,3021899647,85429,131666,83472,127193,31054,49096,100795,31054,1,1,[1=31054]
3103599542,3747009256,85377,131735,83392,127190,31001,49015,100920,31001,1,1,[1=31001]
3235258390,2458992068,85240,131650,83265,127119,30964,48988,100788,30964,1,1,[1=30964]
2671468143,3386339154,85326,131556,83203,126718,30904,48780,100734,30904,1,1,[1=30904]
2903807322,3380025020,85293,131489,83333,126998,31044,49082,100932,31044,1,1,[1=31044]
2531323159,3532749999,85360,131870,83336,127253,30878,48853,100951,30878,1,1,[1=30878]
2844958201,3828852509,85349,131687,83345,127094,30948,48943,100967,30948,1,1,[1=30948]
3453530760,3878009834,85275,131597,83280,126975,31029,49033,100776,31029,1,1,[1=31029]
