Huge Problems 5 (Alg2 only) (problems without solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
75000,100000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
64947852664,300424,708759,290550,685643,59954,150076,23488,18525,1,[1=41426/3=1/18525=1]
3473641,299789,708522,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3977148,299911,708124,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1992377,299989,708630,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2006421,300055,708004,-1,-1,-1,-1,-1,-1,-1,[-1=1]
57635,299935,709566,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1736967,300284,709220,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2615252,300381,709961,-1,-1,-1,-1,-1,-1,-1,[-1=1]
279694,299669,709072,-1,-1,-1,-1,-1,-1,-1,[-1=1]
887939,299628,708109,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5090656,300065,708684,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3358955,300107,708970,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2427424,300059,707885,-1,-1,-1,-1,-1,-1,-1,[-1=1]
6018676,300032,708326,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5625761,300185,708169,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1925673,299933,707847,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1053266101175,300083,708561,290199,685401,59961,150074,355352263,18196,1,[1=41763/2=1/18196=1]
285545,300446,709019,-1,-1,-1,-1,-1,-1,-1,[-1=1]
67424327836,300186,708429,290105,684959,-1,-1,-1,-1,-1,[-1=1]
3950525,300325,709662,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4939984,300353,710080,-1,-1,-1,-1,-1,-1,-1,[-1=1]
73114931216,300189,708107,290346,685074,60037,150191,23655,18271,1,[1=41763/3=1/18271=1]
1070618119166,300249,709047,290326,685901,59925,149999,362467372,18386,1,[1=41539/18386=1]
4758886,299874,708907,-1,-1,-1,-1,-1,-1,-1,[-1=1]
70509,299653,706553,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4410146,300141,709159,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3777325,299962,708486,-1,-1,-1,-1,-1,-1,-1,[-1=1]
934869075347,299986,709003,290019,685702,59789,149818,319912373,18300,1,[1=41489/18300=1]
3466913,300399,709309,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4600607,299913,708716,-1,-1,-1,-1,-1,-1,-1,[-1=1]
996978577407,300306,709875,290297,686511,59784,149774,334015510,17833,1,[1=41951/17833=1]
1268276,300351,709645,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1960488,299846,707948,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4891711,300456,709722,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5713530,300066,708159,-1,-1,-1,-1,-1,-1,-1,[-1=1]
686361,300148,708769,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3649182,299963,708152,-1,-1,-1,-1,-1,-1,-1,[-1=1]
996956594550,299909,708557,290042,685481,59951,150079,340051654,18511,1,[1=41437/3=1/18511=1]
3126365,300101,708775,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1091858,300121,709118,-1,-1,-1,-1,-1,-1,-1,[-1=1]
354298,300090,708341,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2444100,300032,709004,-1,-1,-1,-1,-1,-1,-1,[-1=1]
733756,300270,708543,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5615813,299815,708288,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1534804,299957,709547,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2362181,300101,709571,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1615552,299857,708925,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1810401,299796,708340,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1133792333413,299860,709157,289846,685707,59699,149681,384951975,18877,1,[1=40820/2=1/18877=1]
508188,299921,708675,-1,-1,-1,-1,-1,-1,-1,[-1=1]
