Large Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,500,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
1462,2340,2004,3447,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,1755,2015,3511,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2925,877,2019,3523,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,585,2013,3534,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,2633,2000,3475,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2048,1988,3494,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2634,1171,2008,3472,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,585,2025,3467,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,877,2011,3479,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,2048,2004,3516,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2340,585,2041,3542,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,877,2004,3405,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,1755,2016,3454,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2634,585,2001,3553,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,1755,2009,3506,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,1755,2001,3477,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2340,1993,3457,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,2341,2003,3466,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,585,2033,3498,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2340,585,2000,3492,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,877,1993,3496,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4681,878,2043,3538,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,2341,2004,3472,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2925,585,1986,3500,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,2048,1998,3495,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2925,1170,2027,3526,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,878,1997,3468,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,877,1989,3498,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2633,1997,3449,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,878,1987,3517,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2633,1966,3479,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,1755,2007,3505,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,1755,2009,3507,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,586,2016,3521,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1755,1755,1989,3510,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1755,1755,1996,3507,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,877,2017,3524,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2925,877,2030,3493,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
