Large Problems 2 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
1000,700,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
4855114,9232175,2631,4984,2626,4966,744,1438,3878,744,1,1,[1=744]
4801867,9430827,2602,4956,2591,4928,732,1420,4020,732,1,1,[1=732]
4654414,9229542,2630,4975,2621,4954,738,1428,4059,738,2,1,[1=736/2=1]
4836096,9451892,2632,4980,2622,4952,750,1439,3870,750,1,1,[1=750]
4727555,9937842,2661,4961,2656,4946,768,1462,3860,768,1,1,[1=768]
4711171,9025332,2645,4974,2639,4958,751,1444,3960,751,1,1,[1=751]
4827612,9386942,2635,4972,2624,4941,739,1421,3915,739,1,1,[1=739]
5077170,9340424,2661,5022,2651,4992,749,1438,4056,749,1,1,[1=749]
5061079,9684773,2632,4962,2626,4939,756,1449,3980,758,3,1,[1=753/3=1]
4918307,9084430,2632,4914,2627,4897,753,1447,4094,753,1,1,[1=753]
4705905,9742994,2643,5022,2638,5009,757,1451,3935,757,1,1,[1=757]
4691569,9246804,2659,4968,2654,4953,764,1458,3785,764,1,1,[1=764]
4633056,9357101,2642,4947,2633,4922,748,1437,3764,748,1,1,[1=748]
4843996,9189461,2645,4985,2642,4974,754,1450,4067,754,1,1,[1=754]
4713804,9426438,2670,5012,2665,4997,762,1455,3949,762,1,1,[1=762]
4716437,9702912,2640,4963,2633,4945,752,1444,3907,752,1,1,[1=752]
4807425,9211696,2586,4984,2582,4973,727,1422,4094,727,1,1,[1=727]
4700639,8969160,2605,4945,2602,4935,746,1442,4110,746,1,1,[1=746]
4923574,9470616,2655,5006,2643,4975,747,1434,4003,747,1,1,[1=747]
4642419,9084137,2643,4998,2640,4988,758,1453,4041,762,5,1,[1=753/5=1]
4550260,8961553,2626,4935,2622,4925,755,1450,3884,755,4,1,[1=751/4=1]
4829952,9348323,2619,5027,2615,5013,737,1432,3995,738,2,1,[1=735/2=1]
4674893,8978229,2646,4997,2643,4988,755,1450,4131,755,1,1,[1=755]
4810058,9537028,2676,5013,2670,4996,758,1451,4019,758,1,1,[1=758]
4749205,9064243,2626,4948,2621,4933,751,1445,3983,751,1,1,[1=751]
4903971,9515378,2656,4987,2651,4968,752,1443,3950,752,1,1,[1=752]
4903094,9437263,2636,5020,2628,4999,740,1431,4079,740,1,1,[1=740]
4759444,9042885,2651,4981,2641,4956,747,1436,4002,747,1,1,[1=747]
4950782,9521815,2651,4977,2642,4954,753,1442,4234,753,2,1,[1=751/2=1]
4884955,9355345,2614,4944,2606,4922,742,1432,4107,743,2,1,[1=740/2=1]
4877641,9470031,2649,5034,2637,5001,752,1437,4086,752,1,1,[1=752]
4945223,9619531,2659,4951,2650,4923,764,1453,3986,764,1,1,[1=764]
4821761,9670730,2641,4980,2635,4964,747,1440,3863,747,1,1,[1=747]
4706198,9169567,2647,4948,2640,4929,757,1449,3936,757,1,1,[1=757]
4763540,9611047,2642,4994,2636,4974,756,1448,3899,757,2,1,[1=754/2=1]
4903387,9064243,2628,4999,2620,4979,739,1430,4361,741,3,1,[1=736/3=1]
4856576,9170152,2622,4948,2614,4925,746,1437,3937,746,1,1,[1=746]
5049083,9693257,2633,4948,2623,4916,743,1431,3897,743,1,1,[1=743]
4874130,9175126,2645,4968,2640,4953,758,1452,4089,758,1,1,[1=758]
4942005,9446040,2628,4971,2620,4946,748,1439,3992,748,1,1,[1=748]
5159381,9100814,2610,5014,2602,4990,728,1418,4298,728,1,1,[1=728]
4924158,9316434,2626,4952,2617,4927,742,1431,4202,742,1,1,[1=742]
4716437,9191801,2643,4949,2638,4933,761,1455,3843,761,1,1,[1=761]
4791042,9271672,2655,4984,2651,4970,747,1441,4018,747,1,1,[1=747]
4759737,8923520,2607,4942,2599,4920,735,1426,3907,735,2,1,[1=733/2=1]
4975943,9325211,2600,4981,2592,4957,725,1416,4039,729,4,1,[1=721/4=1]
4951660,9169274,2652,5008,2643,4982,752,1441,4006,752,1,1,[1=752]
4602922,9312631,2604,4971,2600,4960,739,1434,3978,739,1,1,[1=739]
4873544,9149087,2631,4969,2620,4939,742,1430,3901,742,1,1,[1=742]
4771732,9388113,2666,5004,2660,4988,757,1450,3913,757,1,1,[1=757]
4804499,9565407,2623,4898,2622,4890,750,1447,3861,750,1,1,[1=750]
4732236,8941951,2638,4996,2635,4986,746,1441,4022,747,3,1,[1=743/3=1]
4787823,9510990,2635,4959,2628,4936,757,1448,3810,757,1,1,[1=757]
4779924,8970330,2646,4972,2639,4954,745,1437,3919,745,1,1,[1=745]
4847214,9608414,2637,4952,2627,4926,744,1433,4018,744,1,1,[1=744]
4922988,9039083,2663,5023,2652,4997,749,1437,4105,749,1,1,[1=749]
4594146,9410347,2658,4997,2653,4985,761,1455,3906,761,1,1,[1=761]
4836974,9189460,2653,5003,2645,4980,752,1443,3988,752,1,1,[1=752]
4934106,9485829,2644,4997,2635,4971,746,1436,4056,746,1,1,[1=746]
4674308,9057806,2647,4967,2633,4932,751,1434,3695,751,1,1,[1=751]
4759152,9181269,2617,4981,2609,4958,744,1434,3951,744,1,1,[1=744]
4800403,9204674,2621,5000,2615,4979,738,1429,3971,738,1,1,[1=738]
4724337,9283082,2621,4919,2615,4903,758,1451,4007,758,1,1,[1=758]
5019242,9014800,2568,4953,2558,4924,720,1409,4112,720,1,1,[1=720]
4980331,9256166,2652,4932,2647,4914,761,1455,4091,761,1,1,[1=761]
4777876,9368218,2683,4966,2674,4942,772,1462,3945,772,1,1,[1=772]
4681330,9506016,2652,4991,2641,4965,752,1440,3903,752,1,1,[1=752]
4942004,9417368,2620,4975,2613,4955,746,1437,4041,746,1,1,[1=746]
4675186,9436093,2654,4910,2645,4883,769,1458,3725,769,1,1,[1=769]
4578054,9295954,2637,4956,2633,4945,748,1443,3832,748,1,1,[1=748]
4818250,9408300,2647,5024,2642,5009,745,1439,3870,745,4,1,[1=741/4=1]
4918599,9213451,2656,4976,2645,4946,756,1444,3910,757,2,1,[1=754/2=1]
4923865,9575647,2634,4984,2629,4964,754,1447,3829,754,1,1,[1=754]
4648269,9244756,2655,5089,2643,5061,739,1424,3844,739,1,1,[1=739]
5348377,9901563,2665,5014,2657,4984,755,1446,4116,755,1,1,[1=755]
4586246,8936392,2646,4958,2638,4939,754,1445,4116,754,1,1,[1=754]
4884077,9453647,2573,4940,2568,4921,722,1416,3864,722,1,1,[1=722]
4849554,9472664,2632,4973,2625,4949,740,1432,3802,740,1,1,[1=740]
4967750,9583253,2614,4939,2607,4916,733,1425,4052,733,1,1,[1=733]
4880567,9062488,2624,4979,2613,4948,738,1425,4035,741,4,1,[1=734/4=1]
4778754,9210526,2667,5041,2654,5012,752,1438,4141,752,1,1,[1=752]
5201510,9417954,2663,4995,2656,4969,755,1446,4027,755,1,1,[1=755]
5078340,10094656,2662,4915,2658,4897,774,1467,4034,774,1,1,[1=774]
5049669,9318482,2652,4962,2643,4936,758,1447,4176,758,1,1,[1=758]
4950489,9161375,2620,4938,2616,4922,750,1445,4202,750,2,1,[1=748/2=1]
4694202,9280448,2627,4998,2618,4975,742,1432,3873,742,1,1,[1=742]
4875300,9403326,2671,5029,2665,5008,762,1452,3995,762,1,1,[1=762]
