Large Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,700,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
2633,585,2621,4920,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,2925,2609,4945,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
773918490,7501362,2673,4972,2669,4958,769,1464,1011058,720,2,1,[1=767/2=1]
2633,585,2587,4933,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,3218,2592,4963,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,585,2659,4986,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,585,2658,5009,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2340,2598,4955,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2925,585,2612,4995,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,1756,2621,4985,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,877,2658,5030,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,2340,2635,4977,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,293,2630,4956,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1171,2048,2621,4953,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,878,2610,4934,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2047,2623,4847,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,585,2641,5003,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3511,585,2656,4978,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,1756,2651,4962,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2048,2340,2656,4921,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2633,585,2671,5051,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1462,1755,2588,5079,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
43673490,7126879,2605,4980,2597,4960,737,1427,42261,550,2,1,[1=735/2=1]
1755,2048,2651,4929,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,1755,2615,4990,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,1755,2657,4937,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2341,1170,2616,4955,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2048,2597,4922,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1463,2047,2628,4924,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4096,1170,2617,5026,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3218,585,2612,4909,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2341,878,2654,4935,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
