Large Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,700,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
2633,585,2621,4920,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
773918490,7501362,2673,4972,2669,4958,769,1464,1011058,720,2,1,[1=767/2=1]
43673490,7126879,2605,4980,2597,4960,737,1427,42261,550,2,1,[1=735/2=1]
197782008,7033551,2595,4954,2588,4931,733,1424,415738,177,3,1,[1=726/2=2/3=1]
79488398,7592642,2670,5019,2659,4984,750,1438,92197,739,2,1,[1=746/2=2]
51518616,7090309,2659,5005,2652,4987,757,1448,104902,276,2,1,[1=755/2=1]
37044849,7338989,2626,4933,2623,4920,754,1449,58244,346,2,1,[1=752/2=1]
46888193,6980304,2628,4982,2624,4967,751,1446,71582,379,5,1,[1=743/3=1/5=1]
113142421,7063100,2613,4986,2604,4960,729,1418,94338,468,4,1,[1=723/2=1/4=1]
59715405,7677778,2651,4931,2647,4919,771,1466,67120,747,2,1,[1=769/2=1]
45023092,7040865,2597,4905,2588,4880,740,1429,75400,615,2,1,[1=738/2=1]
212088719,6928520,2600,4996,2593,4976,728,1420,417086,529,10,1,[1=711/2=1/5=1/10=1]
32736248,7090893,2626,4968,2621,4949,744,1436,65819,276,4,1,[1=740/4=1]
99977004,7286911,2629,5039,2623,5024,741,1434,89515,589,2,1,[1=739/2=1]
147364605,7061052,2597,4961,2589,4939,735,1426,150030,400,3,1,[1=732/3=1]
132085700,6733379,2664,5007,2657,4989,759,1451,154586,212,2,1,[1=757/2=1]
41033093,2074284,2629,4957,2623,4939,-1,-1,21744,-1,-1,-1,[-1=1]
357055756,7216697,2645,4980,2637,4957,756,1447,191719,750,2,1,[1=754/2=1]
213605961,7254438,2620,4962,2612,4941,741,1432,251082,627,3,1,[1=738/3=1]
377842486,2595343,2625,4958,2617,4937,-1,-1,680074,-1,-1,-1,[-1=1]
54822258,7274039,2604,4943,2596,4917,738,1429,69083,700,5,1,[1=733/5=1]
82885953,6973575,2629,4944,2621,4923,752,1443,51550,377,2,1,[1=750/2=1]
87832054,6889609,2631,4948,2627,4937,760,1455,183701,161,3,1,[1=753/2=2/3=1]
70429713,7229570,2625,5012,2620,4993,736,1430,67383,677,2,1,[1=734/2=1]
187267814,7455430,2596,4969,2586,4940,728,1417,295374,546,3,1,[1=725/3=1]
223766151,7212893,2635,4948,2633,4943,755,1452,287105,718,4,1,[1=751/4=1]
28326418,7174860,2625,4955,2618,4934,745,1436,39289,746,4,1,[1=741/4=1]
28187450,7099670,2605,4904,2598,4885,743,1435,32659,274,3,1,[1=740/3=1]
52562487,7022726,2621,4975,2617,4963,744,1439,88392,533,7,1,[1=737/7=1]
59225358,7894277,2611,5002,2603,4974,735,1426,68859,654,6,1,[1=721/2=1/6=2]
349755680,7646767,2658,5015,2652,4993,752,1445,333562,681,2,1,[1=748/2=2]
64726163,6975623,2600,4891,2587,4859,735,1421,89144,674,3,1,[1=732/3=1]
33124774,6865033,2639,4992,2634,4975,744,1436,23705,267,2,1,[1=742/2=1]
85615875,7629505,2619,5030,2613,5010,736,1429,123934,545,4,1,[1=732/4=1]
1189735597,6902189,2592,4911,2588,4899,735,1428,1697982,721,3,1,[1=732/3=1]
50260295,6705000,2590,4939,2576,4906,726,1411,26672,153,3,1,[1=721/2=1/3=1]
97752049,7136241,2626,5012,2615,4984,732,1420,197751,718,11,1,[1=721/11=1]
54478202,7094112,2642,4993,2632,4967,745,1433,33215,503,4,1,[1=738/3=1/4=1]
49738945,7241272,2624,5028,2617,5004,735,1426,103267,704,3,1,[1=732/3=1]
34542250,7394868,2610,4943,2603,4923,738,1430,49154,523,4,1,[1=734/4=1]
87153889,7058127,2632,4931,2628,4918,751,1446,160070,553,7,1,[1=744/7=1]
22591855,6915355,2660,4984,2650,4959,747,1436,27419,228,2,1,[1=745/2=1]
147371627,7456307,2605,4966,2596,4938,738,1428,107092,505,2,1,[1=734/2=2]
25793684,7381995,2609,4973,2600,4943,736,1426,27994,722,3,1,[1=733/3=1]
512253784,7154087,2610,4998,2605,4976,729,1423,1059521,459,2,1,[1=727/2=1]
187612747,6896045,2640,4988,2634,4968,754,1446,125842,82,2,1,[1=752/2=1]
45612611,7290715,2581,4958,2572,4934,726,1416,55606,714,6,1,[1=720/6=1]
41943555,7263507,2598,5051,2594,5031,726,1421,70261,639,5,1,[1=721/5=1]
43947624,7207919,2663,5064,2653,5036,748,1437,49376,568,2,1,[1=746/2=1]
20717685,7310902,2632,4989,2621,4963,739,1426,37781,519,6,1,[1=728/5=1/6=1]
94596738,7331674,2660,5010,2656,4993,760,1454,96767,656,12,1,[1=748/12=1]
45473935,7527985,2606,4951,2601,4933,747,1441,31317,582,3,1,[1=742/2=1/3=1]
81306103,7507213,2616,4968,2609,4948,744,1435,67211,706,2,1,[1=740/2=2]
18763059,6940223,2631,4971,2621,4944,743,1431,14925,375,3,1,[1=740/3=1]
86682860,7009560,2631,4907,2624,4889,752,1444,141839,467,3,1,[1=749/3=1]
11963560,7167253,2643,4987,2634,4961,752,1441,18616,310,5,1,[1=745/2=1/5=1]
118156689,7146188,2619,4983,2613,4967,739,1432,253572,646,3,1,[1=736/3=1]
18834153,7295981,2613,4977,2603,4950,722,1410,23971,238,3,1,[1=716/3=2]
231345043,7435534,2645,4992,2633,4960,746,1433,323769,579,4,1,[1=742/4=1]
157397823,7313243,2656,4994,2655,4990,765,1463,189491,663,4,1,[1=761/4=1]
