Large Problem, C = V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,100,542296,91853,1034449,142441,4,1
163,163,1173570,501176,1867606,213641,8,1
226,226,1382835,189560,2355789,153546,6,1
289,289,1878949,128425,3048915,131838,7,1
352,352,2445767,222654,3768966,211350,5,1
415,415,3013222,137189,4719655,239520,4,1
478,478,3427686,539754,5472379,482058,8,1
541,541,4044473,197442,6368607,397114,6,1
604,604,4825196,478745,7308853,494324,17,1
667,667,6100561,0,8491109,0,9,1
730,730,6074756,720909,9161782,738009,5,1
793,793,7145967,542032,10359793,510354,15,1
856,856,7547683,672866,10822557,502989,10,1
919,919,8787768,284298,12021780,70468,3,1
982,982,9430242,0,13521176,0,2,1
1045,1045,10912861,598568,14986046,504863,27,1
1108,1108,10888748,980058,16028381,155282,20,1
1171,1171,11018868,0,16861681,0,5,1
1234,1234,13381621,1306205,18816598,36823,5,1
1297,1297,13762981,311346,20221787,594971,8,1
1360,1360,14719814,0,20467542,0,1,1
1423,1423,15866569,1070220,23530694,2212680,11,1
1486,1486,18752527,0,28736887,0,19,1
1549,1549,18248730,1483704,26457513,1106779,4,1
1612,1612,22477827,3195427,30183106,2111652,50,1
1675,1675,22542020,818654,31556528,809068,4,1
1738,1738,22872131,3190419,32264194,780952,8,1
1801,1801,23939042,420572,31945152,1689028,84,1
1864,1864,23826989,1376922,33361091,974302,12,1
1927,1927,0,0,0,0,-1,-1
1990,1990,27777712,222390,38084479,626622,39,1
