Large Problem, C = V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,100,9144232,183488897,147651,1549735,16,1
163,163,2997660,34139153,391933,2760432,15,1
226,226,17177639,238044872,435055,4042775,36,1
289,289,17104116,141551882,944679,6395716,25,1
352,352,38653493,519399138,846402,7103685,30,1
415,415,53736799,542452000,1128856,8708493,27,1
478,478,54853783,449705524,1555874,10221761,45,1
541,541,101344853,869078448,2123143,12706655,37,1
604,604,422321553,2033862440,3084823,14486153,42,1
667,667,29646758,650894900,1267214,13745144,14,1
730,730,57219899,507010474,2239574,16642711,35,1
793,793,346905917,1171616007,2144757,17464802,28,1
856,856,176302992,1761437092,2469504,20245179,35,1
919,919,231979624,2385501649,3840743,24579802,55,1
982,982,696464273,0,3768764,27985526,52,1
1045,1045,630919751,0,5831605,31509704,83,1
1108,1108,412706476,3016067274,5142006,29812600,45,1
1171,1171,570833378,1676936627,7769418,38193557,114,1
1234,1234,444538494,1243891457,5442800,38667042,64,1
1297,1297,542615314,1272658028,7473500,43218767,100,1
1360,1360,855943461,2238048835,9574422,47475297,100,1
1423,1423,502162455,0,6057822,48495056,86,1
1486,1486,548387905,2381931887,6454581,53646514,59,1
1549,1549,799204364,0,11398886,60439015,103,1
1612,1612,1074941490,0,8365183,55401980,71,1
1675,1675,762088079,1568642035,10165371,63717545,60,1
1738,1738,866253356,0,12184654,72094972,124,1
1801,1801,938741338,2099531261,11571208,69424711,118,1
1864,1864,1573830676,1812679532,14981217,70865069,103,1
1927,1927,907857985,2466380100,12371225,78476450,92,1
1990,1990,942352183,0,13454553,83129024,146,1
