Large Problem, C = 3V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,300,1669,3308,1471,4624,-1,-1
163,489,2795,5962,1979,5930,-1,-1
226,678,3783,9628,2164,7115,-1,-1
289,867,3694,9661,2193,7055,-1,-1
352,1056,3808,10301,2315,6469,-1,-1
415,1245,4308,13602,3186,12474,-1,-1
478,1434,5251,17367,3183,10117,-1,-1
541,1623,4336,11382,3413,9739,-1,-1
604,1812,5274,14651,3693,12297,-1,-1
667,2001,6596,25444,4064,13135,-1,-1
730,2190,6081,18247,3839,15885,-1,-1
793,2379,6551,24332,5204,24351,-1,-1
856,2568,6528,28365,5654,23704,-1,-1
919,2757,7758,25914,5109,19387,-1,-1
982,2946,7406,18473,5380,25962,-1,-1
1045,3135,8025,35526,6151,31148,-1,-1
1108,3324,6598,25979,7126,38229,-1,-1
1171,3513,9925,32379,6354,26649,-1,-1
1234,3702,9659,40759,5593,21999,-1,-1
1297,3891,9825,35228,6989,27266,-1,-1
1360,4080,6892,21640,5897,19561,-1,-1
1423,4269,9778,47330,9124,34751,-1,-1
1486,4458,8394,30767,7875,32634,-1,-1
1549,4647,12540,54476,10081,38245,-1,-1
1612,4836,12762,63807,11903,62520,-1,-1
1675,5025,11835,44804,9512,49227,-1,-1
1738,5214,10345,46957,7576,37059,-1,-1
1801,5403,8882,39348,9700,39428,-1,-1
1864,5592,12753,67262,11486,51944,-1,-1
1927,5781,13912,52222,10273,49561,-1,-1
1990,5970,12196,47292,8101,30513,-1,-1
