Large Problem, C = 5V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,500,0,0,0,0,-1,-1
163,815,0,0,0,0,-1,-1
226,1130,0,0,0,0,-1,-1
289,1445,0,0,0,0,-1,-1
352,1760,0,0,0,0,-1,-1
415,2075,0,0,0,0,-1,-1
478,2390,0,0,0,0,-1,-1
541,2705,0,0,0,0,-1,-1
604,3020,0,0,0,0,-1,-1
667,3335,0,0,0,0,-1,-1
730,3650,0,0,0,0,-1,-1
793,3965,0,0,0,0,-1,-1
856,4280,0,0,0,0,-1,-1
919,4595,0,0,0,0,-1,-1
982,4910,0,0,0,0,-1,-1
1045,5225,0,0,0,0,-1,-1
1108,5540,0,0,0,0,-1,-1
1171,5855,0,0,0,0,-1,-1
1234,6170,0,0,0,0,-1,-1
1297,6485,0,0,0,0,-1,-1
1360,6800,0,0,0,0,-1,-1
1423,7115,0,0,0,0,-1,-1
1486,7430,0,0,0,0,-1,-1
1549,7745,0,0,0,0,-1,-1
1612,8060,0,0,0,0,-1,-1
1675,8375,0,0,0,0,-1,-1
1738,8690,0,0,0,0,-1,-1
1801,9005,0,0,0,0,-1,-1
1864,9320,0,0,0,0,-1,-1
1927,9635,0,0,0,0,-1,-1
1990,9950,0,0,0,0,-1,-1
