Large Problem (10-210V), C = 0.5 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,50,287781,207661,672521,357548,3,1
163,81,462715,124135,1052639,243901,4,1
226,113,693382,194050,1483070,251332,4,1
289,144,818961,263702,1787904,559075,2,1
352,176,991210,304329,2114407,338342,2,1
415,207,1392551,263875,2909396,351739,2,1
478,239,1458425,362070,2975567,441694,2,1
541,270,1991900,584075,4182882,2230037,5,1
604,302,1850492,387976,3828610,659054,3,1
667,333,2211042,609485,4530479,1197759,2,1
730,365,2662388,1441557,5353942,2889011,2,1
793,396,2838706,1314550,5834304,2054746,3,1
856,428,2994977,750150,6087576,2049181,1,1
919,459,3342170,884408,6969189,2371935,2,1
982,491,3572570,721429,6774984,1051906,4,1
1045,522,4010047,1954674,7763490,3199507,3,1
1108,554,4266818,1867811,8438537,3724701,4,1
1171,585,4508967,1396120,8781521,2663154,3,1
1234,617,5046358,2308320,9678860,4913713,1,1
1297,648,5017992,1440960,10246278,5504907,1,1
1360,680,5344324,2185562,10582060,4438160,2,1
1423,711,5822506,3278307,11313676,5628015,2,1
1486,743,6296915,2851034,12479017,5589817,2,1
1549,774,6630359,3352772,12684796,5745707,2,1
1612,806,6762171,2361395,13223941,4812501,2,1
1675,837,7053327,2145201,13634225,4215002,2,1
1738,869,8299137,5699316,15942978,10951396,3,1
1801,900,8086552,3275622,16273702,14358145,1,1
1864,932,9475201,7119488,17346916,10928521,3,1
1927,963,8473264,4297309,16147505,7559791,2,1
1990,995,9105469,4158062,17037457,6707012,2,1
