Large Problem (10-210V), C = 0.5 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,50,193114,1521159,98775,690005,3,1
163,81,132789,1114675,96999,815328,2,1
226,113,1015782,8606189,151675,1271521,2,1
289,144,1000908,10014533,242189,1865973,3,1
352,176,1503,2205,2254,1836,-1,-1
415,207,1484874,14561581,254257,2349802,4,1
478,239,2799841,22964340,333899,2367836,3,1
541,270,6599045,75483132,474326,4312506,2,1
604,302,1417501,13415876,316931,2983586,2,1
667,333,4057523,19076402,1081127,5183850,3,1
730,365,830235,7827629,155846,1434435,-1,-1
793,396,1037210,7733976,532830,3958275,2,1
856,428,7188965,57271433,838553,6176609,3,1
919,459,2351376,17533254,656365,4890863,5,1
982,491,6741273,37333639,1196384,7179456,3,1
1045,522,6726,10032,4554,3810,-1,-1
1108,554,7696542,35239387,1926871,8062531,4,1
1171,585,7821,20441,5066,9133,-1,-1
1234,617,18628296,179974937,1776360,11704587,4,1
1297,648,1537621,12975492,913123,7708425,2,1
1360,680,20416559,152721636,978735,7286058,2,1
1423,711,70798586,387739780,1612567,8818300,3,1
1486,743,8994720,97846563,1398140,11783451,2,1
1549,774,6655144,43093930,1526512,10459742,2,1
1612,806,49137633,563867736,1972966,14722845,3,1
1675,837,7462780,68453060,1766376,16191794,3,1
1738,869,28465090,107341378,2438781,10620045,2,1
1801,900,7774880,96956058,478316,5904209,-1,-1
1864,932,6316,4852,9594,10446,-1,-1
1927,963,173026214,810174057,6106200,19021788,10,1
1990,995,27834477,176703728,3014372,17149071,4,1
