Large Problem (10-210V), C = 0.75 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,75,2262425,23718751,76435,788814,4,1
163,122,1180224,10770589,184356,1549420,4,1
226,169,10259049,100631067,479737,2570002,5,1
289,216,7040913,50128443,871910,4493164,7,1
352,264,8104725,109697804,344111,3377646,4,1
415,311,6786948,60059530,678011,5046717,11,1
478,358,29845827,215463514,1321156,6676977,11,1
541,405,16633892,96658537,1563259,7784123,9,1
604,453,57401437,508928593,1674323,10057472,8,1
667,500,17858010,210272821,1253201,10668479,6,1
730,547,9457645,90509660,1070735,9812695,4,1
793,594,19632784,185986396,1465648,12369968,9,1
856,642,42643219,495120383,2323874,17061053,6,1
919,689,40192037,453464908,1974695,13256202,6,1
982,736,25216887,338268051,1536158,13858098,6,1
1045,783,74089470,925182911,1716979,16024526,5,1
1108,831,19228690,282164630,1265025,13333154,5,1
1171,878,46912568,373272020,3460344,23202543,8,1
1234,925,32301392,247748651,3030029,19529042,10,1
1297,972,148165494,1256231381,4231832,25288477,7,1
1360,1020,17267650,191872898,2063705,18876691,6,1
1423,1067,83682844,1169945859,3222330,27376509,5,1
1486,1114,136195625,870340894,7619979,29036108,13,1
1549,1161,43847889,427603763,3553799,28111851,19,1
1612,1209,164995276,2423069873,5118536,33211690,14,1
1675,1256,163577629,1176227391,5739692,31459760,10,1
1738,1303,139234755,758814505,10371658,42378198,9,1
1801,1350,28534369,303615792,2163876,22831369,3,1
1864,1398,79127834,1151382744,3931700,33682256,35,1
1927,1445,181931528,1642165265,9423412,45561562,14,1
1990,1492,15246,34770,8246,23898,-1,-1
