Larger Problems 1 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
10000,8000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
595077219,646525027,27540,53830,26695,51883,7165,14317,46560,7165,1,1,[1=7165]
338324419,455053749,27598,53803,26778,51911,7217,14396,46117,7248,18,1,[1=7193/6=1/18=1]
332018735,806859337,27463,53609,26648,51732,7182,14365,45004,7185,4,1,[1=7178/4=1]
778506139,713874700,27432,53602,26604,51659,7160,14331,50806,7160,1,1,[1=7160]
540670393,576357062,27300,53396,26501,51550,7142,14339,47202,7154,6,1,[1=7133/3=1/6=1]
486531558,406804861,27332,53593,26501,51669,7127,14295,47320,7127,1,1,[1=7127]
514441518,622373376,27520,53610,26715,51748,7193,14385,46712,7193,1,1,[1=7193]
453465991,399205155,27474,53657,26657,51787,7176,14358,46897,7226,25,1,[1=7151/25=1]
693188790,583505631,27471,53653,26677,51823,7218,14422,46444,7222,4,1,[1=7211/3=1/4=1]
430267227,516443550,27392,53683,26575,51822,7129,14311,45785,7129,1,1,[1=7129]
415209711,605878479,27481,53497,26701,51700,7215,14433,44776,7215,1,1,[1=7215]
349580328,517512295,27352,53538,26585,51760,7183,14413,46960,7183,1,1,[1=7183]
322601021,660849665,27324,53397,26525,51550,7165,14365,45861,7165,1,1,[1=7165]
354497785,670566967,27466,53487,26695,51703,7239,14467,46640,7239,1,1,[1=7239]
327708939,490668447,27486,53596,26674,51717,7182,14369,45803,7188,7,1,[1=7175/7=1]
441311318,574556023,27428,53868,26612,52007,7094,14277,46211,7097,4,1,[1=7090/4=1]
348058983,599419489,27415,53488,26641,51719,7228,14452,46536,7228,1,1,[1=7228]
352822842,460204381,27374,53577,26502,51566,7107,14233,46712,7107,1,1,[1=7107]
338602357,439345857,27318,53526,26513,51659,7143,14335,45494,7143,1,1,[1=7143]
320116839,385486715,27350,53447,26570,51652,7200,14419,46527,7200,1,1,[1=7200]
327630823,441374805,27466,53480,26678,51656,7272,14482,46518,7272,1,1,[1=7272]
368538926,446415432,27223,52956,26454,51205,7186,14414,45311,7186,1,1,[1=7186]
328638422,529939056,27489,53556,26705,51745,7228,14443,47326,7235,5,1,[1=7223/5=1]
375977428,557099461,27403,53675,26626,51867,7181,14401,47034,7183,4,1,[1=7177/4=1]
285862868,591400828,27333,53396,26481,51444,7131,14276,45922,7131,1,1,[1=7131]
272262624,392421125,27402,53458,26587,51583,7176,14358,47998,7195,11,1,[1=7156/3=1/6=1/11=1]
337532442,426431974,27311,53504,26534,51683,7158,14376,46550,7161,3,1,[1=7155/3=1]
348233937,406774142,27403,53547,26594,51685,7172,14362,46523,7192,10,1,[1=7157/2=1/3=1/10=1]
328504134,385948678,27390,53402,26607,51605,7209,14425,47051,7220,8,1,[1=7198/3=1/8=1]
338003181,846297294,27535,53534,26731,51669,7233,14428,45850,7233,1,1,[1=7233]
339932072,458256766,27375,53407,26564,51523,7183,14371,45590,7183,2,1,[1=7181/2=1]
325619137,558882068,27326,53320,26543,51496,7196,14411,46172,7196,1,1,[1=7196]
321158668,408063190,27296,53508,26499,51646,7134,14335,47988,7134,1,1,[1=7134]
293484224,424045509,27514,53722,26732,51879,7213,14429,46561,7214,2,1,[1=7211/2=1]
330556488,467427261,27395,53399,26611,51570,7193,14407,45538,7194,2,1,[1=7191/2=1]
335203905,601004615,27327,53647,26535,51806,7138,14345,46433,7138,2,1,[1=7136/2=1]
346122193,586184076,27361,53503,26546,51598,7151,14330,47275,7153,3,1,[1=7148/3=1]
546264263,699590437,27407,53553,26562,51598,7120,14274,46107,7126,7,1,[1=7113/7=1]
335387345,650834824,27462,53546,26678,51739,7245,14460,45741,7245,2,1,[1=7243/2=1]
338298380,501378427,27285,53237,26460,51340,7150,14323,46234,7150,1,1,[1=7150]
334891152,458957170,27263,53594,26496,51809,7131,14363,47627,7137,6,1,[1=7121/2=2/6=1]
383251214,407389410,27446,53408,26633,51531,7205,14391,45427,7205,1,1,[1=7205]
342529477,525056706,27441,53424,26654,51597,7196,14406,47193,7196,1,1,[1=7196]
354093458,439227659,27456,53739,26623,51830,7138,14301,46743,7138,1,1,[1=7138]
592394091,647319931,27336,53440,26557,51638,7205,14424,47667,7205,1,1,[1=7205]
621882449,553735239,27292,53330,26475,51457,7157,14339,45342,7157,1,1,[1=7157]
332763902,417036202,27383,53466,26580,51602,7202,14397,47407,7202,1,1,[1=7202]
352211086,418365625,27437,53648,26636,51778,7188,14384,45367,7205,7,1,[1=7177/4=1/7=1]
245447446,573808224,27471,53683,26709,51929,7187,14424,46325,7187,1,1,[1=7187]
342473304,445099468,27392,53445,26604,51615,7182,14392,46654,7182,1,1,[1=7182]
299260070,381097048,27362,53468,26600,51711,7192,14428,45548,7192,4,1,[1=7188/4=1]
338909845,394257272,27412,53732,26598,51851,7169,14353,45341,7169,1,1,[1=7169]
328740528,423004851,27256,53285,26497,51502,7168,14407,45866,7168,1,1,[1=7168]
313049312,391689124,27550,53926,26737,52059,7182,14367,44878,7184,4,1,[1=7178/4=1]
309467128,401942407,27595,53706,26762,51790,7192,14357,47003,7206,14,1,[1=7174/4=1/14=1]
448168198,436857287,27277,53555,26457,51663,7106,14285,46598,7107,3,1,[1=7101/2=1/3=1]
278484634,387686230,27389,53346,26617,51571,7217,14443,46249,7255,17,1,[1=7200/17=1]
356090224,385336921,27367,53335,26573,51519,7183,14386,46692,7185,3,1,[1=7180/3=1]
332797839,464521784,27305,53455,26490,51563,7136,14319,48342,7136,1,1,[1=7136]
351661061,398833596,27433,53551,26600,51631,7189,14355,45284,7201,8,1,[1=7177/4=1/8=1]
375016933,474331537,27371,53425,26553,51505,7150,14330,47635,7150,1,1,[1=7150]
318421124,378797769,27392,53765,26647,52048,7220,14474,46084,7220,1,1,[1=7220]
365041295,449640392,27415,53715,26560,51713,7127,14269,45925,7128,3,1,[1=7124/3=1]
