Larger Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
10000,8000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
72327560607,679005169,27429,53637,26576,51672,7131,14277,48188083,6574,3,1,[1=7128/3=1]
4310971797,406309547,27509,53562,26706,51679,7178,14374,1308766,6552,3,1,[1=7175/3=1]
23864917978,325901170,27378,53540,26550,51665,7086,14256,17757624,6586,15,1,[1=7066/2=1/3=1/15=1]
32489600580,378244818,27421,53752,26650,51953,7177,14403,6862075,6606,4,1,[1=7173/4=1]
2704878574,295990055,27327,53445,26532,51590,7173,14375,836603,4745,11,1,[1=7159/3=1/11=1]
4028728855,595091554,27375,53466,26593,51664,7190,14407,863927,4944,2,1,[1=7188/2=1]
4137304650,504362019,27335,53463,26511,51536,7128,14302,1882709,6206,12,1,[1=7108/8=1/12=1]
4250881284,377170806,27445,53687,26664,51882,7197,14414,1866761,5604,6,1,[1=7188/3=1/6=1]
42790655838,749474770,27361,53377,26585,51577,7218,14441,17022398,6717,5,1,[1=7208/5=2]
2160491126,632904597,27422,53307,26630,51443,7230,14436,994802,5931,13,1,[1=7210/7=1/13=1]
3818409568,374269425,27430,53682,26604,51756,7159,14330,1166124,2239,7,1,[1=7150/2=1/7=1]
17939847754,391700826,27456,53420,26655,51560,7199,14397,8651306,5931,9,1,[1=7190/9=1]
39052141776,618677091,27510,53585,26689,51673,7186,14362,3915891,3999,4,1,[1=7182/4=1]
24975920026,445691037,27396,53551,26593,51686,7181,14376,7131242,6086,9,1,[1=7166/3=2/9=1]
2411014600,420168419,27435,53294,26623,51400,7193,14380,710078,4458,2,1,[1=7189/2=2]
15701364559,397593992,27479,53583,26655,51671,7195,14368,1030855,2711,7,1,[1=7182/2=1/4=1/7=1]
7230306255,477319226,27402,53483,26572,51565,7186,14354,753643,3751,4,1,[1=7179/3=1/4=1]
41588156560,350006012,27354,53587,26523,51665,7125,14292,9060914,6703,4,1,[1=7118/3=1/4=1]
20619962335,358244683,27314,53531,26546,51760,7175,14406,8994096,6520,11,1,[1=7164/11=1]
3298643633,370977174,27419,53600,26621,51749,7203,14402,586114,7032,4,1,[1=7195/4=2]
5861063415,537141164,27458,53685,26669,51866,7190,14400,2780531,5744,4,1,[1=7186/4=1]
12222238151,583531376,27469,53607,26702,51829,7231,14461,1733757,7209,3,1,[1=7228/3=1]
1564697997,342345745,27351,53458,26545,51580,7160,14353,148429,4234,13,1,[1=7142/2=1/3=1/13=1]
4642432315,327188755,27427,53381,26629,51556,7221,14421,2918409,5358,8,1,[1=7199/3=1/4=1/7=1/8=1]
21665311304,285625888,27401,53305,26586,51420,-1,-1,18731736,-1,-1,-1,[-1=1]
3279659874,356536096,27403,53557,26604,51705,7192,14392,782146,5311,6,1,[1=7186/6=1]
7005679885,344261470,27439,53488,26679,51728,7228,14466,2600773,3966,21,1,[1=7204/3=1/21=1]
4061732982,367338233,27477,53517,26677,51667,7223,14422,1832944,7139,3,1,[1=7220/3=1]
4619018809,377754769,27312,53454,26515,51587,7144,14344,358053,3992,3,1,[1=7141/3=1]
11169558930,557796354,27370,53472,26555,51603,7121,14303,5596524,6996,24,1,[1=7095/2=1/24=1]
8240805002,317760217,27374,53386,26590,51572,7179,14394,2882817,1267,3,1,[1=7176/3=1]
31789289260,343245387,27531,53514,26721,51630,7219,14408,16431244,4028,5,1,[1=7214/5=1]
20905478219,354955651,27482,53551,26702,51735,7228,14447,2732608,4666,2,1,[1=7226/2=1]
2798988714,322862283,27402,53277,26611,51426,7226,14433,349227,4396,2,1,[1=7224/2=1]
2661221517,340329670,27390,53657,26561,51739,7117,14284,772649,1552,14,1,[1=7100/3=1/14=1]
20082167286,314529698,27441,53737,26618,51825,7160,14335,8148384,5484,5,1,[1=7152/3=1/5=1]
29166151116,350398637,27426,53507,26637,51683,7189,14398,4171483,7015,15,1,[1=7172/2=1/15=1]
1812618215,263009332,27248,53021,26488,51251,-1,-1,547546,-1,-1,-1,[-1=1]
2816759493,493188029,27449,53606,26644,51749,7199,14392,620166,6523,3,1,[1=7196/3=1]
2918170336,399854068,27492,53682,26731,51917,7239,14476,265314,3856,3,1,[1=7234/2=1/3=1]
10122056086,310900119,27425,53731,26574,51785,7120,14268,10793033,6509,10,1,[1=7110/10=1]
2132569754,308114301,27500,53702,26688,51828,7162,14349,1655208,1363,7,1,[1=7145/2=3/4=1/7=1]
28775011139,293478957,27397,53347,26601,51510,7208,14410,13028182,4150,2,1,[1=7204/2=2]
11487769406,455878493,27365,53559,26589,51771,7199,14421,9203977,6795,8,1,[1=7191/8=1]
3817217944,367019043,27337,53318,26541,51463,7145,14348,2326551,5315,5,1,[1=7137/3=1/5=1]
25857265902,332313641,27359,53483,26570,51633,7168,14377,2405410,5281,5,1,[1=7160/3=1/5=1]
4079565492,242350046,27416,53577,26623,51718,-1,-1,417950,-1,-1,-1,[-1=1]
17602499336,402852582,27268,53509,26451,51584,7125,14305,7911889,6407,5,1,[1=7118/2=1/5=1]
15265180468,350372013,27391,53178,26597,51336,7202,14407,2491594,5308,5,1,[1=7197/5=1]
12353962388,345750634,27395,53646,26623,51856,7187,14413,5543406,1777,3,1,[1=7184/3=1]
6006177540,460424099,27527,53748,26705,51852,-1,-1,1905091,-1,-1,-1,[-1=1]
5074013751,550098639,27394,53331,26614,51519,7194,14413,749998,7188,4,1,[1=7190/4=1]
7265568411,382157894,27482,53678,26685,51833,7188,14390,4690160,5388,8,1,[1=7180/8=1]
2276355043,355309072,27403,53599,26620,51788,7185,14401,631687,6780,9,1,[1=7171/5=1/9=1]
12638315028,353525879,27511,53699,26642,51680,7134,14262,4732943,6626,4,1,[1=7130/4=1]
176623141654,352081771,27461,53800,26653,51906,7185,14374,49375884,7130,9,1,[1=7176/9=1]
7772193432,529210272,27388,53442,26627,51675,7214,14452,1408148,6626,9,1,[1=7198/2=1/5=1/9=1]
1808332116,353374038,27395,53374,26594,51498,7194,14392,300156,2182,3,1,[1=7183/2=1/3=3]
4827157305,350982306,27526,53609,26737,51778,7248,14457,2458039,6573,2,1,[1=7244/2=2]
3128642928,794798578,27374,53377,26529,51422,7142,14295,1731158,5273,8,1,[1=7134/8=1]
11350888977,297556164,27435,53546,26708,51849,7264,14536,9444974,4661,6,1,[1=7248/2=1/4=2/6=1]
2356067111,352210208,27338,53640,26477,51652,7080,14217,334936,4694,2,1,[1=7078/2=1]
4349761134,367377438,27456,53490,26626,51569,7169,14338,1938120,6701,6,1,[1=7163/6=1]
8215273022,518802221,27413,53597,26592,51678,7180,14357,2273806,7189,11,1,[1=7161/2=1/6=1/11=1]
6768706626,300219688,27408,53561,26600,51704,7189,14380,4552931,6588,8,1,[1=7174/7=1/8=1]
11732263964,335790209,27381,53776,26556,51861,7133,14307,1297414,7068,3,1,[1=7128/2=1/3=1]
3143632570,352770765,27426,53264,26661,51506,7255,14489,1934214,5764,5,1,[1=7239/3=2/5=2]
1991336815,359941569,27453,53360,26601,51418,7207,14354,320600,5689,4,1,[1=7201/2=1/4=1]
17488015454,541474366,27410,53645,26612,51786,7165,14366,15269724,6429,5,1,[1=7156/4=1/5=1]
4674337271,473201060,27335,53667,26510,51761,7102,14273,581718,3599,3,1,[1=7097/2=1/3=1]
