Larger Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
10000,12000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
179050,221473,37115,84197,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
10825,137506,36992,83652,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
246123355374,3113546499,36925,82979,35769,80295,7949,18789,176480275,2648656,1594,1,[1=6352/3=1/1594=1]
219804050699,3412228458,36984,83497,35769,80674,7874,18658,145989324,2970116,1684,1,[1=6190/1684=1]
342888,156230,37191,84105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
136336,9654,37028,83646,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,165007,37124,83847,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
248974,200993,37135,83932,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
110882,305147,37033,83762,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
297928501735,1044729606,37062,84058,35863,81285,-1,-1,201756519,-1,-1,-1,[-1=1]
117904,316264,36869,83210,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
356346,102984,37119,83729,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
79870,399061,37134,83843,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
215964454348,2856106461,37130,83802,35928,80998,7875,18671,147703377,2310517,1526,1,[1=6349/1526=1]
147454,324456,37142,83567,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
102691,146576,37094,83599,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
386480,535689,36971,83325,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
78408,113223,37241,83986,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
193386,298418,36923,83294,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
215122138883,3288411122,37033,83566,35804,80721,7859,18629,152943789,2267972,1471,1,[1=6388/1471=1]
216206,276768,37066,84097,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
277825518639,892184878,37036,83600,35822,80752,7873,18656,195494935,430,1479,1,[1=6376/2=1/7=1/9=1/1479=1]
124048,15214,37043,83641,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
428503391869,3171125331,37014,83241,35810,80445,7893,18686,291532690,2072758,1423,1,[1=6467/3=1/1423=1]
244585,234053,37135,84005,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
261418452225,822362726,37120,83802,35855,80866,7834,18565,176698482,3137,1479,1,[1=6351/2=2/1479=1]
348609493137,3242815519,36991,83254,35812,80515,7950,18768,223071182,2709473,1614,1,[1=6336/1614=1]
172907,36571,37283,84017,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
168436986015,900739228,37074,83434,35908,80713,7964,18797,122669081,2653,1619,1,[1=6336/2=1/3=1/4=1/1619=1]
73727,311876,37120,84438,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
430950,393501,37056,83043,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292768207214,1742550015,37164,84076,35863,81070,-1,-1,204751239,-1,-1,-1,[-1=1]
91280,81626,37101,83807,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
185422469747,3608808532,37004,83799,35787,80952,7845,18626,117735102,2574198,1575,1,[1=6267/3=1/1575=1]
89818,393502,37044,83707,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
245463,276183,37188,83760,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
331495273442,2568352152,37075,83591,35885,80812,7898,18705,210715238,2398216,1520,1,[1=6368/3=1/7=1/1520=1]
46225,38619,37120,83934,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
390576,55880,37090,83895,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
259373899621,3088417968,36973,83459,35758,80605,7834,18617,176133760,2233314,1472,1,[1=6358/4=1/1472=1]
184317,35986,36936,83420,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
459920655981,3512248148,36989,84077,35772,81232,7805,18585,290760006,3001919,1701,1,[1=6104/1701=1]
3219,69923,37186,83969,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
345666419839,2740594793,37129,83726,35939,80945,7954,18761,244145755,2217223,1466,1,[1=6488/1466=1]
168518,244878,37065,83703,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
270176492462,3428753489,37066,84261,35845,81394,7815,18593,180319313,2951903,1687,1,[1=6128/1687=1]
418318022356,3091931690,37108,83865,35937,81147,7899,18724,293920498,2643337,1773,1,[1=6126/1773=1]
112053,215037,37088,83977,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
35986,50321,37143,84073,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
413689,88941,37185,83741,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
