Larger Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
10000,12000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
179050,221473,37115,84197,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
10825,137506,36992,83652,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
342888,156230,37191,84105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
136336,9654,37028,83646,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2926,165007,37124,83847,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
248974,200993,37135,83932,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
110882,305147,37033,83762,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
117904,316264,36869,83210,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
356346,102984,37119,83729,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
79870,399061,37134,83843,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
147454,324456,37142,83567,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
102691,146576,37094,83599,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
386480,535689,36971,83325,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
78408,113223,37241,83986,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
193386,298418,36923,83294,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
216206,276768,37066,84097,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
124048,15214,37043,83641,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
244585,234053,37135,84005,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
172907,36571,37283,84017,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
73727,311876,37120,84438,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
430950,393501,37056,83043,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
91280,81626,37101,83807,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
89818,393502,37044,83707,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
245463,276183,37188,83760,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
46225,38619,37120,83934,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
390576,55880,37090,83895,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
184317,35986,36936,83420,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3219,69923,37186,83969,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
168518,244878,37065,83703,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
112053,215037,37088,83977,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
35986,50321,37143,84073,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
413689,88941,37185,83741,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
