Massive Problems 4 (Alg2 only) (problems without solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
200000,200000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
285312719297,648505,1363434,628715,1317444,153045,333253,16253661,4270,1,[1=148775/4270=1]
3911614,648638,1363083,-1,-1,-1,-1,-1,-1,-1,[-1=1]
10024790,648430,1362598,-1,-1,-1,-1,-1,-1,-1,[-1=1]
315617422858,648001,1361935,628117,1315862,153068,333183,12221350,4719,1,[1=148345/2=2/4719=1]
282323635828,649265,1365498,629392,1319230,153028,333152,93357,4484,1,[1=148511/2=1/4=1/7=1/8=1/12=1/4484=1]
17073885,648876,1364312,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5372691,648431,1363176,-1,-1,-1,-1,-1,-1,-1,[-1=1]
12102304,648507,1363511,-1,-1,-1,-1,-1,-1,-1,[-1=1]
291395350300,648678,1363226,628711,1316735,153218,333249,12469749,4895,1,[1=148318/5=1/4895=1]
283202406535,648064,1362933,628068,1316526,152784,332786,61356,4511,1,[1=148244/2=1/5=1/22=1/4511=1]
