Small Problems 1 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
20,10,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
55880,127558,39,66,39,64,13,20,47,13,1,1,[1=13]
50029,118781,39,63,39,63,13,22,55,13,1,1,[1=13]
46225,122293,39,61,39,61,14,23,48,14,1,1,[1=14]
56465,140723,43,66,43,65,16,25,55,16,1,1,[1=16]
52662,127265,38,65,38,64,13,21,50,13,1,1,[1=13]
55880,148916,49,78,49,78,16,25,54,16,1,1,[1=16]
59391,145112,45,68,45,67,17,25,57,17,1,1,[1=17]
49151,118489,41,72,41,72,12,21,45,12,1,1,[1=12]
49736,125510,41,65,41,65,14,23,54,14,1,1,[1=14]
47980,119073,36,57,36,57,14,23,55,14,1,1,[1=14]
54417,131362,41,65,41,64,14,22,45,14,1,1,[1=14]
57928,140431,44,70,44,69,16,24,50,16,1,1,[1=16]
47688,110882,38,66,38,66,11,20,50,11,1,1,[1=11]
55587,136043,45,76,45,76,14,23,57,14,1,1,[1=14]
49151,129606,41,67,41,67,14,23,49,14,1,1,[1=14]
48858,115270,36,60,36,60,13,22,56,13,1,1,[1=13]
49151,114393,40,69,40,69,12,21,47,12,1,1,[1=12]
53247,130777,44,71,44,71,14,23,53,14,1,1,[1=14]
44177,116733,37,57,36,55,13,20,44,13,3,1,[1=10/3=1]
50321,128728,42,69,41,67,14,22,53,14,1,1,[1=14]
46810,123170,39,66,39,66,13,22,43,13,4,1,[1=9/4=1]
59976,142186,46,70,45,67,16,24,56,16,1,1,[1=16]
52662,132824,45,71,45,71,15,24,49,15,1,1,[1=15]
53247,137213,43,67,43,67,15,24,57,15,1,1,[1=15]
50907,137213,45,68,45,68,16,25,49,16,1,1,[1=16]
44763,124340,39,61,39,61,14,23,44,14,1,1,[1=14]
55002,133702,41,66,41,65,15,24,49,15,1,1,[1=15]
55002,118489,38,61,37,56,12,18,41,12,1,1,[1=12]
55295,133117,44,71,43,68,14,22,46,14,1,1,[1=14]
47103,123462,37,56,37,56,14,23,47,14,1,1,[1=14]
46517,120829,36,58,36,58,14,23,50,14,1,1,[1=14]
56758,130191,41,70,41,69,13,22,55,13,1,1,[1=13]
55880,128144,40,69,40,68,13,21,54,13,1,1,[1=13]
52369,120830,35,58,35,56,13,21,53,13,1,1,[1=13]
52662,128144,41,65,41,65,14,23,56,14,1,1,[1=14]
46517,128729,40,61,40,61,15,23,49,15,1,1,[1=15]
53539,117026,37,70,37,69,11,20,47,11,1,1,[1=11]
52955,131654,38,59,38,57,15,24,49,15,1,1,[1=15]
61146,143942,44,74,44,73,14,22,53,15,2,1,[1=12/2=1]
55002,133995,43,71,43,71,14,23,55,14,1,1,[1=14]
57050,135458,40,66,40,63,14,23,46,14,1,1,[1=14]
55295,139846,45,73,45,73,15,24,68,15,1,1,[1=15]
53540,133702,44,72,44,72,14,23,51,14,1,1,[1=14]
60854,141017,46,78,46,77,15,24,58,15,1,1,[1=15]
56172,132825,39,67,39,65,13,20,47,13,1,1,[1=13]
57343,146575,47,75,47,73,16,24,50,16,1,1,[1=16]
51199,114392,38,67,38,67,12,21,55,12,1,1,[1=12]
54417,133117,41,67,41,66,14,22,46,14,1,1,[1=14]
55880,136920,40,63,40,61,15,24,53,15,1,1,[1=15]
55587,117611,37,66,36,62,11,18,46,11,1,1,[1=11]
50906,117903,38,67,38,67,12,21,52,12,1,1,[1=12]
59391,131654,41,75,41,74,13,22,57,13,1,1,[1=13]
51199,118489,37,64,37,62,12,21,46,12,1,1,[1=12]
57050,140724,43,67,43,66,16,24,51,16,1,1,[1=16]
49736,130191,42,70,42,70,14,23,48,14,1,1,[1=14]
55295,133702,42,65,42,64,15,23,51,15,1,1,[1=15]
52369,131361,42,67,42,67,14,23,57,14,1,1,[1=14]
53247,113515,35,70,35,69,10,19,50,10,2,1,[1=8/2=1]
50906,117026,37,62,37,61,12,21,42,12,1,1,[1=12]
47688,122584,38,61,38,61,13,22,49,13,1,1,[1=13]
52076,128143,39,64,39,64,14,23,52,14,1,1,[1=14]
53247,129021,41,68,41,66,13,21,47,13,2,1,[1=11/2=1]
50907,125510,41,69,41,69,14,23,54,14,1,1,[1=14]
53539,121707,39,66,39,66,13,22,58,13,1,1,[1=13]
53540,117611,36,63,36,61,12,19,48,12,1,1,[1=12]
48273,117904,38,64,38,64,12,21,49,12,1,1,[1=12]
52661,124047,38,65,38,63,13,21,53,13,1,1,[1=13]
53832,137506,44,71,44,71,15,24,55,15,1,1,[1=15]
50906,129606,42,66,42,66,15,24,51,15,1,1,[1=15]
52369,114686,36,65,36,63,11,19,46,11,1,1,[1=11]
54125,136335,42,66,42,65,15,24,45,15,1,1,[1=15]
57050,135750,43,74,43,73,13,22,49,13,1,1,[1=13]
50028,127851,42,66,41,64,14,22,51,14,1,1,[1=14]
55880,130776,42,69,42,68,14,23,50,14,1,1,[1=14]
50906,124048,39,61,39,61,14,23,62,14,1,1,[1=14]
52369,121999,37,62,37,61,13,21,52,13,1,1,[1=13]
54709,136628,43,68,43,67,15,24,51,15,1,1,[1=15]
52954,121415,40,69,40,69,13,22,62,13,1,1,[1=13]
46225,126096,40,62,40,62,15,24,44,15,1,1,[1=15]
61732,143650,40,64,40,61,15,23,51,16,2,1,[1=13/2=1]
61146,147160,44,66,44,63,17,24,53,17,1,1,[1=17]
51784,130777,42,70,42,70,14,23,47,14,2,1,[1=12/2=1]
46810,114978,37,62,36,60,12,20,45,12,1,1,[1=12]
52076,114686,35,60,35,59,12,19,49,12,1,1,[1=12]
52662,132240,43,70,43,70,15,24,53,15,1,1,[1=15]
49151,129021,42,68,41,66,14,22,51,14,1,1,[1=14]
54125,129021,41,67,41,66,14,22,46,14,1,1,[1=14]
52954,131947,40,64,40,63,15,24,49,15,1,1,[1=15]
48859,124925,40,64,40,64,14,23,46,14,1,1,[1=14]
52369,128728,38,64,38,63,13,22,45,13,2,1,[1=11/2=1]
55587,118781,40,71,40,71,12,21,65,12,1,1,[1=12]
43884,109419,35,59,35,58,12,20,41,12,1,1,[1=12]
56172,140138,43,66,43,65,16,25,52,16,1,1,[1=16]
55295,123462,39,69,39,67,12,21,50,12,2,1,[1=10/2=1]
51784,131655,39,62,39,61,15,24,48,15,1,1,[1=15]
54417,131654,43,69,43,69,15,23,56,15,1,1,[1=15]
50321,128729,41,66,41,66,14,23,53,14,1,1,[1=14]
54417,124925,40,66,39,63,13,21,51,13,1,1,[1=13]
54125,132824,42,69,42,68,14,23,49,14,1,1,[1=14]
52662,125218,39,66,39,65,13,21,45,13,1,1,[1=13]
57050,141308,45,71,45,70,15,23,50,15,1,1,[1=15]
53247,122877,40,71,40,71,13,22,54,13,1,1,[1=13]
55880,129021,41,69,41,68,13,22,56,13,1,1,[1=13]
49444,118196,37,61,37,60,13,21,42,13,1,1,[1=13]
52661,129606,42,77,41,75,13,21,51,14,2,1,[1=11/2=1]
62608,145990,44,74,44,72,15,23,51,15,1,1,[1=15]
54124,129606,41,68,41,68,14,23,54,15,2,1,[1=12/2=1]
51491,134580,43,68,43,68,15,24,51,15,1,1,[1=15]
52954,120536,40,72,40,72,12,20,55,12,1,1,[1=12]
53832,128728,39,62,38,59,14,22,54,14,1,1,[1=14]
57635,122877,39,69,39,68,12,20,54,12,1,1,[1=12]
50906,120244,40,69,40,69,12,21,49,12,1,1,[1=12]
53247,136628,42,68,42,67,15,24,47,15,1,1,[1=15]
54124,131069,41,68,41,68,14,23,58,14,1,1,[1=14]
50028,116441,40,68,39,66,12,20,56,12,1,1,[1=12]
50321,123462,38,64,38,64,13,22,49,13,1,1,[1=13]
47103,124925,39,60,39,60,14,22,51,14,1,1,[1=14]
55294,140431,43,66,43,65,16,25,49,16,1,1,[1=16]
60268,136335,42,70,42,67,14,21,52,14,1,1,[1=14]
63779,131362,39,72,39,71,13,21,68,13,1,1,[1=13]
55587,128144,39,63,39,62,14,23,53,14,1,1,[1=14]
50321,127850,41,67,41,67,14,22,50,14,1,1,[1=14]
57050,119659,39,69,38,64,11,19,50,11,1,1,[1=11]
47102,109419,37,61,36,58,12,19,46,12,1,1,[1=12]
48566,116734,36,58,36,58,14,23,56,14,1,1,[1=14]
50906,133702,40,59,40,58,16,25,49,16,1,1,[1=16]
51492,139554,45,69,45,69,16,25,51,16,1,1,[1=16]
54417,122877,36,62,36,61,13,22,59,13,1,1,[1=13]
52077,124047,40,71,40,71,13,22,57,13,1,1,[1=13]
54124,136043,45,75,45,75,15,23,56,15,1,1,[1=15]
51199,134287,44,70,44,70,15,24,50,15,1,1,[1=15]
59098,145697,46,71,46,70,16,24,55,16,1,1,[1=16]
57928,133410,42,70,42,68,14,22,55,14,1,1,[1=14]
46518,119659,38,62,37,60,13,21,52,13,1,1,[1=13]
49736,127851,40,64,40,64,15,24,51,15,1,1,[1=15]
49736,133703,43,67,43,67,15,24,50,15,1,1,[1=15]
47688,121707,38,61,38,60,13,20,44,13,1,1,[1=13]
66120,150378,47,78,47,76,15,23,55,15,1,1,[1=15]
56172,121707,39,67,39,66,12,20,57,12,1,1,[1=12]
52662,118489,42,73,41,71,12,19,58,12,1,1,[1=12]
60269,136335,41,69,41,67,14,22,54,14,1,1,[1=14]
58220,139846,44,70,44,69,15,24,52,15,1,1,[1=15]
55295,125803,38,64,38,63,13,22,58,13,1,1,[1=13]
44177,123755,38,57,38,57,15,24,47,15,1,1,[1=15]
47980,124926,40,64,40,64,14,22,48,14,1,1,[1=14]
47981,127851,36,56,36,55,15,24,47,15,1,1,[1=15]
53539,128436,40,67,40,66,13,22,48,13,1,1,[1=13]
57050,142479,44,70,44,69,15,24,50,15,1,1,[1=15]
54124,123170,35,59,35,57,13,21,48,13,1,1,[1=13]
55587,138091,44,73,44,72,14,23,47,14,2,1,[1=12/2=1]
52662,107956,33,58,32,53,10,16,44,10,1,1,[1=10]
55587,130191,41,73,41,72,13,22,50,13,1,1,[1=13]
53832,121414,37,61,37,59,13,20,48,13,1,1,[1=13]
43007,117904,36,55,36,55,14,22,42,14,1,1,[1=14]
47102,110589,36,59,36,59,12,21,50,12,1,1,[1=12]
48858,127851,41,66,41,66,14,23,52,14,1,1,[1=14]
58513,130484,41,73,41,72,13,21,52,13,1,1,[1=13]
51199,120244,39,71,39,71,12,21,54,12,1,1,[1=12]
58220,141016,41,67,41,65,15,24,52,15,1,1,[1=15]
54709,131362,42,74,42,73,13,21,46,13,1,1,[1=13]
49151,125511,40,66,40,66,14,23,47,14,1,1,[1=14]
50614,121414,40,72,40,72,13,21,53,13,1,1,[1=13]
51199,143942,44,65,44,65,17,26,51,17,1,1,[1=17]
53246,135750,44,69,44,69,15,24,53,15,1,1,[1=15]
51491,142479,45,66,45,66,17,26,50,17,1,1,[1=17]
50321,131947,39,57,39,56,16,24,47,16,1,1,[1=16]
59683,138968,44,76,44,75,14,22,58,14,1,1,[1=14]
54417,131069,42,72,42,72,13,22,55,13,1,1,[1=13]
62024,138091,41,67,41,63,15,22,52,15,1,1,[1=15]
50321,128143,41,62,41,62,15,24,51,15,1,1,[1=15]
55002,133702,43,73,43,73,14,23,53,14,1,1,[1=14]
50907,127266,41,68,41,68,14,23,53,14,1,1,[1=14]
52076,130777,38,58,38,57,15,24,46,15,1,1,[1=15]
51784,126095,40,68,40,68,13,22,61,13,1,1,[1=13]
56757,128143,38,63,38,61,13,21,51,13,1,1,[1=13]
56465,124633,40,74,40,73,12,20,53,12,1,1,[1=12]
57051,138968,43,68,43,67,15,23,51,15,1,1,[1=15]
51199,137798,44,68,44,68,16,25,50,16,1,1,[1=16]
50028,129314,40,67,40,67,14,23,49,14,1,1,[1=14]
53832,131069,43,72,43,72,14,23,59,14,1,1,[1=14]
56465,125218,36,64,36,61,12,20,45,12,1,1,[1=12]
51784,131947,42,68,41,65,14,22,48,14,1,1,[1=14]
58805,129314,40,67,40,65,13,21,51,13,1,1,[1=13]
45055,118196,37,60,37,59,13,21,42,13,1,1,[1=13]
59976,138968,42,69,42,68,15,24,58,15,1,1,[1=15]
64071,155352,50,78,50,77,17,25,55,17,1,1,[1=17]
52954,123755,40,66,40,66,13,22,56,13,1,1,[1=13]
43884,110297,36,61,36,61,12,21,46,12,1,1,[1=12]
56757,134579,41,67,41,66,15,23,54,15,1,1,[1=15]
56173,121122,38,64,38,62,12,19,48,12,1,1,[1=12]
53831,115270,34,60,34,59,11,20,61,14,3,1,[1=8/3=1]
51784,128143,40,67,40,66,13,22,46,13,1,1,[1=13]
63779,148623,46,75,46,73,16,25,55,16,1,1,[1=16]
50321,127558,39,63,39,63,14,23,51,14,1,1,[1=14]
51784,128729,39,65,39,65,14,23,53,14,1,1,[1=14]
52954,131362,37,58,37,57,14,23,56,15,2,1,[1=12/2=1]
50029,114686,36,65,36,64,11,20,47,11,2,1,[1=9/2=1]
51784,136920,45,68,45,68,16,25,50,16,1,1,[1=16]
48273,122584,41,69,41,69,13,22,52,13,1,1,[1=13]
50613,129899,41,61,41,61,16,25,54,16,1,1,[1=16]
53832,132824,39,65,39,64,14,23,50,14,1,1,[1=14]
50906,129314,42,66,42,66,15,24,51,15,1,1,[1=15]
50321,123462,36,60,36,59,13,22,47,13,1,1,[1=13]
53539,128436,38,60,38,59,14,23,53,14,1,1,[1=14]
63194,150671,49,84,49,83,15,23,54,15,1,1,[1=15]
53540,135750,44,67,44,67,16,25,54,16,1,1,[1=16]
51492,125510,39,64,39,63,13,21,47,13,1,1,[1=13]
57343,133702,41,70,41,69,14,22,54,14,1,1,[1=14]
55002,123755,40,69,40,68,12,20,51,12,1,1,[1=12]
49150,129606,43,67,43,66,15,23,45,15,1,1,[1=15]
50321,112637,34,63,34,62,11,18,43,12,3,1,[1=8/3=1]
56173,110297,33,63,33,61,10,18,57,10,1,1,[1=10]
51199,127266,39,67,39,66,13,22,49,13,1,1,[1=13]
53247,124632,38,67,38,66,13,21,49,13,1,1,[1=13]
55880,130191,42,69,42,68,14,22,52,14,1,1,[1=14]
