Small Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,10,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,36,64,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
94791,100935,33,55,33,54,12,21,244,23,3,1,[1=9/3=1]
167932,104739,37,61,37,61,13,22,514,21,3,1,[1=10/3=1]
269452,113807,39,60,39,60,15,24,865,26,3,1,[1=12/3=1]
107664,115563,43,69,43,69,15,24,289,23,3,1,[1=12/3=1]
158571,100058,38,66,38,66,12,21,485,11,2,1,[1=10/2=1]
152719,111467,43,70,43,70,14,23,440,20,2,1,[1=12/2=1]
139261,108542,39,65,39,65,14,22,392,14,2,1,[1=12/2=1]
144819,101813,40,70,39,68,13,21,396,16,2,1,[1=11/2=1]
123170,100349,37,63,36,60,12,20,329,17,2,1,[1=10/2=1]
227030,121415,44,67,44,66,16,24,703,17,2,1,[1=14/2=1]
111760,114685,44,71,44,71,15,24,281,12,2,1,[1=13/2=1]
310703,112930,41,72,41,72,13,22,976,27,3,1,[1=10/3=1]
130191,108834,41,63,41,63,15,24,371,14,2,1,[1=13/2=1]
102105,108542,42,69,42,68,13,22,254,12,2,1,[1=11/2=1]
96546,106201,38,68,38,67,12,21,231,32,4,1,[1=8/4=1]
85136,103860,40,67,40,67,13,22,211,21,3,1,[1=10/3=1]
229663,113808,40,68,40,66,13,22,720,13,3,1,[1=10/3=1]
249851,104445,39,67,39,67,13,22,752,17,2,1,[1=11/2=1]
339082,112638,41,69,41,69,13,22,1061,19,2,1,[1=11/2=1]
245755,104153,36,63,36,63,13,22,784,19,2,1,[1=11/2=1]
219716,126388,50,81,50,80,16,25,613,16,2,1,[1=14/2=1]
120537,106786,36,67,36,66,12,21,320,23,4,1,[1=8/4=1]
132239,98887,39,68,39,68,12,21,382,12,2,1,[1=10/2=1]
150086,121414,46,72,46,72,16,25,403,14,2,1,[1=14/2=1]
191337,94499,37,74,36,71,10,18,548,12,2,1,[1=8/2=1]
