Small Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,15,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
292,585,56,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,52,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,57,109,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,58,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,51,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,55,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,55,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,57,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,55,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,53,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,55,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,56,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,60,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,53,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,50,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,56,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,54,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,51,90,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,58,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,50,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,50,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,52,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,51,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,59,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,49,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,54,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,51,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,51,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
586,292,53,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,53,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,54,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,58,106,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,51,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,59,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,46,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
