Small Problem, C = V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,10,63140,18147,127188,34408,2,1
16,16,91692,24950,184663,44344,5,1
22,22,118748,48733,245955,65400,5,1
28,28,149207,21693,299805,25967,3,1
34,34,157339,21496,316904,48237,4,1
40,40,204174,64496,389576,51702,3,1
46,46,229075,55383,448165,50277,8,1
52,52,277569,65629,523543,36519,7,1
58,58,334341,53889,643173,50213,9,1
64,64,370736,41189,704904,32839,2,1
70,70,427903,53239,773598,45386,7,1
76,76,383014,50715,749305,25446,8,1
82,82,396911,9077,778514,13135,1,1
88,88,471318,55872,870294,76215,6,1
94,94,570324,51748,1061481,50237,9,1
100,100,606267,131492,1006055,66635,13,1
106,106,585126,131288,1019935,113463,9,1
112,112,714901,85836,1238258,72989,16,1
118,118,674654,62889,1181669,33513,2,1
124,124,690493,126493,1221665,100243,9,1
130,130,741483,144616,1295408,153625,15,1
136,136,771316,123726,1372653,77998,14,1
142,142,825031,67747,1518117,133000,5,1
148,148,833223,138851,1486930,94403,7,1
154,154,909983,166377,1508753,111133,16,1
160,160,909876,33513,1738419,244111,1,1
166,166,1014672,176952,1675458,100712,6,1
172,172,953322,85019,1710772,25880,6,1
178,178,1184426,301166,1942753,335170,22,1
184,184,1054987,155949,1866854,81360,9,1
190,190,1156916,217336,1966093,126144,15,1
196,196,1131556,218979,1990941,173098,7,1
202,202,1213654,197955,2036492,130773,6,1
208,208,1310690,0,2301608,0,1,1
