Small Problem, C = V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,10,43405,749489,5959,97726,2,1
16,16,123198,1096334,31480,258488,7,1
22,22,113008,1208437,19766,229641,6,1
28,28,238946,3145014,48926,508903,7,1
34,34,692992,13103736,84012,640194,7,1
40,40,234658,3038191,49067,516088,12,1
46,46,711721,6644579,79045,677321,5,1
52,52,925201,8726625,107234,945759,6,1
58,58,2775993,40877920,108540,1079182,6,1
64,64,759605,6940099,147079,1227110,9,1
70,70,1939106,18465676,144703,1240857,5,1
76,76,3166429,32581010,157900,1339603,14,1
82,82,1728459,18732568,133557,1338066,16,1
88,88,657636,10542174,92390,1124048,6,1
94,94,2423106,29005818,213690,1789979,14,1
100,100,6986843,71256176,253483,2016938,12,1
106,106,6531483,112716549,215405,1665213,16,1
112,112,8786525,94746828,337849,2197388,15,1
118,118,1554831,25436269,144771,1864474,14,1
124,124,16973124,315286722,168545,1752175,23,1
130,130,15939199,157114080,459454,2428318,18,1
136,136,4828794,50054202,274439,2434416,12,1
142,142,5659502,85885836,303684,2740354,14,1
148,148,5472530,65306736,257598,2392261,15,1
154,154,5819249,47407261,401094,2751082,28,1
160,160,9674120,94514718,487566,3404644,15,1
166,166,12347511,133056551,517559,3453138,30,1
172,172,2225282,36288373,198011,2535305,24,1
178,178,9789424,107302476,600968,3945491,31,1
184,184,13463048,227540615,310689,3102740,23,1
190,190,13797872,162487776,474012,3794475,25,1
196,196,7443933,67026853,515260,3684887,10,1
202,202,11149548,136948167,566504,3787400,24,1
208,208,10539681,96703745,677313,4666059,23,1
