Small Problem, C = 2V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,20,45714,900104,12656,241865,7,3
16,32,339361,5884202,22560,376508,9,2
22,44,508902,7664245,36623,562314,11,2
28,56,639641,11149229,51311,772302,16,2
34,68,390154,8131413,32334,705836,19,3
40,80,683681,14076033,40501,930043,22,2
46,92,1033221,15433193,112574,1687669,30,2
52,104,711808,14741543,70758,1437984,28,2
58,116,3917322,47709247,227378,2520315,33,2
64,128,1795324,52921707,42812,1235091,28,2
70,140,2626859,43705360,111063,2055036,41,2
76,152,530224,15590877,78822,2285174,42,3
82,164,1365,3289,1020,3171,-1,-1
88,176,2937438,52011409,117745,2433802,48,3
94,188,3300752,97303234,26200,732740,-1,-1
100,200,3548576,58552150,151410,2692527,53,2
106,212,1053,2696,875,2760,-1,-1
112,224,1715,4832,1187,3079,-1,-1
118,236,2978755,63227755,194164,4723882,60,2
124,248,2286,6933,1696,4200,-1,-1
130,260,1024883,30189250,142016,4154482,66,2
136,272,3229473,71193966,225253,5424553,72,3
142,284,2134111,62862505,178368,5197684,78,3
148,296,1344472,39595807,41368,1177645,-1,-1
154,308,2458106,72407409,243483,7121875,80,2
160,320,3222597,94981661,187892,5495079,80,2
166,332,3615434,106537429,231077,6749144,72,2
172,344,4143826,122151010,228776,6701193,88,2
178,356,3877,15152,2077,5623,-1,-1
184,368,3134369,92389134,258565,7580255,92,2
190,380,3237,8371,2165,7127,-1,-1
196,392,3467,10461,2212,6602,-1,-1
202,404,9085346,195972766,699764,14340931,110,2
208,416,2887,9546,1835,5428,-1,-1
