Small Problem (10-210V), C = 0.5 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,5,27493,11101,67347,24441,1,1
16,8,41187,21513,101497,33951,1,1
22,11,55004,14817,136005,33439,2,1
28,14,68813,18824,164381,34910,4,1
34,17,82119,17791,195926,21378,2,1
40,20,98110,27157,233902,53274,3,1
46,23,112264,28026,269040,77932,3,1
52,26,146155,46914,350191,82034,3,1
58,29,170447,45355,387587,71574,1,1
64,32,184456,51014,433051,150389,3,1
70,35,195914,43467,446798,71468,2,1
76,38,220863,61865,503279,103408,4,1
82,41,227962,57720,544132,122569,2,1
88,44,250646,66892,580577,104569,2,1
94,47,268048,84214,611612,120944,4,1
100,50,279774,73347,656122,83446,3,1
106,53,263841,61661,613805,71368,3,1
112,56,277869,65732,630775,77603,1,1
118,59,291956,63414,674478,94150,1,1
124,62,307461,68119,696085,115929,2,1
130,65,326169,62135,739189,94188,4,1
136,68,394661,97043,890910,271094,2,1
142,71,413034,98572,942708,257873,2,1
148,74,439297,119418,969627,166720,3,1
154,77,458514,94691,1008446,174778,1,1
160,80,407056,92928,925234,141826,2,1
166,83,420344,84602,1040597,214857,1,1
172,86,454217,109898,1057240,234765,4,1
178,89,550055,251297,1245342,488352,4,1
184,92,575914,254920,1276929,718188,2,1
190,95,581652,163546,1263972,276568,1,1
196,98,515870,176003,1158271,274156,2,1
202,101,515884,113092,1157247,135283,2,1
208,104,595647,217220,1298229,450586,2,1
