Small Problem (10-210V), C = 0.75 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,7,104493,66727,202302,99477,1,1
16,12,165436,85485,298939,82735,5,1
22,16,192211,57594,328430,100253,2,1
28,21,252687,144253,481848,184323,5,1
34,25,143101,45380,376378,101559,2,1
40,30,175218,113923,443321,73168,2,1
46,34,204869,118905,510998,146400,4,1
52,39,217424,36197,553660,108433,4,1
58,43,205541,50833,446324,79969,3,1
64,48,228835,46943,486237,56735,1,1
70,52,246687,44609,542761,85217,2,1
76,57,276370,55554,591424,96906,4,1
82,61,348353,103805,730062,134112,6,1
88,66,384694,87914,768465,57883,3,1
94,70,402777,93115,832395,86893,3,1
100,75,418714,82028,874897,126823,4,1
106,79,384129,85244,811246,138766,6,1
112,84,410437,67212,862929,93680,7,1
118,88,482030,194443,994240,258727,2,1
124,93,568938,136226,1102573,113224,3,1
130,97,592294,123142,1182397,212832,3,1
136,102,522142,107907,1060307,163490,3,1
142,106,541327,100791,1111536,178723,7,1
148,111,581213,64598,1207155,138925,3,1
154,115,731679,262151,1450820,549756,7,1
160,120,842049,214694,1646948,494621,4,1
166,124,657388,134685,1322177,122073,6,1
172,129,666771,112064,1352228,118949,11,1
178,133,857842,179573,1622998,237128,5,1
184,138,730260,135243,1453846,151938,4,1
190,142,773416,153041,1522130,126863,4,1
196,147,800326,199992,1581661,233331,2,1
202,151,803669,158167,1613489,188888,6,1
208,156,1016196,203119,1916397,254463,2,1
