Standard Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,50,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,196,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1411918,483902,199,355,199,355,60,109,3526,36,3,1,[1=57/3=1]
585,292,202,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5790150,526324,214,349,214,348,71,120,14748,64,2,1,[1=69/2=1]
877,585,199,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,293,211,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,878,200,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,202,360,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,215,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,201,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1076638,500286,204,346,204,346,65,114,2221,36,2,1,[1=63/2=1]
877,293,217,367,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,202,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,202,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,196,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
751014,526032,202,348,202,345,65,113,1743,64,5,1,[1=60/5=1]
292,877,206,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,194,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,197,331,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,191,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3102650,479221,196,345,196,345,61,109,8638,43,2,1,[1=59/2=1]
878,293,211,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1418647,509356,201,347,201,345,65,114,3831,24,2,1,[1=61/2=2]
877,585,203,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,292,205,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1952578,489754,197,363,195,356,56,103,5131,44,2,1,[1=54/2=1]
585,585,198,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,200,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,196,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,202,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,186,311,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,201,320,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,204,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,199,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,207,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,877,200,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,205,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
983603,487121,187,339,187,335,59,108,2614,56,3,1,[1=56/3=1]
877,585,197,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,325,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,197,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,878,201,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,877,200,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,198,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,201,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,199,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,208,362,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,211,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4936739,532176,210,352,209,348,68,115,13247,63,2,1,[1=66/2=1]
2204476,484488,193,348,191,342,57,104,6438,63,4,1,[1=53/4=1]
878,292,191,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,194,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,194,341,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,203,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,197,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,192,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,199,328,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,199,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,204,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,197,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
460498,506722,198,339,197,335,62,110,823,54,2,1,[1=60/2=1]
292,585,202,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,199,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
631355,488876,188,340,187,334,59,106,1391,45,2,1,[1=57/2=1]
585,585,205,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,194,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,209,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,208,369,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,203,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,189,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,200,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
857215,497945,199,347,199,346,62,110,1981,58,3,1,[1=59/3=1]
293,585,211,358,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,198,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,191,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,203,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
586,292,189,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,877,194,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,196,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
548266,528665,207,345,207,344,69,117,1171,76,4,1,[1=65/4=1]
585,292,210,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,210,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,200,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,200,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,196,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,199,329,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,586,209,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,200,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,204,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,194,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,190,307,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,196,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,201,354,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,189,334,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,201,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1680200,492972,199,370,198,366,60,108,4409,66,4,1,[1=54/2=1/4=1]
585,292,200,328,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,213,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,195,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,199,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,202,358,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,191,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,201,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,192,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,195,359,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
733752,483317,198,346,197,343,63,110,1576,30,2,1,[1=61/2=1]
878,292,204,354,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,189,334,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,877,200,328,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,202,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,197,323,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,193,361,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,203,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,196,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,198,342,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1941753,513744,200,344,200,342,64,113,3996,39,2,1,[1=62/2=1]
292,585,194,325,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,207,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,208,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1397582,473955,188,358,188,357,55,104,3934,58,4,1,[1=51/4=1]
585,585,210,358,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,195,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,877,197,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,191,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,202,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,197,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,206,334,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,193,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,206,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
529835,524569,206,354,204,345,62,108,923,50,2,1,[1=60/2=1]
585,292,182,316,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,198,334,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1597404,509355,199,355,199,352,60,108,3936,56,2,1,[1=58/2=1]
877,293,201,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,207,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,337,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,209,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,200,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1294599,500578,203,359,203,359,62,111,3154,60,4,1,[1=58/4=1]
877,292,197,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1147147,490924,199,351,198,346,60,108,2923,25,2,1,[1=56/2=2]
585,292,192,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,198,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,200,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,205,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
798117,483903,194,329,194,329,63,112,2066,23,3,1,[1=60/3=1]
2065215,512281,210,354,210,353,66,115,5349,17,2,1,[1=64/2=1]
968975,515500,210,349,210,349,68,117,2115,80,3,1,[1=65/3=1]
877,292,200,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,210,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,585,182,329,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,200,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2652685,515207,200,351,200,349,63,112,6492,28,4,1,[1=57/2=1/4=1]
293,585,200,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,192,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,194,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,877,192,342,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,193,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,197,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,196,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
401399,508478,196,338,193,329,60,104,834,68,3,1,[1=57/3=1]
292,585,196,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,204,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,188,354,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,200,367,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,878,198,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,200,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,205,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,191,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,195,353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,191,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,878,198,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
755695,492679,197,341,196,338,62,110,1843,40,3,1,[1=59/3=1]
293,585,201,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,197,342,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,1170,190,353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,198,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,878,198,329,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,199,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,194,337,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,877,201,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
740189,480976,190,349,190,347,57,105,1835,49,3,1,[1=54/3=1]
292,877,197,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,197,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,212,364,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,195,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,204,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,203,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,1170,204,358,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,189,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,196,329,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,189,342,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,202,353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,293,207,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,208,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,197,334,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,206,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,207,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,204,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,198,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,204,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,197,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,207,342,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,293,200,338,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,205,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,196,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,197,337,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,196,327,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,204,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,205,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,197,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,203,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,198,321,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
