Standard Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,50,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,196,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1411918,483902,199,355,199,355,60,109,3526,36,3,1,[1=57/3=1]
5790150,526324,214,349,214,348,71,120,14748,64,2,1,[1=69/2=1]
1076638,500286,204,346,204,346,65,114,2221,36,2,1,[1=63/2=1]
751014,526032,202,348,202,345,65,113,1743,64,5,1,[1=60/5=1]
3102650,479221,196,345,196,345,61,109,8638,43,2,1,[1=59/2=1]
1418647,509356,201,347,201,345,65,114,3831,24,2,1,[1=61/2=2]
1952578,489754,197,363,195,356,56,103,5131,44,2,1,[1=54/2=1]
983603,487121,187,339,187,335,59,108,2614,56,3,1,[1=56/3=1]
4936739,532176,210,352,209,348,68,115,13247,63,2,1,[1=66/2=1]
2204476,484488,193,348,191,342,57,104,6438,63,4,1,[1=53/4=1]
460498,506722,198,339,197,335,62,110,823,54,2,1,[1=60/2=1]
631355,488876,188,340,187,334,59,106,1391,45,2,1,[1=57/2=1]
857215,497945,199,347,199,346,62,110,1981,58,3,1,[1=59/3=1]
548266,528665,207,345,207,344,69,117,1171,76,4,1,[1=65/4=1]
1680200,492972,199,370,198,366,60,108,4409,66,4,1,[1=54/2=1/4=1]
733752,483317,198,346,197,343,63,110,1576,30,2,1,[1=61/2=1]
1941753,513744,200,344,200,342,64,113,3996,39,2,1,[1=62/2=1]
1397582,473955,188,358,188,357,55,104,3934,58,4,1,[1=51/4=1]
529835,524569,206,354,204,345,62,108,923,50,2,1,[1=60/2=1]
1597404,509355,199,355,199,352,60,108,3936,56,2,1,[1=58/2=1]
1294599,500578,203,359,203,359,62,111,3154,60,4,1,[1=58/4=1]
1147147,490924,199,351,198,346,60,108,2923,25,2,1,[1=56/2=2]
798117,483903,194,329,194,329,63,112,2066,23,3,1,[1=60/3=1]
2065215,512281,210,354,210,353,66,115,5349,17,2,1,[1=64/2=1]
968975,515500,210,349,210,349,68,117,2115,80,3,1,[1=65/3=1]
2652685,515207,200,351,200,349,63,112,6492,28,4,1,[1=57/2=1/4=1]
401399,508478,196,338,193,329,60,104,834,68,3,1,[1=57/3=1]
755695,492679,197,341,196,338,62,110,1843,40,3,1,[1=59/3=1]
740189,480976,190,349,190,347,57,105,1835,49,3,1,[1=54/3=1]
1697461,511696,199,340,199,338,64,112,4570,52,3,1,[1=61/3=1]
3038578,514329,201,340,201,339,66,115,6125,32,2,1,[1=64/2=1]
1144806,529250,203,341,203,339,66,114,2402,52,4,1,[1=62/4=1]
4697421,515792,199,337,199,337,65,114,11131,58,2,1,[1=63/2=1]
