Standard Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,50,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,196,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,202,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,585,199,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,293,211,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,878,200,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,202,360,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,215,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,201,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,217,367,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,202,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,202,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,196,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,877,206,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,194,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,197,331,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,191,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,293,211,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,585,203,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1170,292,205,348,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,198,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,200,357,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,196,330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,877,202,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,186,311,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,201,320,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,204,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,199,356,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,207,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,877,200,340,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,205,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,585,197,332,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,194,325,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,197,339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,878,201,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,877,200,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,198,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,201,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,199,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,208,362,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,211,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,191,350,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,194,352,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,194,341,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,203,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,197,333,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,192,345,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,293,199,328,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,199,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
878,292,204,347,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,197,349,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,202,336,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,199,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,585,205,351,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,194,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,293,209,344,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,208,369,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
877,292,203,355,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,585,189,335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,201,353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,193,346,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,200,343,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
