Standard Problems 2 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
100,70,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
318603,782903,257,464,255,459,77,143,359,77,1,1,[1=77]
380919,738727,254,471,254,470,73,142,446,73,1,1,[1=73]
354588,791096,269,478,269,476,79,148,383,79,1,1,[1=79]
375946,782319,252,473,252,466,72,140,394,72,1,1,[1=72]
369216,772664,265,495,264,491,74,142,427,74,1,1,[1=74]
380042,757450,256,495,254,489,72,139,436,72,1,1,[1=72]
350493,802505,268,504,267,501,78,145,381,78,1,1,[1=78]
356929,808942,261,477,261,474,78,146,382,78,1,1,[1=78]
335572,795776,267,474,267,473,81,149,362,81,1,1,[1=81]
374190,770615,254,508,254,504,69,136,394,69,1,1,[1=69]
351663,783488,264,480,264,478,80,149,360,80,1,1,[1=80]
361318,745455,246,486,245,481,68,135,405,69,2,1,[1=66/2=1]
342008,771786,259,479,259,476,74,143,365,74,1,1,[1=74]
387648,784952,259,490,259,487,76,145,448,84,6,1,[1=70/6=1]
364536,799872,258,477,257,470,76,141,390,76,1,1,[1=76]
337619,794313,266,489,265,486,79,146,340,79,1,1,[1=79]
337034,739311,258,484,258,483,73,142,371,73,1,1,[1=73]
337620,767983,262,480,261,477,74,140,354,74,1,1,[1=74]
339375,791095,266,472,266,471,84,153,380,84,1,1,[1=84]
354589,771786,254,475,254,472,74,142,366,74,1,1,[1=74]
360440,770908,250,467,250,462,73,142,407,73,1,1,[1=73]
343764,780563,259,476,259,472,77,144,362,77,1,1,[1=77]
368340,804845,269,495,268,489,78,145,371,78,1,1,[1=78]
346104,780271,262,481,262,479,77,146,372,77,1,1,[1=77]
361902,779978,257,462,257,460,78,146,410,78,1,1,[1=78]
343179,798702,261,475,260,471,78,145,354,78,1,1,[1=78]
364243,765349,259,472,257,465,75,142,409,75,1,1,[1=75]
339961,741066,250,475,248,469,70,137,370,70,1,1,[1=70]
332646,788755,258,469,256,464,77,143,361,78,5,1,[1=69/3=1/5=1]
345812,787585,267,495,267,494,78,145,362,78,1,1,[1=78]
355759,810405,265,493,264,489,75,143,383,76,2,1,[1=73/2=1]
351370,773541,254,472,254,471,75,144,385,75,1,1,[1=75]
362487,785244,264,484,262,477,75,141,399,75,1,1,[1=75]
351078,760376,264,483,261,474,76,141,373,76,1,1,[1=76]
349030,754818,254,483,254,480,73,138,370,73,1,1,[1=73]
344056,788755,261,475,261,473,78,146,378,78,1,1,[1=78]
341130,775296,262,494,262,494,77,146,362,77,2,1,[1=75/2=1]
335279,767104,260,465,258,458,76,142,351,76,1,1,[1=76]
353418,757157,258,477,258,475,75,144,395,75,1,1,[1=75]
362488,774419,250,462,250,456,75,143,369,75,1,1,[1=75]
377409,811574,271,512,271,509,77,144,383,77,1,1,[1=77]
367754,773542,254,464,254,460,74,143,413,74,1,1,[1=74]
343764,772079,260,472,260,469,77,146,361,77,1,1,[1=77]
348445,756865,254,478,253,472,73,141,383,73,1,1,[1=73]
361318,779978,264,485,263,480,78,146,402,78,1,1,[1=78]
347567,790218,274,491,274,491,83,152,387,83,1,1,[1=83]
369509,787877,252,475,252,469,75,142,356,75,1,1,[1=75]
397303,799873,263,502,262,494,73,139,395,73,1,1,[1=73]
369802,788170,267,490,264,478,76,142,386,76,2,1,[1=74/2=1]
384723,796654,269,510,269,506,74,142,404,74,1,1,[1=74]
387941,794020,269,510,269,506,77,146,437,77,1,1,[1=77]
332061,760961,251,457,251,456,78,147,376,78,1,1,[1=78]
368631,809527,272,501,272,497,78,147,361,79,2,1,[1=76/2=1]
338498,746625,259,489,254,478,71,134,378,71,1,1,[1=71]
404032,787292,254,479,254,474,72,140,398,79,9,1,[1=63/9=1]
369509,808357,263,476,263,473,79,147,397,79,1,1,[1=79]
352541,789340,266,489,265,484,77,145,357,77,1,1,[1=77]
385016,842002,273,499,272,492,80,146,392,80,1,1,[1=80]
351955,785244,266,483,265,480,79,145,390,79,1,1,[1=79]
367754,806309,268,499,268,496,77,145,390,77,2,1,[1=75/2=1]
350200,804553,271,493,271,490,78,145,359,78,2,1,[1=76/2=1]
346982,758913,250,436,249,430,78,146,377,78,1,1,[1=78]
368924,807479,259,485,259,481,76,142,374,79,4,1,[1=72/4=1]
361902,770908,249,475,249,474,76,145,378,76,1,1,[1=76]
373313,764179,254,483,254,480,76,145,417,76,1,1,[1=76]
375946,810697,267,484,267,481,79,148,384,79,1,1,[1=79]
384723,823863,265,500,264,491,75,142,375,75,1,1,[1=75]
379457,770323,266,499,266,498,76,145,432,76,1,1,[1=76]
335865,772957,255,487,255,485,74,142,344,75,2,1,[1=72/2=1]
366291,753647,256,492,256,490,72,141,388,72,1,1,[1=72]
353126,793144,255,474,255,470,75,143,353,75,1,1,[1=75]
406957,762717,260,499,258,492,71,138,473,72,3,1,[1=65/3=2]
349615,798994,271,509,271,509,77,146,379,77,1,1,[1=77]
359270,757158,253,480,251,473,70,136,404,70,1,1,[1=70]
356052,795191,263,476,262,471,78,146,384,78,1,1,[1=78]
358392,739604,251,489,250,485,68,135,398,69,2,1,[1=66/2=1]
344056,781148,257,489,256,485,72,138,355,73,2,1,[1=70/2=1]
334109,782318,271,500,271,500,78,147,372,78,2,1,[1=76/2=1]
343472,791973,276,506,275,503,78,146,375,78,1,1,[1=78]
363950,772664,260,490,260,488,75,143,375,75,1,1,[1=75]
382675,819767,258,504,257,497,75,142,419,77,3,1,[1=70/2=1/3=1]
347274,782026,253,487,252,483,73,140,351,73,1,1,[1=73]
373313,811575,262,476,262,472,78,146,401,78,1,1,[1=78]
353125,785244,262,470,262,466,79,148,361,79,1,1,[1=79]
338790,754525,263,503,262,501,73,141,372,73,1,1,[1=73]
355174,790218,254,469,253,461,74,142,338,74,1,1,[1=74]
349030,810404,262,489,262,486,78,147,352,78,2,1,[1=76/2=1]
351956,766519,257,511,256,507,69,136,341,69,1,1,[1=69]
365413,767398,263,498,261,491,74,141,374,74,1,1,[1=74]
322407,760961,256,476,256,475,73,142,351,74,2,1,[1=71/2=1]
364243,771786,260,484,260,481,75,143,359,75,1,1,[1=75]
379749,798702,265,505,265,502,74,142,438,74,1,1,[1=74]
334986,789340,263,469,263,467,83,152,349,83,1,1,[1=83]
364829,757743,245,483,245,479,68,136,419,68,1,1,[1=68]
374191,818304,270,484,270,479,82,150,407,82,1,1,[1=82]
367461,802505,260,486,260,484,78,147,446,78,1,1,[1=78]
383845,786414,262,489,260,480,77,144,401,78,2,1,[1=75/2=1]
342886,797239,262,464,262,460,81,150,343,81,5,1,[1=76/5=1]
356051,748673,253,485,252,481,71,139,387,71,1,1,[1=71]
319188,790510,259,457,259,456,81,150,360,82,2,1,[1=79/2=1]
359270,764471,244,470,243,462,70,137,340,70,1,1,[1=70]
347275,743408,247,474,246,471,71,139,417,74,6,1,[1=65/6=1]
377701,771201,262,515,261,509,68,135,404,68,1,1,[1=68]
325917,740774,259,471,258,469,76,144,365,76,1,1,[1=76]
374190,817134,262,473,261,464,79,146,378,79,1,1,[1=79]
356051,804553,264,472,264,470,79,148,378,79,1,1,[1=79]
337035,767105,258,480,257,476,77,145,344,77,1,1,[1=77]
359269,796947,267,494,267,492,79,147,389,79,1,1,[1=79]
357807,770323,264,490,264,489,75,142,410,75,1,1,[1=75]
354004,799579,260,482,259,476,75,142,351,75,1,1,[1=75]
348737,755402,256,488,256,487,73,141,397,73,1,1,[1=73]
373312,789633,252,485,252,482,71,140,387,72,2,1,[1=69/2=1]
355759,792850,266,482,266,480,79,148,380,81,3,1,[1=76/3=1]
349030,841709,274,492,274,491,83,152,358,83,1,1,[1=83]
345812,802213,266,494,266,492,76,145,354,77,2,1,[1=74/2=1]
397303,805723,253,469,252,461,76,142,424,76,1,1,[1=76]
372142,778515,256,489,256,487,73,142,412,73,1,1,[1=73]
360440,768861,257,467,254,457,77,142,372,77,1,1,[1=77]
339082,784952,268,504,268,503,76,144,357,76,1,1,[1=76]
355173,807772,261,480,261,477,80,148,365,80,2,1,[1=78/2=1]
347860,771786,263,479,263,478,77,146,380,77,1,1,[1=77]
342886,797532,263,504,263,502,74,143,347,74,2,1,[1=72/2=1]
369216,779685,260,492,259,486,73,139,401,74,2,1,[1=71/2=1]
391159,772956,256,473,255,466,74,140,465,74,1,1,[1=74]
368631,809819,260,480,258,470,75,140,387,75,1,1,[1=75]
329136,770616,264,486,264,486,76,145,362,76,1,1,[1=76]
348444,791681,263,487,263,484,76,145,355,76,2,1,[1=74/2=1]
342594,763594,256,481,256,479,75,143,343,75,1,1,[1=75]
351077,785829,266,477,265,472,77,144,380,77,1,1,[1=77]
347567,838198,268,483,268,482,80,149,370,80,1,1,[1=80]
389404,797239,260,475,259,467,79,147,434,79,1,1,[1=79]
345520,791388,263,496,262,493,75,143,400,75,1,1,[1=75]
371265,780563,262,498,260,492,74,141,406,74,1,1,[1=74]
335279,754525,254,467,252,460,74,140,328,74,1,1,[1=74]
332646,760961,266,482,266,482,78,147,371,78,2,1,[1=76/2=1]
366876,765057,255,488,253,481,72,139,421,72,1,1,[1=72]
378579,799579,265,479,264,471,76,143,378,76,1,1,[1=76]
342886,782611,257,475,257,473,76,145,346,79,4,1,[1=72/4=1]
365706,800165,259,491,256,480,74,139,379,74,1,1,[1=74]
355759,770908,259,471,257,463,75,142,363,75,1,1,[1=75]
347567,802506,266,486,265,481,77,144,372,77,1,1,[1=77]
360439,778808,258,475,258,472,75,142,383,75,1,1,[1=75]
345811,740481,257,486,256,484,72,140,410,72,2,1,[1=70/2=1]
354881,791973,269,503,269,502,78,147,375,78,1,1,[1=78]
339960,796069,277,495,274,487,79,144,342,79,1,1,[1=79]
344934,792265,266,481,266,479,79,146,350,81,3,1,[1=76/3=1]
378286,800750,270,489,268,480,79,146,410,79,1,1,[1=79]
373313,780563,263,504,261,497,73,140,428,73,1,1,[1=73]
367754,808357,266,493,266,490,78,147,388,78,1,1,[1=78]
346689,798702,270,486,268,479,81,147,365,81,1,1,[1=81]
377994,785537,263,493,263,489,75,144,393,75,1,1,[1=75]
351663,784366,259,462,258,456,78,146,403,78,2,1,[1=76/2=1]
358977,798995,264,474,264,470,77,145,372,77,1,1,[1=77]
350786,767983,254,470,253,464,73,141,367,73,1,1,[1=73]
364536,776467,254,476,253,470,75,143,396,75,1,1,[1=75]
351078,788169,261,477,261,474,79,148,381,79,1,1,[1=79]
364243,804553,268,497,268,494,78,144,374,78,1,1,[1=78]
351078,769445,259,471,258,464,74,142,356,74,1,1,[1=74]
346982,788462,261,493,261,490,77,145,354,79,3,1,[1=74/3=1]
355759,750136,249,474,248,468,71,139,343,71,1,1,[1=71]
344057,767105,254,487,254,485,72,141,380,72,1,1,[1=72]
339083,747210,254,457,253,453,76,144,370,76,1,1,[1=76]
375653,772663,257,481,256,476,74,142,426,75,2,1,[1=72/2=1]
368047,782611,256,473,255,466,73,140,386,73,1,1,[1=73]
329428,751014,266,482,264,478,74,141,372,74,1,1,[1=74]
342886,767983,260,478,259,471,76,143,334,76,1,1,[1=76]
357221,785537,263,482,263,480,77,146,425,77,1,1,[1=77]
387064,782611,265,500,264,495,73,140,413,73,1,1,[1=73]
342300,788463,268,492,268,491,78,146,368,78,1,1,[1=78]
396426,783782,256,491,256,487,72,141,470,72,1,1,[1=72]
375653,831177,271,497,271,495,80,149,399,80,1,1,[1=80]
365414,819474,268,490,268,487,80,149,392,80,2,1,[1=78/2=1]
334694,792266,263,481,262,477,78,146,346,78,1,1,[1=78]
331768,758328,252,471,252,471,74,142,369,75,5,1,[1=69/5=1]
351078,781733,263,515,262,513,72,140,399,78,6,1,[1=66/6=1]
377702,830006,264,488,264,483,77,145,379,77,1,1,[1=77]
348738,782904,270,503,270,502,79,148,383,79,1,1,[1=79]
359269,778223,260,495,259,491,75,143,408,75,1,1,[1=75]
392622,801628,261,493,261,488,75,144,453,75,1,1,[1=75]
349030,766520,255,445,254,438,80,147,365,80,1,1,[1=80]
369802,786121,257,471,256,465,73,138,369,73,1,1,[1=73]
356636,773249,248,483,248,479,72,138,388,72,2,1,[1=70/2=1]
372435,783489,262,498,262,496,75,144,379,76,2,1,[1=73/2=1]
330598,761546,250,449,250,446,78,147,353,78,1,1,[1=78]
356344,780563,253,485,252,479,73,140,336,73,1,1,[1=73]
415442,800164,253,488,253,481,71,139,457,71,1,1,[1=71]
361025,784952,261,474,261,472,75,144,409,75,1,1,[1=75]
365999,785244,268,492,268,489,77,146,396,77,1,1,[1=77]
355759,753647,246,456,246,452,71,140,381,71,1,1,[1=71]
349615,786707,263,496,262,491,76,143,356,76,1,1,[1=76]
368339,800750,258,485,257,478,75,142,351,75,1,1,[1=75]
363658,806601,260,482,260,478,76,143,362,76,1,1,[1=76]
363658,794021,265,479,264,475,78,145,398,78,1,1,[1=78]
344348,767690,263,481,261,476,78,144,367,78,1,1,[1=78]
358392,778222,252,468,252,462,74,142,342,74,1,1,[1=74]
358978,780271,265,489,263,484,75,142,415,75,2,1,[1=73/2=1]
337913,793729,269,478,267,473,81,147,383,81,1,1,[1=81]
382383,824155,275,503,274,499,80,146,424,80,1,1,[1=80]
356637,775297,253,477,252,468,72,139,342,72,2,1,[1=70/2=1]
368632,751599,256,493,256,491,71,138,397,71,1,1,[1=71]
350785,748381,257,467,254,460,74,140,401,74,1,1,[1=74]
356929,807479,269,510,268,506,77,144,355,81,7,1,[1=70/7=1]
358099,800457,264,495,263,489,76,144,374,76,2,1,[1=74/2=1]
384722,806601,258,485,258,480,75,141,402,75,1,1,[1=75]
352248,776174,256,476,256,474,76,145,408,80,3,1,[1=71/2=1/3=1]
363658,798702,265,498,265,495,76,144,384,76,2,1,[1=74/2=1]
359562,756280,259,494,259,493,73,142,435,73,1,1,[1=73]
366583,768568,266,481,266,479,78,147,407,78,1,1,[1=78]
339960,769445,261,475,261,474,79,148,383,79,1,1,[1=79]
348445,792266,262,483,261,478,78,145,331,78,1,1,[1=78]
354296,797824,274,519,274,518,76,145,394,76,1,1,[1=76]
358977,754817,249,471,249,466,71,140,362,71,1,1,[1=71]
373605,806894,268,496,268,491,80,148,383,80,1,1,[1=80]
345226,798117,262,483,261,479,79,147,358,79,1,1,[1=79]
335572,782611,277,486,275,482,83,149,378,83,1,1,[1=83]
369216,784952,264,509,263,504,74,141,404,74,1,1,[1=74]
355174,773249,253,467,252,461,75,143,352,75,1,1,[1=75]
349322,755110,257,491,256,488,74,142,372,74,1,1,[1=74]
351078,770616,254,481,253,475,73,141,374,73,1,1,[1=73]
341716,777930,267,489,267,488,78,147,382,78,1,1,[1=78]
389988,809527,255,469,253,456,76,142,360,76,2,1,[1=74/2=1]
364828,765057,266,499,264,494,71,138,378,71,1,1,[1=71]
384723,822692,261,476,259,467,78,144,366,78,1,1,[1=78]
342593,814793,273,493,273,491,82,151,357,82,1,1,[1=82]
382967,800165,263,502,263,497,74,143,395,74,1,1,[1=74]
356929,770031,256,471,255,468,75,141,375,75,1,1,[1=75]
368047,763009,251,489,251,484,70,138,381,70,1,1,[1=70]
339668,795483,267,489,266,486,77,145,360,77,1,1,[1=77]
398181,775004,259,500,259,496,72,139,430,72,1,1,[1=72]
364536,806016,261,484,260,478,75,142,374,75,1,1,[1=75]
347859,742529,252,485,249,478,71,137,442,71,1,1,[1=71]
345811,781733,270,476,270,474,79,148,377,79,1,1,[1=79]
361902,766520,261,497,260,492,73,141,366,73,1,1,[1=73]
384723,767982,258,479,258,477,77,146,490,77,1,1,[1=77]
365413,757743,255,465,255,463,76,144,378,76,1,1,[1=76]
341131,772663,262,489,261,486,76,143,375,76,1,1,[1=76]
367462,789340,263,486,262,480,75,143,387,75,1,1,[1=75]
363073,794898,262,491,260,481,74,140,343,74,1,1,[1=74]
