Tiny Problems 1 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
8,4,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
23698,57928,19,31,19,31,6,8,21,6,1,1,[1=6]
20480,51784,17,25,16,23,6,8,19,6,1,1,[1=6]
21650,59098,18,27,18,27,7,10,20,7,1,1,[1=7]
21650,56465,18,29,18,29,6,9,20,6,1,1,[1=6]
16676,43299,13,19,12,17,5,7,17,5,1,1,[1=5]
24576,59976,17,26,17,25,6,8,19,6,1,1,[1=6]
20479,52077,17,26,16,24,6,8,20,6,1,1,[1=6]
22235,59976,19,28,19,28,7,10,20,7,1,1,[1=7]
22235,59390,18,26,18,26,7,10,22,7,1,1,[1=7]
21943,51199,16,29,16,29,5,7,25,5,1,1,[1=5]
22820,60561,18,28,18,28,7,10,24,7,1,1,[1=7]
24283,58220,16,23,16,21,7,9,21,7,1,1,[1=7]
19309,58806,16,22,16,22,8,11,16,8,1,1,[1=8]
25746,58220,16,28,16,27,5,8,20,5,2,1,[1=3/2=1]
21650,59390,15,21,15,19,8,10,17,8,1,1,[1=8]
26038,49443,15,26,14,23,4,5,21,4,1,1,[1=4]
20480,58220,18,28,18,26,7,9,18,7,1,1,[1=7]
19602,54709,17,24,16,22,7,9,19,7,1,1,[1=7]
24575,55587,16,25,16,23,6,8,19,6,1,1,[1=6]
20479,53540,17,26,16,24,6,8,19,6,1,1,[1=6]
24575,60561,21,32,20,30,7,9,23,7,1,1,[1=7]
20479,50321,16,24,15,22,6,8,21,6,1,1,[1=6]
19309,55295,16,23,16,23,7,10,18,7,1,1,[1=7]
21650,60853,19,27,19,27,8,11,20,8,1,1,[1=8]
19309,50028,14,20,14,20,6,9,23,6,1,1,[1=6]
20479,54417,17,26,17,26,6,9,19,6,1,1,[1=6]
20187,52369,15,24,15,24,6,9,18,6,1,1,[1=6]
23405,53539,15,22,15,21,6,8,17,6,1,1,[1=6]
22820,53539,13,22,13,21,5,8,20,5,2,1,[1=3/2=1]
20772,52661,15,26,15,26,5,8,17,5,2,1,[1=3/2=1]
18431,52076,14,20,14,20,6,9,16,6,1,1,[1=6]
16384,47103,14,21,13,19,5,7,15,5,1,1,[1=5]
25746,57635,17,28,17,27,6,8,19,6,1,1,[1=6]
25453,55587,18,30,17,27,5,7,18,5,1,1,[1=5]
19017,47981,15,24,14,22,5,7,20,5,1,1,[1=5]
21942,62024,19,27,19,27,8,11,21,8,1,1,[1=8]
21357,57928,18,26,18,25,7,9,19,7,1,1,[1=7]
19894,52955,16,26,16,26,6,9,18,6,1,1,[1=6]
19310,53832,15,21,15,21,7,10,21,7,1,1,[1=7]
22820,49736,13,22,13,21,5,6,17,5,1,1,[1=5]
23113,55294,18,29,18,29,6,8,23,6,1,1,[1=6]
27793,61146,21,33,20,30,6,7,22,6,1,1,[1=6]
21650,61438,19,27,19,27,8,11,19,8,1,1,[1=8]
15506,47396,12,16,12,16,6,9,15,6,1,1,[1=6]
21942,52662,16,26,16,26,6,9,21,6,1,1,[1=6]
23113,60560,19,31,19,31,6,9,21,6,1,1,[1=6]
22527,50029,18,29,16,25,5,6,27,5,1,1,[1=5]
18432,51199,15,22,14,20,6,8,17,6,1,1,[1=6]
22235,53832,16,23,15,19,6,7,17,6,1,1,[1=6]
21357,64071,19,25,19,25,9,12,21,9,1,1,[1=9]
27501,57051,16,29,16,28,5,8,25,5,2,1,[1=3/2=1]
23991,51784,12,22,12,20,5,7,16,5,1,1,[1=5]
19894,54125,16,23,16,23,7,10,19,7,1,1,[1=7]
24283,62024,19,29,19,29,7,10,22,7,1,1,[1=7]
20480,57342,18,26,18,26,7,10,18,7,1,1,[1=7]
19602,55880,17,24,17,24,7,10,17,7,1,1,[1=7]
21942,60854,18,26,18,26,8,11,23,8,1,1,[1=8]
23112,64365,20,28,20,28,8,11,23,8,1,1,[1=8]
28086,57050,18,31,17,28,5,7,27,5,1,1,[1=5]
25161,67875,21,31,21,31,8,11,26,8,1,1,[1=8]
19309,47688,15,24,14,22,5,7,20,5,1,1,[1=5]
24283,59976,17,25,17,24,7,9,18,7,1,1,[1=7]
21650,54710,18,28,18,28,6,9,18,6,1,1,[1=6]
21650,57343,17,25,17,25,7,10,26,7,1,1,[1=7]
27208,57635,16,27,16,26,6,8,27,6,1,1,[1=6]
21065,54124,16,25,16,25,6,9,21,6,1,1,[1=6]
19602,52954,14,22,14,22,6,9,21,6,2,1,[1=4/2=1]
21649,53539,18,29,17,27,6,8,20,6,1,1,[1=6]
20772,55587,16,24,16,24,7,10,19,7,1,1,[1=7]
18724,54417,16,22,16,22,7,10,18,7,1,1,[1=7]
22235,64072,20,29,20,29,8,11,20,8,1,1,[1=8]
21649,57928,18,28,18,28,7,10,19,7,1,1,[1=7]
25161,62902,18,25,18,24,8,10,19,8,1,1,[1=8]
21943,55880,18,29,18,29,6,9,21,6,1,1,[1=6]
18432,51784,15,22,15,21,6,8,17,6,1,1,[1=6]
17554,50321,14,19,14,19,7,10,18,7,1,1,[1=7]
22820,52077,15,22,15,22,6,9,27,6,1,1,[1=6]
21357,55587,17,25,17,25,7,10,26,7,1,1,[1=7]
17261,48273,14,20,13,18,6,8,17,6,1,1,[1=6]
18139,43007,11,16,11,14,5,6,11,5,1,1,[1=5]
22820,53247,14,25,14,24,5,7,20,5,1,1,[1=5]
19017,52076,15,22,15,22,6,9,20,6,1,1,[1=6]
23698,63194,20,30,20,30,7,9,20,7,1,1,[1=7]
19602,51491,15,22,15,22,6,9,20,6,1,1,[1=6]
23991,62609,19,30,19,30,7,10,25,7,1,1,[1=7]
22820,53540,14,21,14,20,6,9,19,6,1,1,[1=6]
19017,53832,16,24,16,24,6,9,17,6,1,1,[1=6]
25161,59976,17,29,17,28,6,9,19,6,1,1,[1=6]
19309,55880,16,22,16,22,7,10,19,7,1,1,[1=7]
23112,53247,14,20,14,19,6,8,19,6,1,1,[1=6]
23113,59098,18,27,18,27,7,10,22,7,1,1,[1=7]
22820,64364,20,29,20,29,8,11,21,8,1,1,[1=8]
19894,55880,16,22,16,22,7,10,20,7,1,1,[1=7]
21065,54417,17,27,17,27,6,8,20,6,1,1,[1=6]
19016,46518,15,24,14,21,5,6,19,5,1,1,[1=5]
15506,49443,12,17,12,17,7,10,15,7,1,1,[1=7]
22234,51199,14,23,14,22,5,7,16,5,1,1,[1=5]
21942,55587,18,29,18,29,6,9,20,6,1,1,[1=6]
24868,53247,15,25,15,24,5,8,22,5,1,1,[1=5]
26039,71678,23,32,23,32,9,12,25,9,1,1,[1=9]
18139,51491,14,22,14,21,6,8,15,6,1,1,[1=6]
17554,49443,15,22,14,20,6,8,17,6,1,1,[1=6]
24868,61731,20,30,20,30,7,10,23,7,1,1,[1=7]
22528,53247,13,19,13,18,6,8,20,6,1,1,[1=6]
23991,61438,19,29,19,29,7,10,24,7,1,1,[1=7]
22820,59391,19,29,19,29,7,10,23,7,1,1,[1=7]
30427,58805,19,35,18,32,5,7,27,5,1,1,[1=5]
19016,55880,16,23,16,23,7,10,16,7,1,1,[1=7]
23990,58806,17,27,17,26,6,8,17,6,1,1,[1=6]
25453,62316,19,28,19,27,7,9,19,7,1,1,[1=7]
24576,60854,21,32,20,30,7,9,22,7,1,1,[1=7]
15213,48859,12,16,12,16,7,9,14,7,1,1,[1=7]
25746,56465,16,26,16,25,6,8,22,6,1,1,[1=6]
18139,48858,14,24,14,23,5,7,15,5,2,1,[1=3/2=1]
24283,52369,13,23,13,22,5,8,21,6,2,1,[1=3/2=1]
20772,52661,17,26,16,24,6,8,19,6,1,1,[1=6]
20187,50906,17,27,16,25,5,7,18,5,1,1,[1=5]
22235,55294,17,28,17,28,6,9,19,6,1,1,[1=6]
