Tiny Problems 3 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
10,12,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,34,72,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
216206,93621,36,70,35,67,10,19,655,13,2,1,[1=6/2=2]
331769,82795,34,70,32,63,8,15,1066,19,3,1,[1=3/2=1/3=1]
468396,107371,37,76,37,75,11,22,1439,16,3,1,[1=8/3=1]
678165,109712,37,73,37,71,11,22,2259,21,4,1,[1=7/4=1]
94498,100057,35,72,34,68,9,18,213,36,4,1,[1=5/4=1]
586007,28672,37,80,36,77,-1,-1,1940,-1,-1,-1,[-1=1]
252483,88354,38,82,36,77,8,14,790,11,2,1,[1=6/2=1]
136920,105031,40,77,40,77,11,22,392,25,6,1,[1=5/6=1]
1346091,106201,40,82,40,81,10,21,4495,35,6,2,[1=2/2=1/6=1]
759791,102105,38,80,38,80,10,21,2465,16,2,1,[1=8/2=1]
415735,91865,38,72,37,69,10,18,1438,13,2,1,[1=6/2=2]
901978,86306,30,67,30,65,8,17,3016,11,3,1,[1=5/3=1]
183145,35986,35,75,34,68,-1,-1,485,-1,-1,-1,[-1=1]
115271,92158,32,69,32,67,9,18,307,14,2,1,[1=7/2=1]
138091,96546,35,67,34,63,10,18,395,16,2,1,[1=8/2=1]
202162,104738,41,88,39,81,9,16,833,30,4,1,[1=5/4=1]
125510,97132,39,77,36,68,8,15,318,16,2,1,[1=4/2=2]
169687,99180,39,83,38,79,9,18,467,19,4,1,[1=5/4=1]
521936,107078,40,83,40,81,10,19,1668,20,3,1,[1=7/3=1]
112930,92743,36,77,36,77,9,19,290,13,2,1,[1=7/2=1]
569624,98302,39,80,39,79,10,20,1824,17,4,1,[1=6/4=1]
1224677,106494,35,77,34,70,9,17,4094,42,5,1,[1=4/5=1]
247217,99180,36,78,36,77,10,20,719,24,3,1,[1=7/3=1]
121707,102690,36,75,35,70,9,18,303,29,4,1,[1=5/4=1]
120244,91572,35,65,35,65,11,21,327,11,2,1,[1=9/2=1]
176709,90403,31,66,30,59,8,16,526,27,3,1,[1=5/3=1]
146283,94206,34,71,34,68,9,19,414,12,2,1,[1=7/2=1]
89232,106786,43,90,43,90,11,21,230,34,4,1,[1=7/4=1]
174076,96254,37,76,36,72,10,18,488,17,2,1,[1=8/2=1]
113223,95669,38,72,37,70,10,20,309,16,2,1,[1=8/2=1]
459912,105031,37,73,37,72,11,22,1436,42,5,1,[1=6/5=1]
160033,108542,38,71,38,70,11,22,445,70,7,2,[1=4/7=1]
91573,92158,35,67,34,62,10,19,220,13,2,1,[1=6/2=2]
156230,105909,39,83,38,79,10,19,406,57,6,2,[1=4/6=1]
199822,90110,35,72,34,68,9,18,602,20,3,1,[1=6/3=1]
359562,107371,36,75,36,73,10,20,1154,31,4,1,[1=6/4=1]
184023,102105,35,76,35,74,9,18,558,40,5,1,[1=4/5=1]
93036,102982,36,75,36,73,10,19,237,57,6,2,[1=4/6=1]
549730,93035,36,85,36,84,8,19,1741,18,3,1,[1=5/3=1]
278814,109127,43,81,43,81,11,22,859,70,7,2,[1=4/7=1]
325917,101227,37,77,37,77,10,20,1043,43,5,1,[1=5/5=1]
314800,31597,34,67,33,63,-1,-1,1002,-1,-1,-1,[-1=1]
345519,100350,36,72,36,71,11,21,1103,13,2,1,[1=9/2=1]
607950,115563,38,82,38,78,10,21,1985,22,5,1,[1=5/5=1]
136043,93913,34,73,33,70,9,18,390,19,4,1,[1=5/4=1]
146867,29842,35,80,34,76,-1,-1,380,-1,-1,-1,[-1=1]
379749,100934,38,86,37,82,9,18,1102,19,4,1,[1=5/4=1]
418661,108542,42,85,42,85,11,22,1319,23,4,1,[1=7/4=1]
150378,102105,38,74,38,74,11,22,422,24,3,1,[1=8/3=1]
300464,99765,38,81,37,78,9,18,909,14,3,1,[1=6/3=1]
896126,108541,39,86,39,84,10,19,2974,13,2,1,[1=8/2=1]
106201,98887,38,71,38,71,11,21,267,19,3,1,[1=8/3=1]
87477,93621,35,74,34,70,8,16,180,32,4,1,[1=4/4=1]
840539,92743,34,65,34,64,10,21,2887,12,3,1,[1=7/3=1]
936207,109712,40,80,40,79,11,22,3299,22,3,1,[1=8/3=1]
899344,111760,38,84,38,81,10,20,2915,49,6,2,[1=4/6=1]
91281,95961,37,69,37,69,10,21,234,33,4,1,[1=4/2=1/4=1]
1291089,100642,38,84,37,80,9,19,4201,31,4,1,[1=5/4=1]
171443,97717,38,80,37,76,10,19,491,39,5,1,[1=5/5=1]
614093,92450,33,66,31,59,8,16,2035,25,6,2,[1=2/6=1]
294320,101520,36,75,36,72,10,20,897,16,2,1,[1=8/2=1]
664415,89525,34,65,33,63,10,19,2335,24,5,1,[1=5/5=1]
169981,94791,37,77,36,74,9,18,475,22,3,1,[1=6/3=1]
337620,108249,40,86,40,83,10,19,1050,13,2,1,[1=8/2=1]
483610,93036,34,67,33,63,9,18,1601,13,2,1,[1=7/2=1]
544170,93914,37,73,36,71,10,18,1759,14,2,1,[1=8/2=1]
657685,112638,40,79,40,78,11,21,2081,44,7,2,[1=4/7=1]
236685,105323,35,67,35,66,10,20,764,65,7,2,[1=3/7=1]
797532,101520,31,70,31,66,9,20,2637,40,5,1,[1=4/5=1]
157693,97716,38,83,36,77,8,16,414,32,4,1,[1=4/4=1]
105323,96839,39,86,38,84,9,16,295,42,5,1,[1=4/5=1]
364828,111759,38,77,38,73,10,18,1120,17,3,1,[1=7/3=1]
196019,89232,32,65,32,64,9,18,584,13,3,1,[1=6/3=1]
251606,104445,37,82,37,79,10,18,699,15,2,1,[1=8/2=1]
514036,96254,36,83,36,82,9,17,1550,26,5,1,[1=4/5=1]
191045,98010,37,75,36,72,9,18,610,32,5,1,[1=4/5=1]
193971,105031,38,77,37,72,10,19,663,24,3,1,[1=7/3=1]
279400,99472,39,78,38,75,10,19,863,12,3,1,[1=7/3=1]
217961,92743,33,71,32,66,8,16,623,20,3,1,[1=5/3=1]
782903,87476,35,86,33,80,6,11,2395,11,2,1,[1=2/2=2]
160326,74019,30,69,27,58,6,11,448,12,2,1,[1=4/2=1]
139554,86599,33,65,32,63,9,18,408,32,4,1,[1=5/4=1]
121122,104738,39,75,39,74,11,21,331,26,5,1,[1=6/5=1]
615849,33938,38,86,36,81,-1,-1,1932,-1,-1,-1,[-1=1]
187241,89524,39,83,37,79,8,17,537,20,3,1,[1=5/3=1]
192800,92743,37,71,36,68,10,18,598,13,2,1,[1=8/2=1]
286421,91573,34,65,33,63,10,20,970,17,3,1,[1=7/3=1]
149793,84258,29,57,28,53,9,18,435,14,2,1,[1=5/2=2]
426560,96839,39,77,38,75,10,19,1382,13,2,1,[1=8/2=1]
225275,94791,32,82,32,80,7,15,949,46,5,2,[1=2/5=1]
132824,102105,41,80,40,78,10,20,367,24,3,1,[1=5/2=1/3=1]
211816,30426,34,77,32,72,-1,-1,608,-1,-1,-1,[-1=1]
401692,97424,37,78,37,78,10,20,1371,40,5,1,[1=5/5=1]
385601,109127,40,83,40,80,10,19,1194,20,3,1,[1=7/3=1]
295198,86892,33,74,31,68,7,14,928,19,3,1,[1=4/3=1]
453475,101520,38,80,36,73,9,16,1405,16,4,1,[1=5/4=1]
291980,105030,38,81,38,77,10,19,918,13,3,1,[1=7/3=1]
1135152,103275,40,86,39,83,9,18,3788,13,2,1,[1=7/2=1]
137798,103861,36,72,35,66,10,17,335,16,2,1,[1=8/2=1]
1239012,98009,34,71,34,69,9,19,4260,16,4,1,[1=5/4=1]
286421,98887,35,71,34,65,9,16,906,13,3,1,[1=6/3=1]
104738,99472,38,78,37,72,9,14,211,33,4,1,[1=5/4=1]
193678,43884,35,83,33,73,-1,-1,664,-1,-1,-1,[-1=1]
109419,102398,35,66,35,63,10,19,255,23,4,1,[1=6/4=1]
88355,88647,35,74,33,69,7,14,288,32,4,1,[1=3/4=1]
606780,88940,35,79,34,76,8,16,1972,12,2,1,[1=6/2=1]
343764,98010,34,79,34,76,9,19,1045,31,4,1,[1=5/4=1]
134287,98009,39,80,39,79,10,18,344,14,3,1,[1=7/3=1]
125218,95376,34,67,33,64,10,20,355,21,3,1,[1=7/3=1]
867162,102690,40,90,38,84,8,15,2753,14,2,1,[1=6/2=1]
222934,102983,37,78,36,73,10,17,607,16,2,1,[1=6/2=2]
242537,100057,33,71,33,68,9,18,716,31,6,2,[1=3/6=1]
199237,96546,32,72,32,70,10,21,570,29,4,1,[1=6/4=1]
370972,108834,40,90,40,89,10,21,1042,18,3,1,[1=5/2=1/3=1]
356929,100642,38,85,37,82,10,17,1056,11,2,1,[1=8/2=1]
275303,100057,33,65,33,65,11,22,887,43,5,1,[1=6/5=1]
148038,100350,34,69,34,68,10,21,563,67,6,2,[1=4/6=1]
411931,94499,35,66,33,60,9,18,1349,11,2,1,[1=7/2=1]
803968,100642,37,69,37,68,11,21,2832,20,3,1,[1=8/3=1]
550899,85722,35,80,32,71,7,13,1752,11,2,1,[1=5/2=1]
