Tiny Problems 3 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
10,12,5
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,34,72,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,38,78,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,77,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
0,292,33,67,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,35,70,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,0,38,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,34,68,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,40,80,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,39,81,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,38,82,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,292,33,64,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,32,66,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,37,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,39,85,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,36,74,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,292,38,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,39,83,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,33,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,38,77,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
0,292,31,64,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,40,79,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,33,64,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,37,70,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,37,79,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,38,86,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,40,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,38,82,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,39,77,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,292,33,63,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,36,71,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,30,86,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,35,66,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,33,75,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,36,77,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,36,70,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,41,84,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,585,31,62,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,73,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,40,76,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,33,65,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,34,77,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,85,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,293,35,72,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,34,84,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
585,292,38,79,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,33,70,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,81,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,41,83,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,0,40,81,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,37,73,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
293,292,38,81,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
0,293,34,78,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
292,292,33,72,-1,-1,-1,-1,-1,-1,-1,-1,[-1=1]
