Huge Problems 3 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
50000,40000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
13590334717,12527069856,136786,267280,132643,257713,35731,71586,236496,35731,1,1,[1=35732]
14506180905,13146232900,137300,267509,133232,258094,35958,71888,231646,35958,1,1,[1=35959]
11045628662,11130857949,137208,268458,133241,259234,35921,71952,232588,35921,1,1,[1=35922]
13419816754,11239680377,137191,267716,133130,258330,35944,71880,232993,35944,1,1,[1=35945]
11553321844,13879022020,137065,267194,133104,258056,35944,71981,233254,35944,1,1,[1=35945]
11892273525,11299589500,136695,267119,132666,257753,35852,71821,234624,35852,1,1,[1=35853]
12524604984,12635967475,137154,267736,133239,258675,35937,72020,232486,35937,1,1,[1=35938]
11140228266,10924736113,136828,267756,132738,258336,35723,71631,232743,35723,1,1,[1=35724]
13500943381,11497645571,137066,267261,133091,258068,35991,72015,234728,35991,1,1,[1=35992]
11031844980,11367398795,137057,267141,133097,258010,35981,72019,233454,35981,1,1,[1=35982]
13444815679,12654016777,136963,267432,132883,257942,35757,71673,232095,35760,3,1,[1=35750/2=2/3=3]
13208073254,10907582357,136890,267546,132891,258221,35791,71789,229942,35794,5,1,[1=35787/5=2]
13364807534,11786185129,136884,267916,132857,258578,35821,71791,236769,35822,2,1,[1=35820/2=2]
9082745689,14187790793,137144,268286,133092,258870,35768,71715,231516,35768,1,1,[1=35769]
13249479597,12258153608,137063,267160,133090,257973,35942,71967,230676,35943,2,1,[1=35941/2=2]
