Huge Problems 3 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
50000,40000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
64017992251,12426765792,136845,267936,132889,258789,35733,71775,3561118,32709,5,1,[1=35727/2=2/5=2]
953474,1621695,137071,267415,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
575770,898472,137576,268006,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1020471,1737845,137027,267339,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1543580,642183,137542,268789,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1599168,64365,136855,267457,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
210063,189290,136991,267746,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
361027,244000,137276,268428,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1076645,93329,137157,268142,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1766809,382677,137246,267909,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
762135,253948,137141,268389,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
433876,164715,137230,267753,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1301921,643061,137069,267445,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1147153,180221,137189,267876,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1793432,526912,136747,267428,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1495600,45640,137090,267951,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1040074,899057,136891,267512,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
844932,914855,137153,267482,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
639550,1357509,136967,267835,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
