Large Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,700,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
390868,286422,2502,4700,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
35079009,7901927,2446,4604,2382,4445,692,1326,37858,485,2,1,[1=691/2=2]
191456358,7784315,2445,4601,2376,4441,681,1311,385960,596,6,1,[1=676/6=2]
87730144,7649149,2489,4726,2413,4548,667,1290,178811,461,4,1,[1=658/2=2/4=3]
29585781,8015736,2461,4567,2404,4427,705,1347,20025,599,4,1,[1=702/4=2]
526396953,8013688,2463,4687,2387,4507,670,1292,622808,643,3,1,[1=665/3=3]
75914555,7840195,2484,4674,2407,4496,673,1295,103108,400,2,1,[1=670/2=3]
51357698,8272609,2468,4685,2403,4527,688,1322,97315,621,5,1,[1=684/5=2]
51729843,7627207,2476,4690,2411,4537,687,1319,72527,531,2,1,[1=686/2=2]
57699369,7844584,2473,4649,2398,4476,672,1295,27441,406,11,1,[1=654/4=3/11=2]
1036917204,2832336,2410,4594,2337,4429,-1,-1,712064,-1,-1,-1,[-1=2]
21317854,8624566,2504,4648,2431,4478,696,1322,22782,651,2,1,[1=695/2=2]
69780607,7353072,2464,4613,2391,4447,682,1308,107424,467,3,1,[1=680/3=2]
184990054,8386417,2465,4666,2397,4499,686,1317,203787,583,7,1,[1=680/7=2]
52875533,7964536,2459,4674,2388,4507,673,1301,108033,560,6,1,[1=668/6=2]
31826548,7615505,2469,4551,2396,4384,699,1324,48479,395,4,1,[1=696/4=2]
315810846,7585370,2467,4679,2398,4515,671,1299,640312,636,4,1,[1=668/4=2]
48300671,7542070,2488,4620,2404,4429,696,1309,20963,184,2,1,[1=693/2=3]
71519330,2865396,2503,4659,2436,4501,-1,-1,51933,-1,-1,-1,[-1=2]
39219409,7789874,2520,4753,2452,4596,684,1315,67761,391,3,1,[1=682/3=2]
475740830,7660853,2522,4746,2463,4607,709,1348,777463,670,4,1,[1=706/4=2]
947874608,2580436,2472,4696,2411,4557,-1,-1,1804685,-1,-1,-1,[-1=2]
435935117,8359793,2505,4708,2440,4553,686,1320,322437,682,5,1,[1=682/5=2]
28907320,7648564,2469,4633,2385,4442,673,1288,41902,393,3,1,[1=671/3=2]
38375355,7485312,2475,4714,2392,4523,660,1276,51571,397,2,1,[1=659/2=2]
102362562,8095020,2477,4676,2401,4498,668,1290,174981,455,4,1,[1=665/4=2]
20531436,7808013,2445,4613,2377,4459,683,1314,23728,659,3,1,[1=681/3=2]
31762184,8151779,2505,4652,2427,4475,702,1322,46417,582,4,1,[1=699/4=2]
192127213,7891394,2483,4647,2427,4509,696,1337,87944,232,2,1,[1=695/2=2]
759637943,7502866,2464,4661,2392,4500,678,1305,863169,567,6,1,[1=668/5=2/6=2]
31498288,7340492,2480,4679,2407,4512,683,1308,55818,560,5,1,[1=679/5=2]
23711048,7933524,2457,4667,2377,4484,667,1286,40732,559,5,1,[1=663/5=2]
13574205,7929721,2505,4693,2440,4544,700,1334,14882,651,4,1,[1=697/4=2]
29657753,7715562,2482,4652,2410,4484,687,1314,15376,133,2,1,[1=686/2=2]
