Large Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,700,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
390868,286422,2502,4700,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1756,3511,2434,4661,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2633,2925,2556,4762,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2633,2925,2458,4693,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
7314,2048,2468,4624,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6436,1170,2478,4607,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4973,3219,2484,4699,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5266,3803,2523,4717,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2925,4096,2466,4657,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,4681,2427,4596,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3803,1463,2500,4637,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3803,5559,2451,4642,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4974,1463,2477,4628,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,3803,2446,4561,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
7314,4681,2485,4668,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2048,4096,2464,4620,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,585,2484,4619,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5266,4681,2504,4678,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8485,2340,2486,4720,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4389,2048,2471,4620,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3511,2633,2468,4685,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6144,2634,2490,4661,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,2048,2494,4611,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4388,1755,2445,4589,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
