Large Problems 2 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
1000,1000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
9473302,13807381,3241,6824,3142,6595,764,1663,6865,779,8,1,[1=757/8=2]
9921513,14638269,3280,6863,3182,6635,777,1676,7092,783,4,1,[1=771/3=2/4=2]
9588280,13460397,3207,6753,3121,6551,765,1677,7494,776,8,1,[1=750/4=3/8=2]
8832288,13959515,3213,6743,3122,6532,772,1678,6735,772,1,1,[1=773]
9022456,14120427,3261,6903,3174,6700,771,1683,6517,778,11,1,[1=759/2=2/11=2]
9269675,13814109,3221,6684,3113,6433,766,1656,7102,766,1,1,[1=767]
8917425,14004863,3212,6738,3119,6520,769,1675,6051,769,1,1,[1=770]
9281085,13653198,3277,6840,3176,6614,770,1667,7451,786,10,1,[1=761/10=2]
9937604,14411238,3245,6797,3132,6533,756,1639,7304,763,7,1,[1=747/3=2/7=2]
8872662,13439333,3269,6790,3165,6554,777,1672,6169,777,1,1,[1=778]
9404841,14180695,3235,6740,3147,6540,783,1694,7150,783,1,1,[1=784]
10218761,14372912,3255,6846,3148,6594,761,1651,7529,766,9,1,[1=747/3=3/9=2]
10254747,14318202,3238,6828,3129,6578,758,1645,7941,759,2,1,[1=757/2=2]
8657919,14133885,3272,6792,3181,6584,784,1692,6508,809,18,1,[1=756/2=2/9=2/18=2]
9563997,13637692,3250,6906,3159,6699,769,1675,7315,865,41,1,[1=727/2=2/41=2]
8868860,14400706,3272,6728,3168,6488,787,1681,6060,789,5,1,[1=783/5=2]
9437608,14623641,3275,6831,3179,6607,776,1678,6750,788,14,1,[1=763/14=2]
10242166,14073031,3242,6766,3129,6506,758,1644,7919,820,28,1,[1=731/28=2]
9475934,14315276,3211,6717,3119,6495,776,1680,6174,780,6,1,[1=771/6=2]
8579804,13453668,3238,6724,3137,6496,766,1663,6277,766,1,1,[1=767]
9805657,14899239,3262,6904,3149,6641,762,1647,6604,763,2,1,[1=761/2=2]
9822626,14753540,3262,6800,3158,6555,767,1660,6449,775,8,1,[1=760/8=2]
8066642,13177485,3259,6835,3163,6624,768,1671,6173,777,7,1,[1=758/4=2/7=2]
9441412,14840433,3272,6810,3165,6557,777,1667,6211,777,1,1,[1=778]
9563119,13565136,3260,6839,3160,6607,762,1658,6935,763,2,1,[1=761/2=2]
10294536,13596440,3252,6820,3150,6586,766,1662,6979,767,2,1,[1=765/2=2]
9172836,14380519,3199,6705,3085,6437,751,1634,6230,751,1,1,[1=752]
10071308,14356236,3266,6906,3171,6687,763,1664,7847,771,9,1,[1=755/9=2]
9314731,14295089,3237,6840,3128,6586,748,1635,6467,777,16,1,[1=727/2=2/4=2/16=2]
9717887,14539381,3285,6871,3175,6615,767,1656,6835,767,1,1,[1=768]
11495521,15034697,3240,6963,3133,6707,751,1643,8099,751,1,1,[1=752]
9432050,13870282,3234,6748,3135,6516,767,1665,6313,768,2,1,[1=766/2=2]
9580089,13990234,3226,6790,3122,6553,768,1660,6269,769,4,1,[1=763/2=2/4=2]
10288684,15522990,3249,6939,3126,6648,741,1617,6637,742,3,1,[1=739/3=2]
8403386,14360916,3237,6801,3148,6595,774,1684,5809,778,4,1,[1=769/2=2/4=2]
9795417,14573612,3218,6699,3131,6487,780,1690,7386,784,4,1,[1=777/4=2]
9395478,14459804,3230,6769,3132,6537,773,1672,6917,781,10,1,[1=764/10=2]
9482663,13517155,3228,6810,3135,6596,773,1679,7257,793,13,1,[1=758/3=2/13=2]
9693604,14304451,3220,6803,3112,6547,744,1634,6784,749,4,1,[1=741/4=2]
9678098,14090878,3286,6830,3188,6606,779,1678,7306,779,1,1,[1=780]
9243929,14409482,3234,6823,3137,6595,767,1667,6534,771,5,1,[1=763/5=2]
9787810,13905683,3231,6901,3144,6693,767,1678,7091,771,5,1,[1=761/2=2/5=2]
9374414,13826398,3253,6962,3164,6755,763,1672,6770,763,1,1,[1=764]
10075695,14506614,3261,6786,3167,6563,789,1692,7733,789,1,1,[1=790]
10587395,14883732,3240,6817,3147,6591,769,1675,7111,781,6,1,[1=762/2=2/6=2]
