Large Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,1000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
948862897,14300647,3254,6730,3148,6478,776,1668,1631977,6501,77,1,[1=700/77=2]
1463,4681,3199,6798,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
475697237,11925301,3254,6938,3165,6721,763,1669,777920,534,15,1,[1=729/2=3/3=2/6=2/7=2/15=2]
1049291594,10905122,3269,6838,3183,6639,789,1700,1714705,230,75,1,[1=713/2=2/75=2]
238899517,5922715,3274,6798,3180,6571,-1,-1,415889,-1,-1,-1,[-1=2]
4389,3511,3238,6793,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1039062009,10271130,3200,6746,3104,6528,756,1659,1751858,142,9,1,[1=739/2=2/7=2/9=2]
4974,5559,3230,6772,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6436,878,3284,6852,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
514943270,10764104,3277,7008,3171,6772,753,1646,866947,272,32,1,[1=720/2=2/32=2]
7899,5266,3202,6787,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2341,3511,3259,6808,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5851,1755,3239,6912,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5559,4681,3206,6689,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3803,1755,3206,6707,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
517940028,10569256,3250,6737,3139,6480,762,1647,876821,246,2,1,[1=759/2=3]
86408329,11741276,3253,6802,3149,6554,759,1652,140695,456,4,1,[1=753/3=2/4=2]
3218,4389,3239,6808,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8777,586,3239,6768,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6729,1170,3246,6841,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
111925974,10801553,3260,6754,3161,6526,789,1689,173020,533,10,1,[1=766/2=3/3=3/4=2/10=2]
4388,1463,3221,6735,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1755,6729,3239,6912,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
346357708,11581535,3249,6855,3127,6571,734,1610,588924,601,7,1,[1=718/3=3/4=2/7=2]
2633,2925,3225,6732,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6144,3511,3227,6788,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8192,5559,3261,6766,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4096,2926,3243,6810,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,2633,3207,6718,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2926,3510,3244,6798,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
411319454,10669606,3252,6876,3155,6651,759,1659,702320,653,10,1,[1=739/3=2/8=2/10=2]
1319809352,11401314,3234,6868,3147,6657,769,1679,2293591,426,26,1,[1=740/4=2/26=2]
841552743,10052583,3215,6822,3088,6541,729,1600,1391161,442,68,1,[1=656/6=2/68=2]
4096,877,3275,6817,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
345047011,11756197,3272,6874,3171,6646,767,1665,576722,2894,48,1,[1=720/48=2]
19309,2048,3226,6739,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6729,3803,3277,6806,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
824287228,5395510,3249,6793,3147,6544,-1,-1,1414532,-1,-1,-1,[-1=2]
10532,2926,3224,6782,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1085451929,3965445,3259,6888,3170,6688,-1,-1,1782536,-1,-1,-1,[-1=2]
4095,5266,3301,6895,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1709855130,10678967,3237,6837,3142,6623,770,1674,2917593,1252,31,1,[1=738/2=2/31=2]
17846,1755,3247,6752,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6144,1463,3241,6836,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
307624838,10981482,3237,6843,3129,6596,756,1646,524091,478,11,1,[1=739/7=2/11=2]
1755,7607,3232,6852,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
584864309,11355382,3229,6803,3142,6594,770,1682,1003322,242,28,1,[1=723/2=3/16=2/28=2]
5009921221,11303012,3232,6743,3143,6532,785,1693,6926024,682,17,1,[1=769/17=2]
2926,585,3239,6743,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
136172710,11910965,3249,6786,3147,6540,769,1666,179308,712,12,1,[1=750/2=2/3=3/12=2]
3804,12580,3254,6891,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
207332476,5207975,3289,6844,3188,6610,-1,-1,364044,-1,-1,-1,[-1=2]
634221731,11551108,3242,6842,3131,6585,763,1650,1068683,2744,45,1,[1=719/45=2]
4389,2048,3207,6771,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3218,2341,3264,6800,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
7607,1756,3253,6811,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4388,2341,3273,6844,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1118954005,10591782,3238,6817,3134,6580,752,1647,1879233,631,4,1,[1=745/2=3/4=2]
5852,2048,3217,6799,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4435212478,11220801,3228,6860,3127,6633,770,1667,7463432,1377,47,1,[1=724/47=2]
5559,2633,3260,6826,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
307443154,11221094,3210,6748,3118,6538,768,1674,404321,886,24,1,[1=730/3=2/12=2/24=2]
6144,7607,3255,6860,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
738489778,11785747,3264,6890,3155,6631,756,1644,1246119,538,64,1,[1=688/2=2/3=2/64=2]
5852,2340,3217,6714,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
427286561,11489085,3255,6807,3147,6551,768,1657,710535,642,7,1,[1=751/3=3/5=2/7=2]
2633,4974,3232,6843,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
318469983,11006350,3233,6699,3137,6476,783,1686,530843,385,13,1,[1=760/2=2/4=2/5=2/13=2]
162821124,10498454,3240,6802,3126,6543,741,1625,269144,578,11,1,[1=716/6=2/9=2/11=2]
1901574505,11568662,3250,6875,3149,6634,774,1670,3162500,966,21,1,[1=740/2=2/3=2/9=2/21=2]
202854161,10596756,3232,6754,3125,6514,767,1658,339479,698,21,1,[1=729/2=3/7=3/21=2]
363991566,12219915,3226,6810,3128,6584,766,1665,605904,4216,63,1,[1=704/63=2]
1756,2341,3200,6799,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,1463,3260,6891,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,15506,3234,6854,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
309312945,11560177,3250,6829,3161,6620,778,1688,513851,596,21,1,[1=738/3=2/6=2/11=2/21=2]
2329122034,10587979,3252,6728,3135,6465,767,1647,3996170,458,37,1,[1=725/6=2/37=2]
443765951,11590020,3266,6846,3154,6585,753,1639,690589,449,2,1,[1=752/2=2]
332075200,10670776,3227,6848,3152,6673,782,1703,554365,1137,27,1,[1=738/18=2/27=2]
3510,878,3300,6832,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1755,2925,3289,6922,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,1170,3259,6823,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
319024104,10545558,3265,6757,3168,6540,783,1683,544314,580,6,1,[1=770/2=3/4=2/6=2]
2340,4096,3243,6893,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
858295736,11312374,3265,6830,3176,6626,784,1692,1397479,698,10,1,[1=775/10=2]
184474259,11429986,3282,6893,3203,6697,788,1706,296168,580,18,1,[1=751/6=2/14=2/18=2]
331308091,5928859,3242,6801,3135,6542,-1,-1,578329,-1,-1,-1,[-1=2]
109197499,11110503,3256,6776,3161,6552,779,1682,85725,651,2,1,[1=778/2=2]
6436,1170,3225,6784,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
10533,1170,3226,6860,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
12288,12287,3294,6919,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
570882558,10685697,3205,6801,3102,6565,756,1652,977455,475,60,1,[1=682/3=2/4=2/8=2/60=2]
3511,3218,3197,6647,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
6729,3511,3225,6701,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5558,2633,3246,6852,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2633,1170,3251,6919,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4389,9654,3245,6796,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5852,2048,3221,6699,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4681,8777,3286,6905,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
4096,1756,3228,6853,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3511,11410,3264,6871,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
977387833,11208805,3232,6747,3137,6524,774,1677,1643489,477,31,1,[1=732/5=2/7=2/31=2]
207273670,10912728,3268,6785,3161,6545,770,1661,343291,811,8,1,[1=763/8=2]
244403862,11538528,3248,6800,3144,6559,771,1666,418422,985,26,1,[1=732/2=2/3=2/9=2/26=2]
2341,4096,3265,6865,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
90272546,11788380,3262,6814,3148,6547,759,1642,152140,439,7,1,[1=747/2=2/4=2/7=2]
7021,3219,3257,6789,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3219,2048,3263,6836,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
11117,6729,3245,6868,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
3511,1170,3267,6814,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
154776132,10928819,3240,6905,3121,6636,741,1621,262477,709,22,1,[1=713/7=2/22=2]
14628,9070,3216,6717,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
788645906,10740992,3249,6852,3138,6597,748,1635,1285455,567,15,1,[1=723/11=2/15=2]
923610902,11374106,3236,6797,3139,6576,771,1672,477447,772,7,1,[1=760/5=2/7=2]
13458,2925,3183,6758,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1642898081,12250050,3267,6818,3158,6562,758,1647,2850809,1769,48,1,[1=707/4=2/48=2]
2633,3511,3228,6800,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
477392074,11441981,3237,6778,3141,6549,763,1665,554608,386,8,1,[1=751/2=2/3=2/8=2]
4681,3218,3241,6749,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
5559,585,3252,6790,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2341,4974,3230,6753,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2634,4681,3235,6786,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
51212292,3634846,3276,6854,3186,6656,-1,-1,57790,-1,-1,-1,[-1=2]
153270585,11474748,3244,6764,3158,6565,796,1709,175898,763,16,1,[1=781/16=2]
4973,8192,3222,6774,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292289089,11335487,3220,6786,3132,6581,775,1685,525686,675,18,1,[1=742/5=2/11=2/18=2]
375708852,10752694,3248,6801,3156,6590,774,1679,612306,617,31,1,[1=735/9=2/31=2]
