Large Problems (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
1000,2000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
19895,9070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5852,2633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2926,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1463,3804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4096,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
14043,11703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
7899,7022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4388,5266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
8192,877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3218,2048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5558,10240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
10825,6144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5559,5851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2633,6437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5266,6437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3804,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6436,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
8777,3803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2926,4973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2340,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6729,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
9363,3803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3218,1170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6729,2926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4096,2633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3218,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6729,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2340,2341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
7315,4973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5559,2340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4681,2633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4681,2340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
10240,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2633,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3803,3511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4096,2925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6437,6143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
15506,12288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
9070,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
5558,2634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6436,1463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
3511,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
7606,8777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
4389,3511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
6729,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
