Large Problem, C = V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,100,559738,198795,989606,180228,8,1
163,163,956224,49251,1806129,325531,4,1
226,226,1428602,299332,2400449,379309,12,1
289,289,1999942,191138,3073452,292833,35,1
352,352,2470431,158053,3896985,140261,10,1
415,415,2929467,97232,4712075,38479,19,1
478,478,3868898,502183,5949924,561542,12,1
541,541,4348707,0,6664079,0,16,1
604,604,5141914,544089,7642830,748707,8,1
667,667,6014289,0,8565175,0,3,1
730,730,6304148,586917,9677732,528093,7,1
793,793,7747842,1377939,11314276,1561859,14,1
856,856,10716221,2425651,15516359,4290482,23,1
919,919,9415154,1667436,13808624,1382617,38,1
982,982,9111396,235837,13614433,524017,6,1
1045,1045,10223734,0,15473840,0,1,1
1108,1108,0,0,0,0,-1,-1
1171,1171,17479967,644211,25029205,252594,4,1
1234,1234,13672702,692077,19514377,1132571,30,1
1297,1297,21330727,637176,29279756,1961595,3,1
1360,1360,14760635,2407614,21624536,2142274,5,1
1423,1423,19002483,0,26757542,0,10,1
1486,1486,0,0,0,0,-1,-1
1549,1549,20625203,708134,30352744,3361109,14,1
1612,1612,19111610,0,26835072,0,1,1
1675,1675,21231546,2466049,28974708,1513087,15,1
1738,1738,21507729,0,29501815,0,35,1
1801,1801,26935568,2954806,39991053,11847151,3,1
1864,1864,29307551,0,36090996,0,12,1
1927,1927,29467731,3385934,40713107,8022019,20,1
1990,1990,27735884,0,38250429,0,16,1
