Large Problem, C = V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,100,2895998,41694472,109800,1250424,19,0
163,163,17679638,331945220,309078,2839247,32,0
226,226,32828342,382920583,742697,4666457,28,0
289,289,81982128,1362647712,928478,6087195,28,0
352,352,56578713,527716356,1323351,8446897,39,0
415,415,44751506,410618931,1770518,10841127,29,0
478,478,71759006,623009181,1456645,10453703,19,0
541,541,126064156,915769745,2858444,14511923,45,0
604,604,123470060,887420467,2617603,15228122,58,0
667,667,131514467,1558428843,2273029,17261196,43,0
730,730,209422806,1797259453,2896824,20309744,67,0
793,793,260542497,2452469431,3728856,22522469,46,0
856,856,238839215,2163245347,4976111,29399804,104,0
919,919,538625555,2929570960,8128002,26340734,65,0
982,982,380172057,0,5962734,34244811,85,0
1045,1045,411633892,2463100781,7790923,32976650,90,0
1108,1108,410467656,0,3970662,32456160,88,0
1171,1171,570186647,2645132805,5262068,38127919,82,0
1234,1234,379366452,0,4311811,35501640,53,0
1297,1297,656552752,0,7816863,46378431,78,0
1360,1360,1035713833,0,10157389,45506294,101,0
1423,1423,917547573,0,9009967,59085989,50,0
1486,1486,994028377,2998207028,9565557,57399217,98,0
1549,1549,611074302,2571475852,7321757,51971998,63,0
1612,1612,782506439,0,8720154,60566128,135,0
1675,1675,1508909596,0,10585259,62712295,126,0
1738,1738,1456815452,2125930090,16251622,65627490,114,0
1801,1801,1744512257,0,14864862,86516656,177,0
1864,1864,1873866808,0,15114032,81979410,114,0
1927,1927,1511653349,0,11110158,79047206,118,0
1990,1990,1414749735,1459178219,12946619,90308454,132,0
