Large Problem, C = 2V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,200,1129316,33249637,96439,2804691,54,0
163,326,4385278,129242683,211905,6177723,75,0
226,452,4827,15234,2955,7474,-1,-1
289,578,6231,20121,3559,10134,-1,-1
352,704,5539,15397,3998,15293,-1,-1
415,830,11004915,324424013,1850843,54479563,215,0
478,956,5783,17321,4105,18226,-1,-1
541,1082,49123768,1056099481,6846357,140359476,288,0
604,1208,47360002,1396703044,331146,9607048,-1,-1
667,1334,21174974,624335142,356268,10352483,-1,-1
730,1460,6280,30876,5900,24530,-1,-1
793,1586,7460,26401,4729,17363,-1,-1
856,1712,7431,24909,8318,38750,-1,-1
919,1838,10054,46106,8513,56423,-1,-1
982,1964,8211,39183,7655,29350,-1,-1
1045,2090,8815,28137,6572,24245,-1,-1
1108,2216,8435,24069,7538,26521,-1,-1
1171,2342,8786,35624,7236,21605,-1,-1
1234,2468,130840940,0,19607198,578058775,640,0
1297,2594,10766,67868,8143,43718,-1,-1
1360,2720,11497,54798,7587,34734,-1,-1
1423,2846,9635,30886,8854,40184,-1,-1
1486,2972,123914556,0,2675832,78650169,-1,-1
1549,3098,259552357,1806662616,35587518,1049424496,857,0
1612,3224,13896,65144,10990,47201,-1,-1
1675,3350,13389,81567,10551,53610,-1,-1
1738,3476,17885,76553,11400,62929,-1,-1
1801,3602,11751,62890,12307,51311,-1,-1
1864,3728,16169,89197,9810,41391,-1,-1
1927,3854,15262,73722,13223,72683,-1,-1
1990,3980,12161,70495,10854,57988,-1,-1
