Large Problem (10-210V), C = 0.5 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,50,240977,53764,568777,89317,2,1
163,81,400723,64785,909342,126052,2,1
226,113,567509,90932,1294606,121620,2,1
289,144,755711,158504,1661154,126687,2,1
352,176,968598,224360,2091939,204017,4,1
415,207,1182098,249371,2494421,320932,2,1
478,239,1431363,399106,2930510,434749,1,1
541,270,1700436,523974,3367586,534926,3,1
604,302,1870918,385279,3731436,381317,1,1
667,333,2132573,647928,4361603,874110,2,1
730,365,2441653,779066,4862560,1243965,3,1
793,396,2601829,418213,5165425,596190,6,1
856,428,3059130,993912,6059482,1620281,4,1
919,459,3270919,578790,6393707,1422188,2,1
982,491,3638690,807012,6864381,1229284,2,1
1045,522,3797880,804366,7237357,1468801,2,1
1108,554,4184636,999453,7830701,1299968,4,1
1171,585,4463598,1173731,8349963,1878772,3,1
1234,617,4696985,1175744,9026541,2079079,3,1
1297,648,5281065,1834998,10173044,2840008,3,1
1360,680,5315974,1040881,10384792,2002136,2,1
1423,711,5820151,2725670,11422862,3582782,9,1
1486,743,5958885,1427253,11370148,1659172,4,1
1549,774,6612645,1870820,12935913,4527267,3,1
1612,806,6785355,1488132,13102416,1785219,2,1
1675,837,7044943,2139010,13593255,3722147,3,1
1738,869,7620405,2071154,14660632,3968606,3,1
1801,900,7860434,4147595,14879809,4614049,3,1
1864,932,8122878,3443193,15541994,5639904,2,1
1927,963,8534280,1932455,16321550,4576268,3,1
1990,995,8646123,2392118,16473723,3280412,2,1
