Large Problem (10-210V), C = 0.5 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,50,45055,375171,14953,120990,-1,-1
163,81,71412,737324,65800,681534,2,0
226,113,194556,1642180,122552,1031827,2,0
289,144,2848803,13675990,584965,1784014,3,0
352,176,1964,2255,1170,1371,-1,-1
415,207,3126560,20860148,570211,3041571,5,0
478,239,5951553,58200599,411223,3225008,3,0
541,270,5058876,37830264,321054,2387859,2,0
604,302,3305,4320,1901,2903,-1,-1
667,333,6591302,8194686,2629514,3038884,3,0
730,365,3412056,17600365,687531,3904613,5,0
793,396,1477878,14580213,435757,4548296,3,0
856,428,4488976,26681363,815577,5178804,4,0
919,459,7204,8254,3145,2542,-1,-1
982,491,14148257,99396597,1174983,7337915,4,0
1045,522,17603430,43099714,1980382,4845550,2,0
1108,554,2041820,19300414,245492,2295960,-1,-1
1171,585,17972766,105203723,2004636,9665184,6,0
1234,617,39578827,137088187,1804403,6238137,2,0
1297,648,17409416,112784204,1166755,7526049,2,0
1360,680,7570,19393,5156,13652,-1,-1
1423,711,28472858,184474970,419373,2683728,-1,-1
1486,743,2309147,24136307,801445,8360537,4,0
1549,774,8250,15704,8425,20637,-1,-1
1612,806,3662234,32689456,1566963,13200981,4,0
1675,837,15461039,53524491,840543,2885048,-1,-1
1738,869,7230,16763,5412,10747,-1,-1
1801,900,21379630,118905861,2944771,16854031,2,0
1864,932,40057319,141995405,5104532,15565959,4,0
1927,963,14593565,138348956,1209294,11423646,2,0
1990,995,59504929,505861074,3525771,19093956,3,0
