Large Problem (10-210V), C = 0.75 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,75,438389,123383,907729,144359,2,1
163,122,674677,211341,1386823,420092,7,1
226,169,911654,276293,1806752,213277,7,1
289,216,1277026,377822,2448807,347415,3,1
352,264,1683778,330690,3074727,254699,14,1
415,311,2058069,750211,3700042,548620,3,1
478,358,2385942,432120,4229883,424065,10,1
541,405,2688807,462188,4884981,607430,2,1
604,453,3159582,620385,5646734,671192,4,1
667,500,3648438,292581,6467338,1149722,8,1
730,547,4085557,871405,7283122,1173077,12,1
793,594,4392958,572692,7775922,1203053,9,1
856,642,4956530,970463,8406994,1035489,6,1
919,689,5428633,959148,9389710,989034,3,1
982,736,5969672,1902649,10466067,3149727,7,1
1045,783,6426221,803576,10931672,1228371,13,1
1108,831,6896289,1762464,12470506,3294373,5,1
1171,878,7476925,1279103,12845792,1179906,10,1
1234,925,8153489,1297386,13885068,1565520,13,1
1297,972,8781416,1822851,14783124,2492029,9,1
1360,1020,9329890,1276880,16141369,1620779,2,1
1423,1067,9777251,1443425,16749109,1444575,4,1
1486,1114,11019195,4846561,19148420,7600647,9,1
1549,1161,11083858,1946236,18512705,2278016,8,1
1612,1209,12076533,1970002,19915924,2280193,4,1
1675,1256,12374457,1888593,20577300,2468020,4,1
1738,1303,14686002,11170436,24626847,16281877,9,1
1801,1350,13963416,3389748,22706101,3887635,3,1
1864,1398,14639838,3564299,23825440,2726115,1,1
1927,1445,14853920,2606948,24742899,2896373,14,1
1990,1492,18622836,15054567,29530507,14587354,6,1
