Large Problem (10-210V), C = 0.75 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,75,7662424,103849807,189583,1306583,7,0
163,122,2137821,23822807,230074,1736228,4,0
226,169,2637688,16808589,467408,2520836,5,0
289,216,4364721,30251729,645047,4128444,17,0
352,264,18619733,291040494,414156,3929459,5,0
415,311,5033708,82957438,188275,3061990,7,0
478,358,23586615,190306468,1292320,6563646,7,0
541,405,50855199,626154611,1210412,7598295,21,0
604,453,40101514,306495506,1474225,8462284,22,0
667,500,9972178,87413552,1049349,8030490,6,0
730,547,32734258,260320669,1320028,10050773,13,0
793,594,39499499,346055376,1791655,10581018,10,0
856,642,36651107,361615891,2002004,14492012,13,0
919,689,87573474,1275480928,1369960,11377228,4,0
982,736,8916313,46612937,1531380,8188071,5,0
1045,783,77120416,676281803,2883404,17316885,13,0
1108,831,17436689,147151053,1893355,12668066,10,0
1171,878,13111755,155908320,1343855,13208439,8,0
1234,925,32536021,305038348,1863166,14996835,10,0
1297,972,82421548,555902114,4912077,20003898,19,0
1360,1020,59457015,869173180,2618469,22097368,5,0
1423,1067,33791824,355539536,2116102,19006212,4,0
1486,1114,108022613,740248389,6180727,31880662,6,0
1549,1161,170878806,2061540162,3610745,24992810,9,0
1612,1209,55977989,708142242,1736381,20761274,3,0
1675,1256,68605866,625506297,3881685,28804443,7,0
1738,1303,185884946,1867858019,5559123,36116515,6,0
1801,1350,42105928,403569406,3587839,27730148,6,0
1864,1398,38328575,520259745,1934741,24480058,4,0
1927,1445,34755869,219722026,2937425,19736938,6,0
1990,1492,181495329,1402043683,7696746,39773160,7,0
