Small Problems 1 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
20,15,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
61439,156230,48,85,48,84,16,29,68,16,1,1,[1=17]
69631,164715,51,87,50,84,18,31,68,18,2,1,[1=17/2=2]
76360,160034,49,96,48,90,13,23,62,13,1,1,[1=14]
76360,159156,55,103,53,97,14,25,75,14,1,1,[1=15]
82796,175832,52,107,52,105,15,28,85,15,1,1,[1=16]
82504,163545,50,94,47,82,14,25,89,15,2,1,[1=13/2=2]
78700,160619,55,108,51,98,13,23,69,13,1,1,[1=14]
82504,165007,51,99,51,98,15,29,94,15,1,1,[1=16]
82211,168225,54,100,53,95,16,27,81,16,1,1,[1=17]
74897,155646,52,95,49,88,13,23,92,16,4,1,[1=10/4=2]
71678,172907,51,90,50,87,19,32,78,19,1,1,[1=20]
68753,172907,58,100,58,100,18,32,71,18,1,1,[1=19]
85429,173200,51,96,51,92,15,26,80,15,1,1,[1=16]
70801,138676,51,97,48,90,12,21,78,12,1,1,[1=13]
72557,145990,48,100,46,95,12,22,76,14,3,1,[1=10/3=2]
77822,155352,50,92,47,83,14,24,71,14,1,1,[1=15]
78700,142188,52,99,48,90,12,22,100,12,1,1,[1=13]
73726,178173,57,99,56,96,17,28,66,17,1,1,[1=18]
75190,184609,59,103,59,103,19,33,82,19,2,1,[1=18/2=2]
70801,163252,52,88,51,85,17,29,69,17,1,1,[1=18]
58805,143358,48,84,46,80,14,26,64,14,1,1,[1=15]
62609,158571,49,81,47,76,16,28,60,17,2,1,[1=15/2=2]
74605,184609,54,92,54,89,19,32,76,19,2,1,[1=18/2=2]
72263,178758,57,97,57,96,18,31,74,18,1,1,[1=19]
77238,169396,53,103,52,100,16,29,86,16,1,1,[1=17]
78993,165008,55,104,54,101,15,28,84,15,1,1,[1=16]
79285,163837,57,106,54,99,14,25,76,17,4,1,[1=11/4=2]
75189,138091,49,98,45,89,11,20,94,11,1,1,[1=12]
74605,155645,49,99,49,99,14,28,89,14,1,1,[1=15]
64364,175832,53,91,53,91,18,32,64,19,4,1,[1=12/3=2/4=2]
80749,169688,56,109,56,108,16,29,78,16,1,1,[1=17]
63194,156523,46,84,45,81,15,27,65,17,3,1,[1=13/3=2]
73434,161789,53,102,52,100,15,28,76,15,1,1,[1=16]
76945,156816,48,96,47,92,14,26,76,14,1,1,[1=15]
78408,172906,55,101,53,95,16,27,76,16,1,1,[1=17]
69630,160033,51,91,49,87,16,28,90,16,1,1,[1=17]
55002,136628,41,74,40,72,14,27,64,14,1,1,[1=15]
73727,150964,49,94,48,91,13,25,103,18,4,1,[1=10/4=2]
67583,170273,54,90,53,87,18,31,63,18,1,1,[1=19]
76652,165300,53,97,51,91,14,25,66,15,2,1,[1=13/2=2]
69923,156231,51,94,48,87,15,26,78,15,1,1,[1=16]
78700,165593,54,107,52,101,14,24,71,14,1,1,[1=15]
67290,171737,54,92,53,90,19,31,69,19,1,1,[1=20]
76945,174955,53,96,53,94,17,31,63,17,1,1,[1=18]
73434,170274,53,91,51,86,17,29,72,18,2,1,[1=16/2=2]
60562,162959,49,80,49,80,18,32,60,18,1,1,[1=19]
79870,170858,51,96,51,94,16,28,79,16,1,1,[1=17]
67290,165885,51,83,51,83,18,32,77,18,1,1,[1=19]
74312,173492,55,98,53,92,17,29,69,17,1,1,[1=18]
79578,169981,56,107,55,104,15,27,79,15,1,1,[1=16]
69630,170859,56,103,56,103,16,30,68,16,1,1,[1=17]
76067,161790,49,100,48,95,14,26,72,14,1,1,[1=15]
64364,142187,50,89,46,81,13,23,69,13,1,1,[1=14]
77530,169396,58,103,55,96,15,26,85,15,1,1,[1=16]
79870,174077,59,110,57,105,15,27,78,15,1,1,[1=16]
78992,167055,54,95,52,90,16,28,83,16,1,1,[1=17]
70509,163544,53,94,51,89,15,27,66,15,3,1,[1=13/3=2]
88062,168810,57,110,54,101,14,23,96,14,1,1,[1=15]
64950,167641,48,89,48,88,17,29,63,18,3,1,[1=15/3=2]
81918,162960,55,103,54,101,15,28,95,15,1,1,[1=16]
82796,160912,48,93,47,86,14,24,80,14,1,1,[1=15]
65827,165008,54,97,54,97,16,30,68,16,1,1,[1=17]
61439,160326,49,89,49,89,17,31,58,17,1,1,[1=18]
76653,161204,51,92,50,88,15,26,69,15,1,1,[1=16]
82796,182269,57,99,57,97,18,30,87,18,1,1,[1=19]
68753,178465,58,97,58,97,18,32,67,19,2,1,[1=17/2=2]
57343,141310,49,88,46,82,14,25,67,14,1,1,[1=15]
66705,164129,49,88,49,87,17,31,65,17,1,1,[1=18]
81626,191631,61,105,60,100,19,31,73,19,1,1,[1=20]
75189,158278,57,103,55,99,15,27,85,15,1,1,[1=16]
