Small Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,15,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
292,585,49,91,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
533934,152427,57,106,57,105,17,29,1654,18,2,1,[1=16/2=2]
292,292,52,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
224106,125511,48,87,47,85,14,27,647,30,6,1,[1=9/6=2]
293,0,52,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,54,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,54,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,52,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,51,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,50,90,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,52,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,49,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,55,108,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,49,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,56,99,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,46,90,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,56,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,51,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,50,84,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,49,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,53,101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,57,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
561142,130778,52,91,51,88,15,28,1752,11,2,1,[1=14/2=2]
292,292,52,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,52,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
198653,134288,54,119,51,111,12,22,496,33,4,1,[1=9/4=2]
292,585,52,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,52,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,57,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,53,102,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,54,89,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,47,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,56,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,51,109,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,47,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,56,101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,53,110,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,42,85,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,53,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,50,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,49,101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,50,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,51,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,49,88,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,52,104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,54,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,48,87,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,55,110,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,53,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,54,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
502045,123756,46,81,44,77,14,26,1616,22,5,1,[1=10/5=2]
585,292,47,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,54,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,50,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,54,100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
472788,35401,54,107,51,100,-1,-1,1449,-1,-1,-1,[-1=2]
585,292,54,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,50,89,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,51,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,51,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,52,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,52,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,46,80,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,53,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
575770,140724,52,104,50,99,14,26,1750,17,3,1,[1=12/3=2]
293,585,51,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,55,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,50,101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,47,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,59,108,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,292,51,107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,52,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,61,105,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,53,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
313631,152135,54,98,53,95,17,29,890,23,2,1,[1=16/2=2]
292,585,53,103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,0,47,96,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,46,83,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,50,90,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,0,52,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,49,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,52,95,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
805728,129022,48,93,47,90,12,24,2662,51,7,2,[1=6/7=2]
585,292,56,97,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
388820,34230,47,91,45,86,-1,-1,1259,-1,-1,-1,[-1=2]
585,292,55,98,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,45,92,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
159156,137506,53,96,52,94,16,29,397,28,3,1,[1=14/3=2]
585,292,48,87,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,54,93,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
257751,41544,52,111,49,101,-1,-1,720,-1,-1,-1,[-1=2]
124633,142480,57,107,57,107,16,30,285,13,2,1,[1=15/2=2]
