Small Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,15,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
292,585,49,91,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
533934,152427,57,106,57,105,17,29,1654,18,2,1,[1=16/2=2]
224106,125511,48,87,47,85,14,27,647,30,6,1,[1=9/6=2]
561142,130778,52,91,51,88,15,28,1752,11,2,1,[1=14/2=2]
198653,134288,54,119,51,111,12,22,496,33,4,1,[1=9/4=2]
502045,123756,46,81,44,77,14,26,1616,22,5,1,[1=10/5=2]
472788,35401,54,107,51,100,-1,-1,1449,-1,-1,-1,[-1=2]
575770,140724,52,104,50,99,14,26,1750,17,3,1,[1=12/3=2]
313631,152135,54,98,53,95,17,29,890,23,2,1,[1=16/2=2]
805728,129022,48,93,47,90,12,24,2662,51,7,2,[1=6/7=2]
388820,34230,47,91,45,86,-1,-1,1259,-1,-1,-1,[-1=2]
159156,137506,53,96,52,94,16,29,397,28,3,1,[1=14/3=2]
257751,41544,52,111,49,101,-1,-1,720,-1,-1,-1,[-1=2]
124633,142480,57,107,57,107,16,30,285,13,2,1,[1=15/2=2]
314216,131655,55,106,52,99,14,25,941,21,2,1,[1=13/2=2]
121122,148917,56,101,56,101,17,31,265,23,2,1,[1=16/2=2]
125511,128437,51,97,48,87,12,22,297,20,2,1,[1=11/2=2]
850784,138677,53,109,52,106,14,26,2606,21,2,1,[1=13/2=2]
272087,112638,47,97,45,91,12,22,777,15,2,1,[1=11/2=2]
155937,125219,46,90,43,80,13,22,376,17,2,1,[1=12/2=2]
229664,135166,58,112,55,105,13,23,604,13,2,1,[1=12/2=2]
274720,135165,53,98,51,93,15,27,764,27,3,1,[1=13/3=2]
417200,138969,49,96,48,93,15,28,1217,35,4,1,[1=12/4=2]
435631,132825,55,101,50,90,13,22,1173,21,4,1,[1=10/4=2]
291396,126973,54,111,52,107,13,25,804,10,3,1,[1=9/2=2/3=2]
2191908,148917,57,110,55,102,15,26,7497,12,2,1,[1=14/2=2]
211818,128729,52,99,50,94,14,26,579,14,2,1,[1=13/2=2]
269454,32475,53,90,52,88,-1,-1,756,-1,-1,-1,[-1=2]
337915,149794,55,107,53,101,15,27,945,36,5,1,[1=11/5=2]
128437,133995,50,87,49,85,17,29,330,23,2,1,[1=16/2=2]
1787581,135750,55,106,54,104,14,27,5427,20,3,1,[1=12/3=2]
289934,131947,49,84,47,78,16,26,949,24,3,1,[1=14/3=2]
258921,154768,59,108,57,101,17,28,707,20,2,1,[1=16/2=2]
479224,152720,59,106,56,98,17,28,1387,17,2,1,[1=16/2=2]
300758,151549,54,102,54,100,16,29,869,37,4,1,[1=13/4=2]
136628,142187,54,112,52,106,13,23,333,46,5,1,[1=9/5=2]
427147,136629,57,110,54,101,14,25,1305,16,3,1,[1=10/2=2/3=2]
595080,137506,50,91,49,88,16,29,1868,29,4,1,[1=13/4=2]
273549,145113,55,98,55,98,17,31,751,37,6,1,[1=12/6=2]
126974,141310,48,86,48,84,16,30,294,22,3,1,[1=14/3=2]
160619,143943,52,94,52,93,17,31,422,21,3,1,[1=15/3=2]
174370,125218,54,106,51,99,12,22,435,37,4,1,[1=9/4=2]
409008,31597,53,105,50,99,-1,-1,1258,-1,-1,-1,[-1=2]
389113,155938,61,103,61,103,19,33,1029,31,3,1,[1=17/3=2]
117905,45055,50,93,47,82,-1,-1,251,-1,-1,-1,[-1=2]
666173,133703,53,105,51,100,14,26,2084,13,2,1,[1=13/2=2]
265943,131070,53,105,52,103,14,27,758,28,3,1,[1=12/3=2]
117904,136921,51,94,50,92,16,29,299,37,4,1,[1=13/4=2]
165008,149209,59,106,57,100,16,27,401,19,3,1,[1=14/3=2]
905786,127852,51,92,48,85,14,25,3081,11,2,1,[1=11/2=3]
185195,142772,56,101,54,95,15,27,496,25,3,1,[1=13/3=2]
320946,36863,44,87,42,81,-1,-1,979,-1,-1,-1,[-1=2]
753065,38911,50,90,47,83,-1,-1,2404,-1,-1,-1,[-1=2]
169396,33645,56,105,55,103,-1,-1,431,-1,-1,-1,[-1=2]
703915,142187,56,111,56,111,16,30,2179,14,2,1,[1=15/2=2]
245463,34230,51,94,50,92,-1,-1,599,-1,-1,-1,[-1=2]
287885,121415,45,79,44,77,14,27,897,18,4,1,[1=11/4=2]
146576,152720,56,97,56,95,18,31,337,20,2,1,[1=17/2=2]
311875,142479,50,88,50,86,16,29,893,21,4,1,[1=13/4=2]
466643,137506,53,102,53,102,16,30,1386,13,3,1,[1=14/3=2]
164422,122878,52,105,49,98,12,22,442,20,2,1,[1=11/2=2]
1137206,45055,52,104,50,98,-1,-1,3583,-1,-1,-1,[-1=2]
218547,39204,48,95,46,87,-1,-1,642,-1,-1,-1,[-1=2]
397891,141309,52,104,52,102,14,25,1146,16,3,1,[1=12/3=2]
273549,119367,48,90,45,83,13,24,823,17,2,1,[1=12/2=2]
276475,132826,53,95,50,89,14,25,777,21,2,1,[1=13/2=2]
