Small Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
20,20,10
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
585,292,66,127,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,67,134,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,66,139,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,67,141,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,62,116,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,64,134,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,67,133,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,69,142,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,65,131,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,66,152,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,292,68,134,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,62,127,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,64,125,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,64,128,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,69,132,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,0,68,147,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,70,136,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,66,129,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,293,69,144,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,62,131,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,62,132,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,68,139,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,65,129,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,62,138,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,66,141,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,68,138,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
