Small Problem, C = V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,10,50906,17738,107810,27393,4,1
16,16,83761,21467,162315,28870,3,1
22,22,104868,19459,217312,32364,4,1
28,28,141075,37564,277411,33231,4,1
34,34,174257,51579,334358,52039,9,1
40,40,204663,34794,394166,55272,4,1
46,46,231508,54021,453360,47401,9,1
52,52,254955,64170,507375,56228,10,1
58,58,292712,74223,556607,74270,4,1
64,64,321154,42220,605988,66631,6,1
70,70,385261,70966,702939,103611,13,1
76,76,408289,69995,730378,76549,5,1
82,82,411933,30675,787077,29127,9,1
88,88,493998,105923,873847,110880,9,1
94,94,513234,69385,927435,62272,9,1
100,100,539151,53462,965274,63850,3,1
106,106,546643,104102,1014653,76526,7,1
112,112,605856,104597,1064844,33476,1,1
118,118,661419,45150,1189429,98924,4,1
124,124,707279,82632,1237995,110052,5,1
130,130,721029,116649,1268100,159669,12,1
136,136,774130,31968,1371551,104787,10,1
142,142,855683,175924,1434380,63919,12,1
148,148,831473,46855,1447326,40494,8,1
154,154,840104,7240,1483312,50477,2,1
160,160,993263,148551,1746719,305040,7,1
166,166,939089,88796,1667531,139371,11,1
172,172,1040074,116263,1736528,27100,19,1
178,178,1082663,243711,1816252,217782,12,1
184,184,1082671,89454,1818592,83412,5,1
190,190,1212834,7654,1996473,57511,3,1
196,196,1127295,103491,1966448,82942,6,1
202,202,1275589,143601,2125593,102945,7,1
208,208,1217296,170803,2076856,74709,13,1
