Small Problem, C = V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,10,39431,354732,19926,154885,5,0
16,16,103246,1280309,18431,192394,3,0
22,22,169200,2072330,27473,279951,6,0
28,28,129914,1627650,34581,363710,7,0
34,34,448469,3019029,82090,485030,8,0
40,40,867859,15091355,35215,439891,4,0
46,46,695854,5597198,104446,751007,11,0
52,52,903459,7413333,127168,871235,10,0
58,58,1379304,8336064,188168,942725,12,0
64,64,1553476,14293932,159728,1155861,10,0
70,70,78517,1825020,23612,539230,5,0
76,76,4174091,28816782,264926,1355181,15,0
82,82,3122178,30638712,236742,1597175,12,0
88,88,2824412,25714378,210525,1606531,19,0
94,94,1702747,16662497,215216,1807609,9,0
100,100,9921025,134440577,274427,1899537,13,0
106,106,10124930,124692665,387929,1940856,21,0
112,112,4770966,62192921,230432,1952022,25,0
118,118,3155396,31893277,250515,2039679,15,0
124,124,3594105,29194380,384420,2432758,20,0
130,130,6442561,51668789,328435,2237666,9,0
136,136,11386427,178908293,487955,2874233,20,0
142,142,9003113,78654716,508750,3026996,11,0
148,148,4407415,67219655,278501,2538045,14,0
154,154,6403673,58147029,429894,3129735,28,0
160,160,5541902,54517719,366423,3052979,26,0
166,166,8406604,78034745,513527,3247488,15,0
172,172,15387542,129748977,592196,3765722,30,0
178,178,5065190,45736029,428686,3270343,28,0
184,184,16419472,302745182,387697,3439883,17,0
190,190,10225865,88579720,618088,4175337,34,0
196,196,7443236,92709602,238707,2530017,8,0
202,202,14319794,175575530,545387,3919092,10,0
208,208,18481928,191216813,886014,4520758,22,0
