Small Problem, C = 3V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,30,0,0,0,0,-1,-1
16,48,0,0,0,0,-1,-1
22,66,0,0,0,0,-1,-1
28,84,0,0,0,0,-1,-1
34,102,0,0,0,0,-1,-1
40,120,0,0,0,0,-1,-1
46,138,0,0,0,0,-1,-1
52,156,0,0,0,0,-1,-1
58,174,0,0,0,0,-1,-1
64,192,0,0,0,0,-1,-1
70,210,0,0,0,0,-1,-1
76,228,0,0,0,0,-1,-1
82,246,0,0,0,0,-1,-1
88,264,0,0,0,0,-1,-1
94,282,0,0,0,0,-1,-1
100,300,0,0,0,0,-1,-1
106,318,0,0,0,0,-1,-1
112,336,0,0,0,0,-1,-1
118,354,0,0,0,0,-1,-1
124,372,0,0,0,0,-1,-1
130,390,0,0,0,0,-1,-1
136,408,0,0,0,0,-1,-1
142,426,0,0,0,0,-1,-1
148,444,0,0,0,0,-1,-1
154,462,0,0,0,0,-1,-1
160,480,0,0,0,0,-1,-1
166,498,0,0,0,0,-1,-1
172,516,0,0,0,0,-1,-1
178,534,0,0,0,0,-1,-1
184,552,0,0,0,0,-1,-1
190,570,0,0,0,0,-1,-1
196,588,0,0,0,0,-1,-1
202,606,0,0,0,0,-1,-1
208,624,0,0,0,0,-1,-1
