Small Problem, C = 3V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,30,116178,2386129,11887,259962,5,0
16,48,604,1303,458,986,-1,-1
22,66,550922,11296883,29909,655077,16,0
28,84,663,1236,526,1334,-1,-1
34,102,721,1222,585,1432,-1,-1
40,120,633,1101,575,1917,-1,-1
46,138,780,1510,594,1826,-1,-1
52,156,809,1788,584,1432,-1,-1
58,174,799,1428,701,2009,-1,-1
64,192,965,2271,653,1970,-1,-1
70,210,1121,3042,780,2458,-1,-1
76,228,1024,2829,789,2234,-1,-1
82,246,1140,2424,848,2562,-1,-1
88,264,1287,3350,838,2099,-1,-1
94,282,1316,2294,955,3606,-1,-1
100,300,1179,2283,741,2015,-1,-1
106,318,1482,4052,1053,3167,-1,-1
112,336,1579,4107,1053,2942,-1,-1
118,354,1482,4197,1024,2828,-1,-1
124,372,1570,4147,1121,2652,-1,-1
130,390,1638,4600,1101,3302,-1,-1
136,408,1521,3447,1160,3734,-1,-1
142,426,1852,5223,1170,4319,-1,-1
148,444,1706,4400,1228,3732,-1,-1
154,462,2135,5506,1316,3601,-1,-1
160,480,1794,3303,1501,5773,-1,-1
166,498,2106,5664,1423,3455,-1,-1
172,516,2759,7759,1569,5041,-1,-1
178,534,2233,6929,1540,4416,-1,-1
184,552,2525,6157,1599,5079,-1,-1
190,570,2282,5463,1570,4000,-1,-1
196,588,2486,7693,1511,4400,-1,-1
202,606,2603,6251,1843,5537,-1,-1
208,624,2525,5680,1784,4205,-1,-1
