Small Problem (10-210V), C = 0.5 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,5,26291,9447,66612,18821,2,1
16,8,40786,15785,98129,25156,2,1
22,11,54803,19173,135963,40997,1,1
28,14,71500,22552,168762,48598,2,1
34,17,86879,29043,205271,64561,2,1
40,20,101451,29923,241556,68392,3,1
46,23,112582,48998,260593,63689,3,1
52,26,127178,42269,298154,64855,5,1
58,29,146754,30219,344919,66397,2,1
64,32,154519,33243,363528,59315,2,1
70,35,168699,25567,389726,73452,6,1
76,38,184932,35317,432059,87448,3,1
82,41,194960,44726,455414,111077,2,1
88,44,208584,43956,492712,111178,3,1
94,47,226785,44492,529437,64616,2,1
100,50,238880,34821,558535,75587,2,1
106,53,254727,44780,594462,97362,2,1
112,56,274232,81753,638513,120997,3,1
118,59,282856,46376,648638,85601,3,1
124,62,296906,54299,686458,70283,3,1
130,65,320374,80325,729827,91969,1,1
136,68,329383,72957,757947,118875,1,1
142,71,350163,72332,798757,131266,4,1
148,74,363151,93423,834959,139389,2,1
154,77,370542,61292,836127,103798,3,1
160,80,389215,66197,891918,137033,2,1
166,83,417678,128953,1015737,258784,6,1
172,86,439658,90196,1087693,211369,1,1
178,89,452841,104361,1108138,133710,2,1
184,92,494766,267415,1195243,502159,3,1
190,95,478917,119412,1099241,233376,3,1
196,98,485473,102467,1110886,130854,2,1
202,101,497193,91226,1134218,170702,1,1
208,104,525495,108726,1185648,151767,2,1
