Small Problem (10-210V), C = 0.5 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,5,17407,64587,16493,69308,2,0
16,8,1426,7243,1682,9780,-1,-1
22,11,36899,272067,16273,119281,2,0
28,14,110882,1156031,24258,185223,2,0
34,17,50516,273165,7850,40438,-1,-1
40,20,81760,825520,21964,199694,2,0
46,23,67582,392802,46810,260436,2,0
52,26,32913,305771,25453,236537,4,0
58,29,31767,356735,25038,281258,2,0
64,32,245960,1579796,36658,273194,3,0
70,35,747,729,520,689,-1,-1
76,38,637422,4710084,165273,545525,3,0
82,41,243772,1605078,82666,460132,2,0
88,44,102265,822885,76040,530437,3,0
94,47,203041,1118474,88567,534555,3,0
100,50,320616,1802694,114905,560975,2,0
106,53,95035,1080872,39472,447389,7,0
112,56,304561,1118151,53588,184102,-1,-1
118,59,204692,2092823,48440,513131,2,0
124,62,804,1180,731,1275,-1,-1
130,65,490861,2846163,132695,741469,4,0
136,68,855703,6110468,74444,609865,4,0
142,71,635370,2965259,120663,607778,3,0
148,74,1002,699,710,699,-1,-1
154,77,227161,1300380,150119,841162,3,0
160,80,827495,5417774,147599,926799,2,0
166,83,234638,1745238,103203,763855,5,0
172,86,665476,8296264,71948,885852,4,0
178,89,1282,1733,1012,2174,-1,-1
184,92,2211314,7964114,480442,1176235,4,0
190,95,175507,1479920,28736,235152,-1,-1
196,98,700228,3127592,179401,799038,3,0
202,101,181391,1889866,27049,276637,-1,-1
208,104,600505,4369447,179556,1257007,2,0
