Small Problem (10-210V), C = 0.75 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,7,58646,493855,9840,73448,3,0
16,12,71532,370206,24721,118488,4,0
22,16,36483,415589,12477,148193,4,0
28,21,56328,568900,23541,227650,4,0
34,25,52092,550364,18970,232505,2,0
40,30,406023,2636082,89739,489926,3,0
46,34,74523,947431,31580,372654,6,0
52,39,1140468,8961327,54889,401077,2,0
58,43,3979509,32878008,91552,591311,5,0
64,48,167329,1573206,77804,642596,5,0
70,52,1219554,20103458,25177,404992,2,0
76,57,1317677,16559634,73225,664871,3,0
82,61,1222686,10704169,155077,989034,8,0
88,66,435558,5799114,68515,718686,5,0
94,70,1398811,11413069,148950,1017489,12,0
100,75,2796219,30366593,94726,871456,2,0
106,79,277151,3168874,53941,665509,3,0
112,84,970643,13291266,51445,709720,4,0
118,88,1478063,17380718,185450,1283227,3,0
124,93,1357759,13065250,216331,1275263,4,0
130,97,766348,6410066,132239,1137831,3,0
136,102,5006792,49322720,268644,1715287,5,0
142,106,5500337,57307901,257546,1850304,5,0
148,111,7762462,51041034,372864,1556923,5,0
154,115,337150,4193661,65404,895293,3,0
160,120,1419605,15141351,207393,1563961,7,0
166,124,1188,2498,950,1730,-1,-1
172,129,1651469,12448933,202635,1438072,10,0
178,133,927386,8157584,255573,2022464,4,0
184,138,1936290,11471671,439968,2293625,9,0
190,142,1191793,11085303,203796,1571545,2,0
196,147,146334,2392005,80352,1312240,2,0
202,151,3445972,18470422,499306,2303855,5,0
208,156,4743275,31838869,583670,2517123,7,0
