Standard Problems 1 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,70,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
1463,292,251,472,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2013150,143650,267,494,259,477,-1,-1,5461,-1,-1,-1,[-1=2]
1910459,607953,249,481,241,463,65,125,4290,76,4,1,[1=62/4=2]
1706540,615560,255,463,247,445,72,133,4560,83,6,1,[1=67/6=2]
1450252,613805,251,459,249,455,77,144,3862,76,4,1,[1=74/4=2]
1641883,595372,252,483,243,464,69,127,4280,63,3,1,[1=67/3=2]
2203903,652130,254,482,247,465,69,131,5275,143,12,1,[1=58/12=2]
1815375,163837,245,453,239,439,-1,-1,3583,-1,-1,-1,[-1=2]
1562305,634869,258,464,249,442,73,133,3606,72,4,1,[1=70/4=2]
1843168,148331,242,444,235,426,-1,-1,4348,-1,-1,-1,[-1=2]
3522207,623459,243,443,238,431,74,138,7409,80,3,1,[1=72/3=2]
4370065,609123,258,481,250,462,69,129,11815,66,6,1,[1=64/6=2]
1440305,165008,230,445,221,426,-1,-1,3567,-1,-1,-1,[-1=2]
8235746,678754,250,472,240,445,66,125,20640,78,4,1,[1=63/4=2]
593033,557924,232,428,226,415,69,132,1004,24,3,1,[1=65/2=2/3=2]
1374185,604150,246,476,239,459,69,130,3521,38,4,1,[1=66/4=2]
1309820,618486,249,457,242,439,73,134,2786,28,2,1,[1=72/2=2]
6346059,633992,247,452,240,437,71,133,18099,66,2,1,[1=70/2=2]
1413096,606783,252,476,243,455,64,124,3503,58,3,1,[1=62/3=2]
1707125,597713,251,470,241,447,68,126,3574,70,4,1,[1=65/4=2]
2927127,638088,254,468,249,456,74,137,8041,156,9,1,[1=66/9=2]
2798690,588644,236,445,228,428,67,128,7667,59,4,1,[1=61/3=2/4=2]
13181288,259506,251,517,240,487,-1,-1,33866,-1,-1,-1,[-1=2]
749556,651838,258,468,252,452,73,135,1567,89,4,1,[1=70/4=2]
1387935,607367,249,464,245,454,72,136,3288,25,3,1,[1=70/3=2]
4117873,606197,241,457,237,449,71,136,11233,129,9,1,[1=63/9=2]
8809760,601224,249,467,244,455,71,133,22910,39,2,1,[1=70/2=2]
2659136,192509,249,466,240,442,-1,-1,7204,-1,-1,-1,[-1=2]
863071,172614,249,453,243,438,-1,-1,1742,-1,-1,-1,[-1=2]
4317695,600639,247,481,241,468,64,127,10526,66,5,1,[1=60/5=2]
1609408,598884,250,485,243,468,65,127,3104,72,2,1,[1=64/2=2]
3999676,221765,266,495,257,474,-1,-1,12802,-1,-1,-1,[-1=2]
1308650,187828,258,495,247,471,-1,-1,2996,-1,-1,-1,[-1=2]
2579851,571382,243,458,235,442,66,127,6947,68,5,1,[1=58/4=2/5=2]
1012865,633699,250,469,243,452,72,133,2495,71,2,1,[1=69/2=3]
4622842,604149,250,472,240,450,68,126,12531,67,2,1,[1=65/2=3]
2585117,623459,239,432,234,419,70,133,7033,48,5,1,[1=66/5=2]
1359264,188706,245,466,235,441,-1,-1,3315,-1,-1,-1,[-1=2]
2885291,604442,252,464,244,446,71,132,7771,65,2,1,[1=70/2=2]
1049435,596250,241,451,234,434,69,131,2626,44,3,1,[1=65/2=2/3=2]
4347245,626092,252,475,242,454,68,127,11762,80,4,1,[1=65/4=2]
2215898,165008,254,479,242,452,-1,-1,4218,-1,-1,-1,[-1=2]
1661192,616145,246,481,243,475,69,135,4408,76,6,1,[1=64/6=2]
1234631,623751,253,484,249,474,69,134,2948,85,3,1,[1=67/3=2]
10972119,621996,242,457,240,452,74,140,32483,78,3,1,[1=72/3=2]
920122,601809,247,472,239,455,68,129,2196,77,3,1,[1=66/3=2]
3441752,642768,258,479,249,457,71,131,7150,69,2,1,[1=70/2=2]
1011988,590107,241,474,237,463,66,130,2243,28,3,1,[1=64/3=2]
605320,602687,245,448,238,431,71,133,1259,45,3,1,[1=69/3=2]
4285221,603857,253,471,244,450,68,128,12018,46,2,1,[1=67/2=2]
