Standard Problems 2 (problems with solution only)
VariableCount,ConstraintCount,MaxSummand
100,100,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
512284,897887,312,679,301,654,73,161,573,73,1,1,[1=74]
517843,973661,337,701,326,677,78,166,618,78,1,1,[1=79]
499996,940893,315,638,306,618,81,170,598,83,3,1,[1=79/3=2]
757162,1022519,339,706,326,675,77,163,1087,84,8,1,[1=70/8=2]
492097,897009,311,660,302,639,71,160,577,71,1,1,[1=72]
562898,987120,322,713,307,672,70,152,591,71,2,1,[1=69/2=2]
478346,991215,343,682,338,671,90,183,537,90,1,1,[1=91]
511406,941186,335,685,320,653,76,160,572,76,1,1,[1=77]
565824,1013743,332,680,324,656,80,169,678,80,1,1,[1=81]
551195,952889,317,667,308,646,78,166,634,79,2,1,[1=77/2=2]
495608,971320,335,679,323,651,79,165,562,79,1,1,[1=80]
509358,960788,328,660,316,629,80,165,524,80,1,1,[1=81]
537152,980976,330,696,321,675,78,168,651,79,2,1,[1=77/2=2]
489171,943527,323,657,313,636,80,168,619,80,2,1,[1=79/2=2]
542711,979220,326,672,318,655,82,172,649,87,7,1,[1=76/7=2]
526035,948208,320,657,306,624,76,159,591,76,1,1,[1=77]
542125,993556,332,678,323,655,78,167,584,82,4,1,[1=70/2=2/3=2/4=2]
502629,935627,323,656,310,628,78,164,578,90,6,1,[1=71/2=2/6=2]
510529,972198,329,680,314,642,76,158,508,76,1,1,[1=77]
441483,953766,321,636,317,628,88,183,507,88,1,1,[1=89]
497948,956985,329,681,319,659,79,166,585,79,1,1,[1=80]
522524,953182,327,702,316,677,73,159,563,73,1,1,[1=74]
600347,972783,328,692,314,659,74,156,754,77,4,1,[1=71/4=2]
498826,986534,330,682,320,659,80,166,496,80,2,1,[1=79/2=2]
576064,958740,325,683,315,660,75,164,718,77,3,1,[1=73/3=2]
525449,995019,316,660,309,641,82,173,601,82,2,1,[1=81/2=2]
544467,978049,331,670,322,646,83,173,625,83,1,1,[1=84]
499119,994726,318,689,313,676,79,173,545,87,8,1,[1=67/5=2/8=2]
500289,944697,326,672,314,645,75,161,551,75,1,1,[1=76]
553828,981268,331,691,320,666,79,167,721,80,2,1,[1=78/2=2]
469277,961959,320,670,311,649,79,169,474,79,1,1,[1=80]
553829,1009354,342,692,338,681,89,183,660,89,1,1,[1=90]
545051,988874,335,670,321,636,78,161,646,78,1,1,[1=79]
544174,997359,329,703,319,676,81,168,578,81,1,1,[1=82]
473080,940601,323,649,317,636,82,175,546,82,1,1,[1=83]
520475,973076,327,672,315,643,79,165,584,81,4,1,[1=76/4=2]
529545,978927,330,706,327,698,82,176,603,84,5,1,[1=78/5=2]
550610,956107,308,638,296,608,73,159,603,77,5,1,[1=69/5=2]
541540,988290,343,745,333,721,82,171,588,85,3,1,[1=80/3=2]
525742,966347,322,695,308,661,69,152,536,75,7,1,[1=58/5=2/7=2]
567287,952304,314,677,303,648,72,156,611,73,2,1,[1=71/2=2]
508773,954059,320,664,307,631,74,160,508,78,5,1,[1=70/5=2]
568164,983608,333,688,322,659,76,162,613,93,10,1,[1=64/3=2/10=2]
581914,942942,330,696,318,670,72,158,736,72,1,1,[1=73]
507018,937383,315,644,301,609,75,160,567,75,1,1,[1=76]
527789,954644,337,693,324,662,80,164,552,80,1,1,[1=81]
525742,995311,333,676,327,661,82,175,572,83,2,1,[1=81/2=2]
522816,999992,336,720,329,702,79,169,567,81,3,1,[1=77/3=2]
554706,977757,332,712,320,685,76,161,660,76,1,1,[1=77]
552365,985656,328,675,323,662,84,175,664,84,1,1,[1=85]
585425,999992,335,691,325,665,81,167,692,81,1,1,[1=82]
497948,950256,315,635,302,605,76,162,542,76,1,1,[1=77]
559387,952012,317,666,309,648,79,169,690,87,8,1,[1=72/8=2]
507310,973661,324,674,316,653,81,170,572,82,2,1,[1=80/2=2]
502922,944112,327,680,313,649,77,161,561,77,1,1,[1=78]
538908,1030126,330,663,321,640,84,171,628,87,3,1,[1=78/2=3/3=2]
487708,962836,331,667,324,652,85,177,594,90,7,1,[1=79/7=2]
522816,1001162,331,705,325,689,84,175,568,84,1,1,[1=85]
487123,942942,331,672,320,649,77,165,535,79,3,1,[1=75/3=2]
564361,986534,321,678,312,653,80,166,653,80,1,1,[1=81]
488001,978342,324,644,318,629,84,176,515,84,1,1,[1=85]
481272,958156,319,685,315,676,83,175,586,83,1,1,[1=84]
480687,922755,315,641,306,619,78,168,579,78,1,1,[1=79]
541541,994141,332,691,325,673,80,172,702,82,3,1,[1=78/3=2]
479224,980682,332,659,324,640,85,176,527,85,2,1,[1=84/2=2]
603272,1011695,339,709,328,683,81,169,689,89,4,1,[1=73/2=2/3=2/4=2]
535104,953766,317,662,309,644,80,170,642,81,2,1,[1=79/2=2]
509066,949379,316,667,307,646,75,164,572,75,1,1,[1=76]
526327,980391,313,685,307,668,75,165,526,75,2,1,[1=74/2=2]
537152,1009939,339,712,329,687,78,167,552,78,3,1,[1=76/3=2]
504969,995604,336,685,325,659,81,169,524,82,3,1,[1=77/2=2/3=2]
562898,933872,318,673,306,643,75,161,665,75,1,1,[1=76]
470154,981853,324,650,319,637,87,180,471,87,1,1,[1=88]
456989,939138,321,674,316,662,82,174,502,82,1,1,[1=83]
566994,1000285,349,729,334,694,81,165,603,81,2,1,[1=80/2=2]
551780,1017254,340,680,328,649,82,169,577,82,1,1,[1=83]
560264,941772,323,684,310,654,71,154,717,76,4,1,[1=68/4=2]
464303,966932,330,691,323,676,80,171,504,82,3,1,[1=76/2=2/3=2]
519306,987704,324,659,319,642,84,177,594,84,1,1,[1=85]
561728,974831,337,725,326,698,76,164,663,78,7,1,[1=70/7=2]
463133,974539,337,693,330,679,82,173,520,82,1,1,[1=83]
515210,951134,318,681,312,666,78,170,613,78,1,1,[1=79]
499997,968102,318,650,306,621,81,166,560,81,1,1,[1=82]
490634,946160,330,668,322,651,82,173,579,88,6,1,[1=77/6=2]
564068,1010524,330,696,319,668,77,162,609,80,4,1,[1=74/4=2]
468691,968980,313,642,307,627,85,177,493,85,1,1,[1=86]
514332,953181,330,672,319,646,79,165,603,85,5,1,[1=75/5=2]
563775,944697,325,671,317,650,78,168,683,78,3,1,[1=76/3=2]
485368,937968,318,665,308,643,77,165,535,77,1,1,[1=78]
523401,962251,327,676,317,653,75,164,615,75,1,1,[1=76]
516380,979513,325,651,315,626,82,168,581,91,7,1,[1=76/7=2]
504677,942357,321,662,316,652,80,172,632,93,17,1,[1=64/17=2]
506140,964006,321,672,311,645,75,163,511,75,1,1,[1=76]
490927,984193,337,682,326,658,82,170,530,82,1,1,[1=83]
507310,1038610,343,701,340,695,88,184,575,96,7,1,[1=82/7=2]
519306,989168,333,725,324,703,76,165,545,77,2,1,[1=73/2=3]
514624,1029249,335,691,329,676,85,178,562,90,3,1,[1=80/3=3]
508481,964299,329,681,322,666,80,171,596,80,1,1,[1=81]
546807,986827,332,687,321,659,77,165,565,78,3,1,[1=75/3=2]
538615,974246,324,645,311,615,80,165,638,86,5,1,[1=76/5=2]
520768,917195,312,670,298,639,72,156,604,75,3,1,[1=70/3=2]
