Standard Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,100,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
9446092,834984,313,660,306,642,75,166,24819,48,4,1,[1=67/2=2/3=2/4=2]
585,585,321,695,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,585,312,669,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,878,331,713,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,586,335,735,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,324,689,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,329,691,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,317,684,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,326,707,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
586,878,328,688,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,328,682,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,293,333,704,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,877,333,696,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,293,328,704,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,585,326,676,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,325,709,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,1170,319,669,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,877,326,692,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1171,325,681,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,878,321,657,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1171,585,307,658,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,878,327,684,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,585,320,678,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,322,678,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,292,336,701,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
