Standard Problems 3 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,150,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
2048,293,433,1067,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
586,585,437,1098,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,437,1066,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,1170,427,1040,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,585,445,1121,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,434,1086,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1462,292,429,1077,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,1463,434,1066,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,292,449,1122,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,429,1043,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,585,427,1078,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
25879550,1510813,429,1055,413,1015,80,210,57000,1519,36,1,[1=45/36=2]
59981972,1351950,435,1068,426,1046,83,223,136258,818,27,1,[1=55/2=2/27=2]
877,1170,447,1072,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,293,441,1097,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
19034665,1506717,434,1092,413,1043,72,196,44199,1926,38,2,[1=35/38=2]
1755,293,439,1101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,1170,434,1020,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,292,436,1060,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,585,437,1109,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
25358197,1386180,438,1068,426,1040,84,219,57313,962,29,1,[1=56/29=2]
1170,878,445,1073,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,292,432,1094,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,440,1053,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,293,426,1058,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1171,877,424,1083,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1756,292,442,1100,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,585,451,1099,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,585,451,1081,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
11558130,1162074,442,1107,426,1069,82,211,23116,376,17,1,[1=60/3=3/17=2]
1755,585,431,1035,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1463,440,1139,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,585,447,1112,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,445,1117,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,585,428,1070,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,429,1095,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,433,1060,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,1756,424,1032,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
18926709,1181968,423,1040,410,1006,83,216,62904,252,24,1,[1=46/14=2/24=2]
2048,2048,438,1111,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,877,435,1101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1170,432,1053,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,292,425,1026,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,435,1089,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
13020085,422759,430,1064,414,1029,-1,-1,38744,-1,-1,-1,[-1=2]
585,877,436,1121,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
26396222,1618770,431,1043,422,1021,87,227,61215,1793,39,1,[1=47/2=2/39=2]
585,877,438,1101,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,450,1103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,877,437,1035,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,293,441,1083,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,441,1112,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,293,437,1097,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,1462,458,1164,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
36769751,1745159,445,1104,435,1077,89,221,79859,2216,44,2,[1=43/3=2/44=2]
293,1170,435,1060,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1462,585,434,1076,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,878,446,1054,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,292,431,1053,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,436,1115,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
32622914,1346098,434,1107,421,1077,82,217,71748,688,23,1,[1=58/2=2/23=2]
1170,877,440,1107,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,293,440,1063,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,878,437,1091,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
2048,293,455,1112,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
42827924,1367748,436,1070,427,1047,88,225,89618,860,40,1,[1=49/40=2]
23657215,1227316,448,1066,431,1028,82,212,53706,448,18,1,[1=57/8=2/18=2]
878,1170,435,1087,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,292,433,1080,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
32152175,1616723,427,1097,410,1056,76,205,70176,1920,38,1,[1=39/38=2]
1755,585,427,1077,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,585,443,1130,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
20823124,1395249,448,1102,431,1059,80,207,47359,825,25,1,[1=56/25=2]
878,877,433,1092,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
11092071,1071379,429,1050,408,1001,78,202,30300,21,37,1,[1=40/2=2/37=2]
28703986,1561427,432,1092,416,1055,77,208,62823,1492,39,1,[1=39/39=2]
1755,292,446,1136,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,878,437,1097,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
11541746,415445,440,1096,425,1063,-1,-1,30933,-1,-1,-1,[-1=2]
1170,878,454,1120,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8438494,1127844,450,1122,438,1091,84,217,21350,51,23,1,[1=59/3=2/23=2]
585,1170,419,1059,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
7613750,1540362,438,1046,420,1003,80,208,18548,1389,34,1,[1=47/34=2]
585,1170,428,1071,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,293,442,1132,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,585,435,1096,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,293,434,1070,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,877,440,1118,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,292,438,1081,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1170,444,1088,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
586,585,431,1055,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
878,1170,442,1112,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
20847699,1411633,434,1075,416,1033,78,206,44251,1148,31,1,[1=48/31=2]
878,1170,425,1037,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,585,429,1087,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,585,433,1013,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1171,293,418,1075,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,877,446,1083,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,292,443,1074,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1170,429,1038,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,293,429,1084,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
44091811,1397298,419,1074,405,1044,76,207,110562,1448,34,1,[1=43/34=2]
11383175,447334,446,1106,429,1066,-1,-1,26814,-1,-1,-1,[-1=2]
18612200,2001154,432,1117,415,1079,75,206,55477,3072,49,2,[1=27/49=2]
2633,585,438,1096,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8331708,1492674,421,1045,406,1010,83,215,18948,1542,37,1,[1=47/37=2]
1755,292,430,1098,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1463,455,1122,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
105448552,1302798,429,1021,416,990,85,220,235170,1055,32,1,[1=54/32=2]
1170,1462,433,1063,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1755,877,435,1050,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,442,1094,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
9782544,1479508,420,1028,407,994,81,214,21525,1281,32,1,[1=50/32=2]
27638460,1334688,431,1061,415,1022,80,211,63447,1174,30,1,[1=49/2=2/30=2]
1756,585,421,1050,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,1171,446,1103,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
22182388,1524564,443,1089,429,1056,83,214,48405,1670,37,1,[1=47/37=2]
877,1171,429,1047,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1755,585,435,1055,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
50035591,1344343,444,1081,430,1049,84,219,110079,1409,35,1,[1=50/35=2]
2048,292,442,1108,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,878,441,1115,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1171,585,428,1079,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,431,1081,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1171,293,442,1084,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
15389580,1006429,421,1033,408,1001,81,214,33783,41,27,1,[1=51/4=2/27=2]
1755,292,422,1071,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
585,585,427,1072,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
30429836,1319768,444,1099,432,1069,85,219,68611,509,27,1,[1=50/4=2/5=2/27=2]
40960,38033,439,1088,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1755,292,450,1104,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
292,1170,431,1058,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1462,292,437,1086,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
293,1170,428,1051,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
8370033,1160318,451,1118,443,1096,86,225,20288,29,27,1,[1=56/2=3/27=2]
28293223,1361604,442,1095,426,1060,80,210,69479,1199,32,1,[1=49/32=2]
28596614,417492,444,1044,432,1018,-1,-1,61632,-1,-1,-1,[-1=2]
877,1755,450,1152,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1170,585,439,1078,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
877,878,430,1056,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1463,585,424,1028,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
16051366,1270030,432,1088,418,1052,79,213,36987,807,26,1,[1=54/26=2]
