Standard Problems (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
100,200,40
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
1755,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
32316011,2808638,-1,-1,518,1521,79,252,74516,3798,53,2,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/53]
585,1463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1756,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,1463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1463,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
2340,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,2633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
878,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1756,586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1462,1463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1463,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1463,1170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
878,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
48630686,2098871,-1,-1,516,1533,84,257,101982,2168,42,1,[1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/42]
877,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
877,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,1463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,1170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,1170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1170,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
585,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
1755,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[-1]
